date,주식어플
2020-03-20,37.78718
2020-03-21,19.25634
2020-03-22,15.56831
2020-03-23,28.50665
2020-03-24,29.65538
2020-03-25,35.82224
2020-03-26,32.28536
2020-03-27,26.78355
2020-03-28,13.39177
2020-03-29,13.02902
2020-03-30,20.49576
2020-03-31,22.82345
2020-04-01,20.79806
2020-04-02,16.38452
2020-04-03,12.18258
2020-04-04,7.40628
2020-04-05,7.88996
2020-04-06,14.51027
2020-04-07,15.02418
2020-04-08,13.7243
2020-04-09,12.42442
2020-04-10,12.36396
2020-04-11,7.40628
2020-04-12,8.1318
2020-04-13,10.51995
2020-04-14,8.82708
2020-04-15,6.89238
2020-04-16,7.98065
2020-04-17,11.30592
2020-04-18,6.95284
2020-04-19,5.80411
2020-04-20,10.18742
2020-04-21,13.30108
2020-04-22,13.93591
2020-04-23,10.24788
2020-04-24,7.55743
2020-04-25,5.01813
2020-04-26,6.01571
2020-04-27,8.07134
2020-04-28,8.16203
2020-04-29,7.46674
2020-04-30,5.50181
2020-05-01,4.08101
2020-05-02,3.83917
2020-05-03,3.65779
2020-05-04,5.77388
2020-05-05,5.41112
2020-05-06,8.10157
2020-05-07,6.31801
2020-05-08,5.71342
2020-05-09,4.23216
2020-05-10,4.32285
2020-05-11,7.10399
2020-05-12,8.6457
2020-05-13,7.2249
2020-05-14,7.67835
2020-05-15,7.70858
2020-05-16,3.89963
2020-05-17,4.14147
2020-05-18,7.10399
2020-05-19,9.40145
2020-05-20,8.73639
2020-05-21,10.24788
2020-05-22,9.03869
2020-05-23,5.13905
2020-05-24,8.3434
2020-05-25,11.57799
2020-05-26,11.39661
2020-05-27,11.00362
2020-05-28,10.15719
2020-05-29,9.18984
2020-05-30,4.86698
2020-05-31,6.711
2020-06-01,11.15477
2020-06-02,11.91051
2020-06-03,15.87061
2020-06-04,16.41475
2020-06-05,11.72914
2020-06-06,8.1318
2020-06-07,11.03385
2020-06-08,14.60096
2020-06-09,14.26844
2020-06-10,14.32889
2020-06-11,15.62877
2020-06-12,13.1197
2020-06-13,6.34824
2020-06-14,6.19709
2020-06-15,12.21281
2020-06-16,12.66626
2020-06-17,13.24062
2020-06-18,11.54776
2020-06-19,9.55259
2020-06-20,5.56227
2020-06-21,5.83434
2020-06-22,11.60822
2020-06-23,9.82466
2020-06-24,10.45949
2020-06-25,9.94558
2020-06-26,7.79927
2020-06-27,5.44135
2020-06-28,6.1064
2020-06-29,8.40386
2020-06-30,9.58282
2020-07-01,8.58524
2020-07-02,10.21765
2020-07-03,9.22007
2020-07-04,5.10882
2020-07-05,9.06892
2020-07-06,12.15235
2020-07-07,14.72188
2020-07-08,12.18258
2020-07-09,13.24062
2020-07-10,10.82224
2020-07-11,7.43651
2020-07-12,9.64328
2020-07-13,13.51269
2020-07-14,13.75453
2020-07-15,12.9081
2020-07-16,10.6711
2020-07-17,9.34099
2020-07-18,6.55985
2020-07-19,6.95284
2020-07-20,10.51995
2020-07-21,16.08222
2020-07-22,16.59613
2020-07-23,15.71946
2020-07-24,14.78234
2020-07-25,7.8295
2020-07-26,11.45707
2020-07-27,15.59854
2020-07-28,16.89842
2020-07-29,15.1451
2020-07-30,14.05683
2020-07-31,13.45223
2020-08-01,8.6457
2020-08-02,9.28053
2020-08-03,15.17533
2020-08-04,15.59854
2020-08-05,17.59371
2020-08-06,17.95646
2020-08-07,17.80532
2020-08-08,11.42684
2020-08-09,11.57799
2020-08-10,21.16082
2020-08-11,22.43047
2020-08-12,18.65175
2020-08-13,19.67956
2020-08-14,17.04957
2020-08-15,9.97581
2020-08-16,9.09915
2020-08-17,10.24788
2020-08-18,18.01692
2020-08-19,16.29383
2020-08-20,19.67956
2020-08-21,18.5006
2020-08-22,10.12696
2020-08-23,11.185
