date,상속세율
2020-12-11,7.96943
2020-12-12,7.56914
2020-12-13,6.73216
2020-12-14,8.84279
2020-12-15,7.96943
2020-12-16,10.69868
2020-12-17,8.15138
2020-12-18,7.93304
2020-12-19,6.76855
2020-12-20,7.45997
2020-12-21,11.89956
2020-12-22,21.32459
2020-12-23,17.57641
2020-12-24,9.8981
2020-12-25,7.86026
2020-12-26,8.18777
2020-12-27,6.98689
2020-12-28,9.02474
2020-12-29,9.27947
2020-12-30,7.31441
2020-12-31,8.47889
2021-01-01,5.42212
2021-01-02,6.36826
2021-01-03,5.53129
2021-01-04,8.33333
2021-01-05,8.62445
2021-01-06,9.46142
2021-01-07,8.11499
2021-01-08,7.93304
2021-01-09,6.62299
2021-01-10,6.76855
2021-01-11,8.33333
2021-01-12,7.86026
2021-01-13,7.24163
2021-01-14,8.58806
2021-01-15,8.04221
2021-01-16,7.24163
2021-01-17,7.89665
2021-01-18,8.36972
2021-01-19,10.48034
2021-01-20,8.77001
2021-01-21,9.27947
2021-01-22,8.36972
2021-01-23,9.27947
2021-01-24,7.67831
2021-01-25,9.46142
2021-01-26,9.38864
2021-01-27,9.86171
2021-01-28,8.58806
2021-01-29,8.47889
2021-01-30,6.87772
2021-01-31,7.31441
2021-02-01,8.77001
2021-02-02,11.0262
2021-02-03,8.33333
2021-02-04,7.20524
2021-02-05,6.87772
2021-02-06,7.75109
2021-02-07,6.87772
2021-02-08,11.28093
2021-02-09,9.27947
2021-02-10,7.7147
2021-02-11,6.84133
2021-02-12,8.00582
2021-02-13,7.13245
2021-02-14,8.69723
2021-02-15,13.10043
2021-02-16,10.58951
2021-02-17,9.67976
2021-02-18,11.68122
2021-02-19,9.1703
2021-02-20,7.93304
2021-02-21,8.0786
2021-02-22,10.29839
2021-02-23,10.84425
2021-02-24,11.3901
2021-02-25,9.06113
2021-02-26,8.00582
2021-02-27,6.91411
2021-02-28,6.47743
2021-03-01,5.89519
2021-03-02,7.78748
2021-03-03,7.67831
2021-03-04,8.4425
2021-03-05,7.38719
2021-03-06,6.47743
2021-03-07,6.55021
2021-03-08,9.38864
2021-03-09,9.13391
2021-03-10,9.1703
2021-03-11,8.8064
2021-03-12,7.86026
2021-03-13,6.44104
2021-03-14,6.29548
2021-03-15,9.8981
2021-03-16,8.91557
2021-03-17,9.06113
2021-03-18,8.22416
2021-03-19,8.04221
2021-03-20,5.82241
2021-03-21,5.16739
2021-03-22,9.24308
2021-03-23,10.15283
2021-03-24,8.04221
2021-03-25,9.93449
2021-03-26,7.82387
2021-03-27,7.16885
2021-03-28,6.04075
2021-03-29,8.22416
2021-03-30,8.58806
2021-03-31,8.8064
2021-04-01,7.82387
2021-04-02,7.20524
2021-04-03,5.56768
2021-04-04,5.45851
2021-04-05,7.75109
2021-04-06,7.75109
2021-04-07,8.87918
2021-04-08,8.33333
2021-04-09,7.67831
2021-04-10,5.27656
2021-04-11,5.53129
2021-04-12,6.84133
2021-04-13,7.86026
2021-04-14,10.22561
2021-04-15,7.78748
2021-04-16,7.09606
2021-04-17,5.27656
2021-04-18,6.29548
2021-04-19,9.97088
2021-04-20,9.97088
2021-04-21,7.78748
2021-04-22,8.69723
2021-04-23,9.09752
2021-04-24,5.82241
2021-04-25,6.65938
2021-04-26,9.31586
2021-04-27,8.04221
2021-04-28,45.63318
2021-04-29,24.63609
2021-04-30,18.55895
2021-05-01,11.57205
2021-05-02,8.51528
2021-05-03,10.33478
2021-05-04,11.13537
2021-05-05,9.02474
2021-05-06,11.09898
2021-05-07,8.84279
2021-05-08,8.58806
2021-05-09,7.42358
2021-05-10,8.98835
2021-05-11,8.18777
2021-05-12,8.66084
2021-05-13,10.84425
2021-05-14,9.1703
2021-05-15,7.05967
2021-05-16,6.80494
2021-05-17,10.33478
2021-05-18,8.04221
2021-05-19,8.00582
2021-05-20,9.31586
2021-05-21,7.7147
2021-05-22,6.29548
2021-05-23,6.80494
2021-05-24,8.69723
2021-05-25,9.09752
2021-05-26,8.91557
2021-05-27,8.98835
2021-05-28,8.36972
2021-05-29,6.18631
2021-05-30,6.2227
2021-05-31,9.49781
2021-06-01,9.60698
2021-06-02,7.96943
2021-06-03,6.9505
2021-06-04,7.78748
2021-06-05,5.93158
2021-06-06,6.65938
2021-06-07,8.69723
2021-06-08,8.8064
2021-06-09,7.93304
2021-06-10,8.04221
2021-06-11,6.04075
2021-06-12,5.60407
2021-06-13,5.34934
2021-06-14,9.57059
2021-06-15,7.27802
2021-06-16,7.75109
2021-06-17,7.86026
2021-06-18,7.38719
2021-06-19,5.27656
2021-06-20,5.02183
2021-06-21,7.31441
2021-06-22,7.45997
2021-06-23,7.75109
2021-06-24,7.24163
2021-06-25,7.02328
2021-06-26,5.8588
2021-06-27,5.27656
2021-06-28,7.89665
2021-06-29,7.96943
2021-06-30,7.75109
2021-07-01,6.44104
2021-07-02,6.47743
2021-07-03,5.05822
2021-07-04,6.04075
2021-07-05,8.04221
2021-07-06,8.8064
2021-07-07,7.93304
2021-07-08,7.75109
2021-07-09,6.33187
2021-07-10,5.09461
2021-07-11,5.74963
2021-07-12,7.64192
2021-07-13,8.51528
2021-07-14,8.98835
2021-07-15,8.33333
2021-07-16,8.33333
2021-07-17,5.31295
2021-07-18,7.93304
2021-07-19,8.22416
2021-07-20,7.49636
2021-07-21,8.77001
2021-07-22,7.24163
2021-07-23,6.25909
2021-07-24,5.56768
2021-07-25,5.45851
2021-07-26,7.49636
2021-07-27,7.38719
2021-07-28,8.51528
2021-07-29,8.22416
2021-07-30,7.42358
2021-07-31,6.80494
2021-08-01,6.11353
2021-08-02,7.27802
2021-08-03,7.86026
2021-08-04,7.64192
2021-08-05,7.24163
2021-08-06,9.20669
2021-08-07,6.47743
2021-08-08,5.24017
2021-08-09,9.42503
2021-08-10,8.36972
2021-08-11,8.40611
2021-08-12,10.08005
2021-08-13,8.77001
2021-08-14,6.91411
2021-08-15,8.0786
2021-08-16,6.51382
2021-08-17,9.31586
2021-08-18,9.60698
2021-08-19,8.4425
2021-08-20,9.02474
2021-08-21,6.18631
2021-08-22,6.9505
2021-08-23,11.68122
2021-08-24,11.09898
2021-08-25,10.88064
2021-08-26,8.04221
2021-08-27,9.46142
2021-08-28,7.09606
2021-08-29,6.84133
2021-08-30,9.35225
2021-08-31,6.9505
2021-09-01,8.36972
2021-09-02,9.24308
2021-09-03,8.15138
2021-09-04,7.75109
2021-09-05,7.60553
2021-09-06,9.60698
2021-09-07,10.00727
2021-09-08,8.66084
2021-09-09,8.04221
2021-09-10,8.84279
2021-09-11,9.09752
2021-09-12,7.31441
2021-09-13,8.8064
2021-09-14,8.69723
2021-09-15,7.78748
2021-09-16,11.97234
2021-09-17,8.22416
2021-09-18,7.09606
2021-09-19,7.27802
2021-09-20,7.96943
2021-09-21,9.78893
2021-09-22,9.09752
2021-09-23,12.88209
2021-09-24,13.02765
2021-09-25,8.15138
2021-09-26,7.53275
2021-09-27,11.20815
2021-09-28,12.70014
2021-09-29,13.50072
2021-09-30,10.91703
2021-10-01,9.82532
2021-10-02,6.65938
2021-10-03,7.13245
2021-10-04,8.40611
2021-10-05,11.89956
2021-10-06,11.82678
2021-10-07,12.55458
2021-10-08,11.0262
2021-10-09,9.97088
2021-10-10,14.88355
2021-10-11,11.20815
2021-10-12,12.44541
2021-10-13,12.91848
2021-10-14,11.17176
2021-10-15,10.55312
2021-10-16,8.26055
2021-10-17,8.22416
2021-10-18,14.55604
2021-10-19,12.73653
2021-10-20,11.06259
2021-10-21,13.50072
2021-10-22,11.13537
2021-10-23,8.55167
2021-10-24,8.73362
2021-10-25,13.46433
2021-10-26,11.06259
2021-10-27,9.27947
2021-10-28,10.55312
2021-10-29,9.42503
2021-10-30,7.20524
2021-10-31,8.73362
2021-11-01,10.80786
2021-11-02,13.39155
2021-11-03,10.95342
2021-11-04,9.24308
2021-11-05,8.95196
2021-11-06,6.91411
2021-11-07,8.58806
2021-11-08,10.262
2021-11-09,9.8981
2021-11-10,9.93449
2021-11-11,10.00727
2021-11-12,10.77147
2021-11-13,8.36972
2021-11-14,8.18777
2021-11-15,10.77147
2021-11-16,10.66229
2021-11-17,9.24308
2021-11-18,8.91557
2021-11-19,11.46288
2021-11-20,8.15138
2021-11-21,7.45997
2021-11-22,10.44395
2021-11-23,10.11644
2021-11-24,10.08005
2021-11-25,9.1703
2021-11-26,9.67976
2021-11-27,9.24308
2021-11-28,7.45997
2021-11-29,9.35225
2021-11-30,10.91703
2021-12-01,9.49781
2021-12-02,9.75254
2021-12-03,10.08005
2021-12-04,6.87772
2021-12-05,6.14992
2021-12-06,11.20815
2021-12-07,10.08005
2021-12-08,9.42503
2021-12-09,9.35225
2021-12-10,8.04221
2021-12-11,6.73216
2021-12-12,6.5866
2021-12-13,8.4425
2021-12-14,9.64337
2021-12-15,9.5342
2021-12-16,7.86026
2021-12-17,8.00582
2021-12-18,5.64046
2021-12-19,5.24017
2021-12-20,8.66084
2021-12-21,8.33333
2021-12-22,8.26055
2021-12-23,8.84279
2021-12-24,6.47743
2021-12-25,5.78602
2021-12-26,4.94905
2021-12-27,9.38864
2021-12-28,9.06113
2021-12-29,8.51528
2021-12-30,8.18777
2021-12-31,6.80494
2022-01-01,6.11353
2022-01-02,5.45851
2022-01-03,9.27947
2022-01-04,8.11499
2022-01-05,7.45997
2022-01-06,8.22416
2022-01-07,7.64192
2022-01-08,6.80494
2022-01-09,6.98689
2022-01-10,9.8981
2022-01-11,7.89665
2022-01-12,9.09752
2022-01-13,8.33333
2022-01-14,8.87918
2022-01-15,7.89665
2022-01-16,6.80494
2022-01-17,8.36972
2022-01-18,9.02474
2022-01-19,9.46142
2022-01-20,8.0786
2022-01-21,8.40611
2022-01-22,8.00582
2022-01-23,8.11499
2022-01-24,8.33333
2022-01-25,7.93304
2022-01-26,8.00582
2022-01-27,7.31441
2022-01-28,7.53275
2022-01-29,5.8588
2022-01-30,5.38573
2022-01-31,7.16885
2022-02-01,8.04221
2022-02-02,7.60553
2022-02-03,9.06113
2022-02-04,9.24308
2022-02-05,7.02328
2022-02-06,7.45997
2022-02-07,10.15283
2022-02-08,6.9505
2022-02-09,9.13391
2022-02-10,8.0786
2022-02-11,8.04221
2022-02-12,7.31441
2022-02-13,6.51382
2022-02-14,8.58806
2022-02-15,10.29839
2022-02-16,8.33333
2022-02-17,8.47889
2022-02-18,7.86026
2022-02-19,4.87627
2022-02-20,5.82241
2022-02-21,8.62445
2022-02-22,8.22416
2022-02-23,8.11499
2022-02-24,6.9505
2022-02-25,6.69577
2022-02-26,6.5866
2022-02-27,7.27802
2022-02-28,6.33187
2022-03-01,5.71324
2022-03-02,11.0262
2022-03-03,8.33333
2022-03-04,8.0786
2022-03-05,5.78602
2022-03-06,4.22125
2022-03-07,6.47743
2022-03-08,8.47889
2022-03-09,6.5866
2022-03-10,6.73216
2022-03-11,7.78748
2022-03-12,6.04075
2022-03-13,5.53129
2022-03-14,8.40611
2022-03-15,9.13391
2022-03-16,9.57059
2022-03-17,9.09752
2022-03-18,8.77001
2022-03-19,6.40465
2022-03-20,5.67685
2022-03-21,9.13391
2022-03-22,9.57059
2022-03-23,9.38864
2022-03-24,10.6259
2022-03-25,9.42503
2022-03-26,7.64192
2022-03-27,7.13245
2022-03-28,7.93304
2022-03-29,9.64337
2022-03-30,8.8064
2022-03-31,10.04366
2022-04-01,9.06113
2022-04-02,5.53129
2022-04-03,7.42358
2022-04-04,9.71615
2022-04-05,9.31586
2022-04-06,8.98835
2022-04-07,9.8981
2022-04-08,8.15138
2022-04-09,6.51382
2022-04-10,5.67685
2022-04-11,8.58806
2022-04-12,9.06113
2022-04-13,9.27947
2022-04-14,10.91703
2022-04-15,7.78748
2022-04-16,7.24163
2022-04-17,6.84133
2022-04-18,9.09752
2022-04-19,8.66084
2022-04-20,9.27947
2022-04-21,8.51528
2022-04-22,9.06113
2022-04-23,6.51382
2022-04-24,6.9505
2022-04-25,8.66084
2022-04-26,10.04366
2022-04-27,7.75109
2022-04-28,9.82532
