date,ETF수익률
2020-03-20,35.85858
2020-03-21,27.27272
2020-03-22,20.70707
2020-03-23,25.75757
2020-03-24,14.64646
2020-03-25,19.19191
2020-03-26,23.23232
2020-03-27,13.13131
2020-03-28,17.67676
2020-03-29,16.16161
2020-03-30,21.21212
2020-03-31,17.17171
2020-04-01,20.20202
2020-04-02,15.15151
2020-04-03,13.63636
2020-04-04,5.0505
2020-04-05,10.10101
2020-04-06,14.14141
2020-04-07,11.11111
2020-04-08,6.56565
2020-04-09,14.64646
2020-04-10,20.20202
2020-04-11,12.62626
2020-04-12,7.57575
2020-04-13,16.16161
2020-04-14,15.65656
2020-04-15,13.13131
2020-04-16,20.20202
2020-04-17,15.65656
2020-04-18,8.0808
2020-04-19,13.13131
2020-04-20,16.16161
2020-04-21,11.11111
2020-04-22,17.17171
2020-04-23,11.11111
2020-04-24,13.13131
2020-04-25,9.0909
2020-04-26,13.63636
2020-04-27,14.14141
2020-04-28,15.65656
2020-04-29,16.66666
2020-04-30,7.57575
2020-05-01,13.63636
2020-05-02,3.53535
2020-05-03,12.62626
2020-05-04,16.16161
2020-05-05,9.0909
2020-05-06,17.17171
2020-05-07,11.61616
2020-05-08,16.16161
2020-05-09,2.52525
2020-05-10,9.59595
2020-05-11,6.56565
2020-05-12,14.14141
2020-05-13,3.53535
2020-05-14,8.0808
2020-05-15,7.57575
2020-05-16,5.0505
2020-05-17,7.57575
2020-05-18,9.59595
2020-05-19,19.19191
2020-05-20,12.62626
2020-05-21,12.62626
2020-05-22,8.0808
2020-05-23,6.56565
2020-05-24,11.11111
2020-05-25,15.65656
2020-05-26,19.19191
2020-05-27,11.11111
2020-05-28,7.0707
2020-05-29,12.12121
2020-05-30,5.55555
2020-05-31,9.0909
2020-06-01,15.65656
2020-06-02,15.15151
2020-06-03,15.65656
2020-06-04,12.12121
2020-06-05,15.65656
2020-06-06,11.11111
2020-06-07,8.58585
2020-06-08,13.63636
2020-06-09,17.17171
2020-06-10,18.18181
2020-06-11,16.16161
2020-06-12,5.0505
2020-06-13,8.0808
2020-06-14,9.59595
2020-06-15,10.10101
2020-06-16,8.0808
2020-06-17,11.11111
2020-06-18,9.0909
2020-06-19,13.63636
2020-06-20,5.55555
2020-06-21,11.61616
2020-06-22,11.11111
2020-06-23,9.0909
2020-06-24,12.62626
2020-06-25,10.60606
2020-06-26,4.0404
2020-06-27,8.58585
2020-06-28,6.56565
2020-06-29,14.64646
2020-06-30,10.60606
2020-07-01,11.11111
2020-07-02,15.15151
2020-07-03,6.0606
2020-07-04,7.0707
2020-07-05,7.0707
2020-07-06,20.20202
2020-07-07,14.64646
2020-07-08,11.11111
2020-07-09,24.74747
2020-07-10,17.17171
2020-07-11,10.10101
2020-07-12,15.15151
2020-07-13,16.66666
2020-07-14,14.14141
2020-07-15,12.62626
2020-07-16,9.0909
2020-07-17,12.62626
2020-07-18,8.0808
2020-07-19,8.58585
2020-07-20,15.15151
2020-07-21,19.19191
2020-07-22,13.63636
2020-07-23,16.66666
2020-07-24,15.65656
2020-07-25,10.10101
2020-07-26,16.66666
2020-07-27,13.63636
2020-07-28,21.71717
2020-07-29,13.13131
2020-07-30,14.14141
2020-07-31,10.10101
2020-08-01,13.13131
2020-08-02,7.57575
2020-08-03,23.73737
2020-08-04,22.22222
2020-08-05,23.23232
2020-08-06,31.31313
2020-08-07,34.34343
2020-08-08,25.25252
2020-08-09,26.26262
2020-08-10,28.78787
