date,인도펀드
2020-03-20,14.578
2020-03-21,11.7647
2020-03-22,10.74168
2020-03-23,24.55242
2020-03-24,21.99488
2020-03-25,33.75959
2020-03-26,31.20204
2020-03-27,24.29667
2020-03-28,12.53196
2020-03-29,10.74168
2020-03-30,17.13554
2020-03-31,20.2046
2020-04-01,23.0179
2020-04-02,14.83375
2020-04-03,14.578
2020-04-04,20.2046
2020-04-05,9.71867
2020-04-06,16.87979
2020-04-07,24.04092
2020-04-08,22.50639
2020-04-09,19.18158
2020-04-10,17.13554
2020-04-11,14.06649
2020-04-12,13.55498
2020-04-13,8.18414
2020-04-14,17.90281
2020-04-15,16.36828
2020-04-16,15.34526
2020-04-17,17.90281
2020-04-18,13.29923
2020-04-19,15.08951
2020-04-20,14.83375
2020-04-21,12.53196
2020-04-22,12.53196
2020-04-23,14.578
2020-04-24,14.578
2020-04-25,10.23017
2020-04-26,4.34782
2020-04-27,12.02046
2020-04-28,12.78772
2020-04-29,15.34526
2020-04-30,9.20716
2020-05-01,6.64961
2020-05-02,6.1381
2020-05-03,6.90537
2020-05-04,15.34526
2020-05-05,12.27621
2020-05-06,14.32225
2020-05-07,10.23017
2020-05-08,11.25319
2020-05-09,10.23017
2020-05-10,10.23017
2020-05-11,11.50895
2020-05-12,10.48593
2020-05-13,10.23017
2020-05-14,9.46291
2020-05-15,10.48593
2020-05-16,9.20716
2020-05-17,5.62659
2020-05-18,19.43734
2020-05-19,14.06649
2020-05-20,25.06393
2020-05-21,22.25063
2020-05-22,16.36828
2020-05-23,10.48593
2020-05-24,14.578
2020-05-25,22.50639
2020-05-26,17.64705
2020-05-27,19.18158
2020-05-28,15.08951
2020-05-29,9.97442
2020-05-30,7.92838
2020-05-31,7.67263
2020-06-01,13.81074
2020-06-02,18.15856
2020-06-03,21.22762
2020-06-04,18.41432
2020-06-05,17.90281
2020-06-06,12.27621
2020-06-07,12.27621
2020-06-08,16.36828
2020-06-09,16.62404
2020-06-10,16.87979
2020-06-11,13.81074
2020-06-12,9.46291
2020-06-13,4.60358
2020-06-14,5.88235
2020-06-15,7.67263
2020-06-16,3.58056
2020-06-17,6.1381
2020-06-18,9.97442
2020-06-19,10.99744
2020-06-20,4.85933
2020-06-21,5.11508
2020-06-22,13.04347
2020-06-23,8.18414
2020-06-24,11.7647
2020-06-25,13.55498
2020-06-26,8.69565
2020-06-27,4.34782
2020-06-28,6.1381
2020-06-29,7.16112
2020-06-30,6.90537
2020-07-01,9.20716
2020-07-02,10.23017
2020-07-03,9.46291
2020-07-04,8.69565
2020-07-05,7.41687
2020-07-06,11.50895
2020-07-07,10.23017
2020-07-08,13.29923
2020-07-09,14.578
2020-07-10,10.48593
2020-07-11,7.16112
2020-07-12,10.23017
2020-07-13,17.13554
2020-07-14,18.15856
2020-07-15,18.15856
2020-07-16,26.08695
2020-07-17,15.34526
2020-07-18,7.16112
2020-07-19,14.06649
2020-07-20,20.97186
2020-07-21,19.69309
2020-07-22,22.76214
2020-07-23,17.90281
2020-07-24,14.578
2020-07-25,14.06649
2020-07-26,9.71867
2020-07-27,20.2046
2020-07-28,17.64705
2020-07-29,19.94884
2020-07-30,19.69309
2020-07-31,17.64705
2020-08-01,9.97442
2020-08-02,6.64961
2020-08-03,12.78772
2020-08-04,14.578
2020-08-05,15.08951
2020-08-06,15.34526
2020-08-07,8.9514
2020-08-08,10.74168
2020-08-09,8.9514
2020-08-10,13.04347
2020-08-11,13.55498
2020-08-12,11.50895
2020-08-13,10.23017
2020-08-14,6.90537
2020-08-15,7.67263
2020-08-16,34.7826
2020-08-17,24.29667
2020-08-18,19.43734
2020-08-19,16.36828
2020-08-20,15.60102
2020-08-21,13.55498
2020-08-22,8.18414
2020-08-23,10.23017
2020-08-24,16.11253
2020-08-25,18.41432
2020-08-26,13.81074
2020-08-27,16.87979
2020-08-28,12.53196
2020-08-29,10.74168
2020-08-30,13.04347
2020-08-31,21.22762
2020-09-01,24.04092
2020-09-02,22.76214
2020-09-03,19.43734
2020-09-04,14.32225
2020-09-05,10.74168
2020-09-06,18.67007
2020-09-07,21.99488
2020-09-08,17.64705
2020-09-09,17.13554
2020-09-10,20.2046
2020-09-11,12.78772
2020-09-12,9.20716
2020-09-13,6.39386
2020-09-14,13.55498
2020-09-15,11.25319
2020-09-16,12.27621
2020-09-17,13.81074
2020-09-18,12.27621
2020-09-19,4.85933
2020-09-20,6.90537
2020-09-21,13.29923
2020-09-22,10.74168
2020-09-23,4.60358
2020-09-24,7.41687
2020-09-25,5.88235
2020-09-26,3.3248
2020-09-27,4.85933
2020-09-28,10.99744
2020-09-29,6.64961
2020-09-30,2.04603
2020-10-01,6.1381
2020-10-02,5.11508
2020-10-03,1.53452
2020-10-04,5.62659
2020-10-05,5.62659
2020-10-06,8.9514
2020-10-07,8.9514
2020-10-08,6.1381
2020-10-09,3.83631
2020-10-10,5.37084
2020-10-11,20.97186
2020-10-12,15.85677
2020-10-13,30.43478
2020-10-14,32.22506
2020-10-15,16.36828
2020-10-16,13.81074
2020-10-17,6.39386
2020-10-18,12.53196
2020-10-19,17.64705
2020-10-20,15.08951
2020-10-21,7.41687
2020-10-22,10.48593
2020-10-23,10.74168
2020-10-24,4.09207
2020-10-25,7.41687
