date,오늘금값
2020-03-20,57.90671
2020-03-21,32.49905
2020-03-22,22.90481
2020-03-23,45.16496
2020-03-24,42.39666
2020-03-25,47.06105
2020-03-26,40.61433
2020-03-27,32.34736
2020-03-28,20.59158
2020-03-29,14.37239
2020-03-30,29.38945
2020-03-31,28.10011
2020-04-01,26.39362
2020-04-02,25.44558
2020-04-03,24.87675
2020-04-04,16.79939
2020-04-05,14.67576
2020-04-06,27.5692
2020-04-07,31.13386
2020-04-08,30.22373
2020-04-09,26.96245
2020-04-10,29.65491
2020-04-11,17.10276
2020-04-12,23.3978
2020-04-13,37.9598
2020-04-14,40.42472
2020-04-15,25.63519
2020-04-16,35.68448
2020-04-17,41.259
2020-04-18,23.77701
2020-04-19,18.65756
2020-04-20,32.08191
2020-04-21,36.02578
2020-04-22,36.32916
2020-04-23,35.68448
2020-04-24,42.96549
2020-04-25,24.68714
2020-04-26,21.1604
2020-04-27,40.99355
2020-04-28,36.0637
2020-04-29,29.9962
2020-04-30,22.33598
2020-05-01,22.60144
2020-05-02,19.68145
2020-05-03,16.19264
2020-05-04,27.41751
2020-05-05,20.47781
2020-05-06,30.29958
2020-05-07,22.82897
2020-05-08,21.38794
2020-05-09,15.47212
2020-05-10,12.32461
2020-05-11,25.55934
2020-05-12,23.3978
2020-05-13,20.93287
2020-05-14,23.0565
2020-05-15,26.43155
2020-05-16,16.07887
2020-05-17,12.85551
2020-05-18,37.69434
2020-05-19,31.70269
2020-05-20,26.697
2020-05-21,26.54531
2020-05-22,25.71103
2020-05-23,16.83731
2020-05-24,12.40045
2020-05-25,26.3557
2020-05-26,25.59726
2020-05-27,24.53545
2020-05-28,24.72506
2020-05-29,22.22222
2020-05-30,14.562
2020-05-31,12.17292
2020-06-01,26.697
2020-06-02,24.68714
2020-06-03,25.86272
2020-06-04,24.08039
2020-06-05,21.843
2020-06-06,19.30223
2020-06-07,17.10276
2020-06-08,35.26734
2020-06-09,31.77853
2020-06-10,33.48502
