date,국세완납증명서발급
2020-11-07,5.66844
2020-11-08,6.14973
2020-11-09,45.69518
2020-11-10,42.99465
2020-11-11,41.06951
2020-11-12,39.17112
2020-11-13,33.85026
2020-11-14,5.93582
2020-11-15,7.24598
2020-11-16,49.78609
2020-11-17,46.41711
2020-11-18,48.15508
2020-11-19,52.91443
2020-11-20,48.44919
2020-11-21,7.29946
2020-11-22,7.94117
2020-11-23,62.94117
2020-11-24,36.47058
2020-11-25,36.04278
2020-11-26,31.12299
2020-11-27,25.82887
2020-11-28,3.71657
2020-11-29,5.05347
2020-11-30,33.28877
2020-12-01,34.03743
2020-12-02,32.48663
2020-12-03,31.71122
2020-12-04,24.81283
2020-12-05,3.18181
2020-12-06,5.37433
2020-12-07,39.35828
2020-12-08,35.82887
2020-12-09,40.82887
2020-12-10,35.58823
2020-12-11,33.95721
2020-12-12,4.03743
2020-12-13,5.80213
2020-12-14,44.86631
2020-12-15,41.60427
2020-12-16,38.93048
2020-12-17,35.29411
2020-12-18,32.03208
2020-12-19,4.70588
2020-12-20,6.63101
2020-12-21,46.79144
2020-12-22,41.25668
2020-12-23,42.51336
2020-12-24,33.07486
2020-12-25,3.95721
2020-12-26,4.83957
2020-12-27,6.81818
2020-12-28,47.05882
2020-12-29,40.7754
2020-12-30,33.60962
2020-12-31,21.84491
2021-01-01,3.04812
2021-01-02,3.36898
2021-01-03,4.83957
2021-01-04,32.99465
2021-01-05,34.67914
2021-01-06,36.06951
2021-01-07,31.2032
2021-01-08,27.24598
2021-01-09,6.60427
2021-01-10,7.70053
2021-01-11,39.54545
2021-01-12,37.56684
2021-01-13,37.21925
2021-01-14,37.72727
2021-01-15,36.41711
2021-01-16,7.37967
2021-01-17,8.58288
2021-01-18,49.81283
2021-01-19,44.30481
2021-01-20,42.48663
2021-01-21,41.52406
2021-01-22,31.79144
2021-01-23,5.08021
2021-01-24,5.9893
2021-01-25,47.94117
2021-01-26,42.03208
2021-01-27,39.14438
2021-01-28,39.41176
2021-01-29,32.8877
2021-01-30,5.90909
2021-01-31,6.71122
2021-02-01,43.58288
2021-02-02,44.38502
2021-02-03,43.1016
2021-02-04,41.14973
2021-02-05,33.42245
2021-02-06,5.66844
2021-02-07,7.21925
2021-02-08,43.98395
2021-02-09,38.04812
2021-02-10,28.60962
2021-02-11,3.95721
2021-02-12,2.8877
2021-02-13,3.07486
2021-02-14,9.89304
2021-02-15,74.25133
2021-02-16,100.0
2021-02-17,76.52406
2021-02-18,70.61497
2021-02-19,28.23529
2021-02-20,4.94652
2021-02-21,5.72192
2021-02-22,42.03208
2021-02-23,37.11229
2021-02-24,33.18181
2021-02-25,31.89839
2021-02-26,24.70588
2021-02-27,3.68983
2021-02-28,3.12834
2021-03-01,5.88235
2021-03-02,35.88235
2021-03-03,30.56149
2021-03-04,30.82887
2021-03-05,24.6524
2021-03-06,3.74331
2021-03-07,4.73262
2021-03-08,35.61497
2021-03-09,31.89839
2021-03-10,30.16042
2021-03-11,29.30481
2021-03-12,23.74331
2021-03-13,3.39572
2021-03-14,4.41176
2021-03-15,31.14973
2021-03-16,27.83422
2021-03-17,30.37433
2021-03-18,27.51336
2021-03-19,21.2032
2021-03-20,2.91443
2021-03-21,4.4385
2021-03-22,32.19251
2021-03-23,33.02139
2021-03-24,27.64705
2021-03-25,27.48663
2021-03-26,21.49732
2021-03-27,2.96791
2021-03-28,3.52941
2021-03-29,35.66844
2021-03-30,31.5508
2021-03-31,24.17112
2021-04-01,23.04812
2021-04-02,19.14438
2021-04-03,3.28877
2021-04-04,4.30481
2021-04-05,30.85561
2021-04-06,28.95721
2021-04-07,28.68983
2021-04-08,27.72727
2021-04-09,22.45989
2021-04-10,3.63636
2021-04-11,4.22459
2021-04-12,30.18716
2021-04-13,27.83422
2021-04-14,28.85026
2021-04-15,26.31016
2021-04-16,22.83422
2021-04-17,2.86096
2021-04-18,4.91978
2021-04-19,34.62566
2021-04-20,31.49732
2021-04-21,26.2032
2021-04-22,23.79679
2021-04-23,19.57219
2021-04-24,3.58288
2021-04-25,4.22459
2021-04-26,31.41711
2021-04-27,27.21925
2021-04-28,24.91978
2021-04-29,25.72192
2021-04-30,19.11764
2021-05-01,2.94117
2021-05-02,4.59893
2021-05-03,34.94652
2021-05-04,28.74331
2021-05-05,7.16577
2021-05-06,33.52941
2021-05-07,25.58823
2021-05-08,3.79679
2021-05-09,4.91978
2021-05-10,38.60962
2021-05-11,35.45454
2021-05-12,32.3262
2021-05-13,31.65775
2021-05-14,23.23529
2021-05-15,2.67379
2021-05-16,4.49197
2021-05-17,35.82887
2021-05-18,27.67379
2021-05-19,6.09625
2021-05-20,32.86096
2021-05-21,25.48128
2021-05-22,3.47593
2021-05-23,4.62566
2021-05-24,35.93582
2021-05-25,31.84491
2021-05-26,29.46524
2021-05-27,28.18181
2021-05-28,22.80748
2021-05-29,3.68983
2021-05-30,4.67914
2021-05-31,29.17112
2021-06-01,31.31016
2021-06-02,29.49197
2021-06-03,30.69518
2021-06-04,21.95187
2021-06-05,3.26203
2021-06-06,3.82352
2021-06-07,32.05882
2021-06-08,30.16042
2021-06-09,27.45989
2021-06-10,26.09625
2021-06-11,23.71657
2021-06-12,3.28877
2021-06-13,4.38502
2021-06-14,31.52406
2021-06-15,32.83422
2021-06-16,31.57754
2021-06-17,27.80748
2021-06-18,23.95721
2021-06-19,3.26203
2021-06-20,4.25133
2021-06-21,32.62032
2021-06-22,31.65775
2021-06-23,31.28342
