date,현대차주가전망
2020-03-20,7.92396
2020-03-21,2.09824
2020-03-22,3.20908
2020-03-23,10.39249
2020-03-24,11.28116
2020-03-25,10.31843
2020-03-26,9.99753
2020-03-27,8.39298
2020-03-28,3.80153
2020-03-29,3.0116
2020-03-30,5.70229
2020-03-31,5.87509
2020-04-01,5.50481
2020-04-02,3.92495
2020-04-03,3.94964
2020-04-04,1.9995
2020-04-05,2.64132
2020-04-06,4.66551
2020-04-07,5.0111
2020-04-08,5.10984
2020-04-09,7.67711
2020-04-10,6.29474
2020-04-11,3.25845
2020-04-12,2.86349
2020-04-13,5.20859
2020-04-14,4.29523
2020-04-15,2.44384
2020-04-16,3.38188
2020-04-17,4.44334
2020-04-18,2.36978
2020-04-19,2.07356
2020-04-20,5.62823
2020-04-21,7.20809
2020-04-22,7.50431
2020-04-23,6.07257
2020-04-24,6.6897
2020-04-25,3.43125
2020-04-26,2.78943
2020-04-27,4.04838
2020-04-28,2.8388
2020-04-29,2.88817
2020-04-30,1.28363
2020-05-01,1.65391
2020-05-02,1.23426
2020-05-03,1.60454
2020-05-04,2.32041
2020-05-05,2.51789
2020-05-06,2.29572
2020-05-07,3.06097
2020-05-08,2.1723
2020-05-09,1.97482
2020-05-10,1.92545
2020-05-11,3.0116
2020-05-12,3.13502
2020-05-13,2.24635
2020-05-14,2.71537
2020-05-15,2.81411
2020-05-16,1.85139
2020-05-17,1.48111
2020-05-18,3.23376
2020-05-19,4.41866
2020-05-20,3.13502
2020-05-21,3.82621
2020-05-22,3.43125
2020-05-23,1.95013
2020-05-24,2.22167
2020-05-25,2.02419
2020-05-26,3.23376
2020-05-27,2.39447
2020-05-28,2.74006
2020-05-29,1.9995
2020-05-30,1.35768
2020-05-31,1.18489
2020-06-01,2.22167
2020-06-02,2.81411
2020-06-03,4.12243
2020-06-04,2.56726
2020-06-05,3.23376
2020-06-06,1.75265
2020-06-07,1.87607
2020-06-08,3.23376
2020-06-09,2.96223
2020-06-10,2.76474
2020-06-11,3.18439
2020-06-12,2.54258
2020-06-13,1.1602
2020-06-14,1.65391
