date,건강보험료납부
2020-03-20,14.92932
2020-03-21,5.65371
2020-03-22,6.0954
2020-03-23,16.25441
2020-03-24,17.31448
2020-03-25,17.84452
2020-03-26,23.85159
2020-03-27,31.44876
2020-03-28,13.42756
2020-03-29,14.04593
2020-03-30,58.92226
2020-03-31,50.44169
2020-04-01,38.5159
2020-04-02,33.65724
2020-04-03,100.0
2020-04-04,23.49823
2020-04-05,13.16254
2020-04-06,39.84098
2020-04-07,33.21554
2020-04-08,32.50883
2020-04-09,35.15901
2020-04-10,60.24734
2020-04-11,17.04946
2020-04-12,13.5159
2020-04-13,30.56537
2020-04-14,20.84805
2020-04-15,12.80918
2020-04-16,23.40989
2020-04-17,17.66784
2020-04-18,8.1272
2020-04-19,9.18727
2020-04-20,23.85159
2020-04-21,22.0848
2020-04-22,28.44522
2020-04-23,25.44169
2020-04-24,18.63957
2020-04-25,8.03886
2020-04-26,7.06713
2020-04-27,19.25795
2020-04-28,20.49469
2020-04-29,29.85865
2020-04-30,19.52296
2020-05-01,17.84452
2020-05-02,12.19081
2020-05-03,11.30742
2020-05-04,41.60777
2020-05-05,22.34982
2020-05-06,43.72791
2020-05-07,41.60777
2020-05-08,39.75265
2020-05-09,18.99293
2020-05-10,24.91166
2020-05-11,64.13427
2020-05-12,42.84452
2020-05-13,35.95406
2020-05-14,30.12367
2020-05-15,23.67491
2020-05-16,11.13074
2020-05-17,10.33568
2020-05-18,24.20494
2020-05-19,22.0848
2020-05-20,19.78798
2020-05-21,19.34628
2020-05-22,13.95759
2020-05-23,5.38869
2020-05-24,5.91872
2020-05-25,20.40636
2020-05-26,14.22261
2020-05-27,22.26148
2020-05-28,29.77031
2020-05-29,27.47349
2020-05-30,12.89752
2020-05-31,13.5159
2020-06-01,30.83038
2020-06-02,28.71024
2020-06-03,22.34982
2020-06-04,23.23321
2020-06-05,19.34628
2020-06-06,7.42049
2020-06-07,9.09893
2020-06-08,19.52296
2020-06-09,28.44522
2020-06-10,49.73498
2020-06-11,25.53003
2020-06-12,21.37809
2020-06-13,7.33215
2020-06-14,6.44876
2020-06-15,15.90106
2020-06-16,16.60777
2020-06-17,17.1378
2020-06-18,12.10247
2020-06-19,10.6007
2020-06-20,6.27208
2020-06-21,6.00706
2020-06-22,15.72438
2020-06-23,14.66431
2020-06-24,18.0212
2020-06-25,23.58657
2020-06-26,22.87985
2020-06-27,11.21908
2020-06-28,10.24734
2020-06-29,33.30388
2020-06-30,43.46289
2020-07-01,28.00353
2020-07-02,25.61837
2020-07-03,21.02473
2020-07-04,9.0106
2020-07-05,9.54063
2020-07-06,29.94699
2020-07-07,24.46996
2020-07-08,28.6219
2020-07-09,29.85865
2020-07-10,57.77385
2020-07-11,17.31448
2020-07-12,12.80918
2020-07-13,28.88692
2020-07-14,21.46643
2020-07-15,19.69964
2020-07-16,17.5795
2020-07-17,12.98586
2020-07-18,6.62544
2020-07-19,6.97879
2020-07-20,15.72438
2020-07-21,18.0212
2020-07-22,19.25795
2020-07-23,15.37102
2020-07-24,18.55123
2020-07-25,7.95053
2020-07-26,4.77031
2020-07-27,17.75618
2020-07-28,17.84452
2020-07-29,28.97526
2020-07-30,26.76678
2020-07-31,30.56537
2020-08-01,13.33922
2020-08-02,9.36395
2020-08-03,25.26501
2020-08-04,23.05653
2020-08-05,23.32155
2020-08-06,27.12014
2020-08-07,27.56183
2020-08-08,8.92226
2020-08-09,16.78445
2020-08-10,68.55123
2020-08-11,32.59717
2020-08-12,28.09187
2020-08-13,18.63957
2020-08-14,17.1378
2020-08-15,8.03886
2020-08-16,6.44876
2020-08-17,14.04593
2020-08-18,17.31448
2020-08-19,25.53003
2020-08-20,22.96819
2020-08-21,21.46643
2020-08-22,7.86219
2020-08-23,9.45229
2020-08-24,22.5265
2020-08-25,24.1166
2020-08-26,24.38162
2020-08-27,30.21201
2020-08-28,44.43462
2020-08-29,15.72438
2020-08-30,16.07773
2020-08-31,46.28975
2020-09-01,35.6007
2020-09-02,31.0954
2020-09-03,23.58657
2020-09-04,21.20141
2020-09-05,10.42402
2020-09-06,12.36749
2020-09-07,29.24028
2020-09-08,38.78091
2020-09-09,42.75618
2020-09-10,62.98586
2020-09-11,30.38869
2020-09-12,12.27915
2020-09-13,7.33215
2020-09-14,27.65017
2020-09-15,26.06007
2020-09-16,22.5265
2020-09-17,18.72791
2020-09-18,18.37455
2020-09-19,7.59717
2020-09-20,7.77385
2020-09-21,19.96466
2020-09-22,18.63957
2020-09-23,26.06007
2020-09-24,22.26148
2020-09-25,23.40989
2020-09-26,11.66077
2020-09-27,13.16254
