date,스캘핑
2020-11-07,2.6612
2020-11-08,2.49744
2020-11-09,4.15557
2020-11-10,4.01228
2020-11-11,4.74923
2020-11-12,4.48311
2020-11-13,4.64687
2020-11-14,3.11156
2020-11-15,2.41555
2020-11-16,4.09416
2020-11-17,4.50358
2020-11-18,4.6264
2020-11-19,5.54759
2020-11-20,4.87205
2020-11-21,3.17297
2020-11-22,2.8045
2020-11-23,4.91299
2020-11-24,5.34288
2020-11-25,5.48618
2020-11-26,5.89559
2020-11-27,5.85465
2020-11-28,3.84851
2020-11-29,3.7871
2020-11-30,6.18219
2020-12-01,6.01842
2020-12-02,5.73183
2020-12-03,5.56806
2020-12-04,6.36642
2020-12-05,4.48311
2020-12-06,3.86898
2020-12-07,5.95701
2020-12-08,5.44524
2020-12-09,7.06243
2020-12-10,8.72057
2020-12-11,6.03889
2020-12-12,3.68474
2020-12-13,4.09416
2020-12-14,4.56499
2020-12-15,5.79324
2020-12-16,6.93961
2020-12-17,7.0829
2020-12-18,6.16171
2020-12-19,4.23746
2020-12-20,4.42169
2020-12-21,5.56806
2020-12-22,7.65609
2020-12-23,7.30808
2020-12-24,6.20266
2020-12-25,4.15557
2020-12-26,4.6264
2020-12-27,4.70829
2020-12-28,6.16171
2020-12-29,6.63254
2020-12-30,6.93961
2020-12-31,5.36335
2021-01-01,4.52405
2021-01-02,5.38382
2021-01-03,5.69089
2021-01-04,7.5742
2021-01-05,9.43705
2021-01-06,8.31115
2021-01-07,8.16786
2021-01-08,10.6653
2021-01-09,6.7349
2021-01-10,6.79631
2021-01-11,10.99283
2021-01-12,10.13306
2021-01-13,8.98669
2021-01-14,11.46366
2021-01-15,9.17093
2021-01-16,6.05936
2021-01-17,4.79017
2021-01-18,7.63561
2021-01-19,8.5568
2021-01-20,8.92528
2021-01-21,10.80859
2021-01-22,11.29989
2021-01-23,6.46878
2021-01-24,6.83725
2021-01-25,7.96315
2021-01-26,8.47492
2021-01-27,7.88126
2021-01-28,9.43705
2021-01-29,7.65609
2021-01-30,6.44831
2021-01-31,5.40429
2021-02-01,9.74411
2021-02-02,8.57727
2021-02-03,8.86386
2021-02-04,7.7175
2021-02-05,12.77379
2021-02-06,50.76765
2021-02-07,100.0
2021-02-08,58.30092
2021-02-09,36.70419
2021-02-10,28.78198
2021-02-11,19.09928
2021-02-12,12.95803
2021-02-13,13.14227
2021-02-14,23.37768
2021-02-15,22.90685
2021-02-16,21.51484
2021-02-17,19.05834
2021-02-18,21.10542
2021-02-19,17.70726
2021-02-20,12.15967
2021-02-21,10.64483
2021-02-22,12.32343
2021-02-23,15.435
2021-02-24,14.28863
2021-02-25,14.98464
2021-02-26,12.95803
2021-02-27,7.55373
2021-02-28,6.75537
2021-03-01,7.12384
2021-03-02,9.29375
2021-03-03,9.39611
2021-03-04,8.67963
2021-03-05,7.61514
2021-03-06,5.52712
2021-03-07,4.95394
2021-03-08,7.00102
2021-03-09,7.7175
2021-03-10,8.08597
2021-03-11,9.92835
2021-03-12,8.43398
2021-03-13,5.83418
2021-03-14,7.20573
2021-03-15,8.76151
2021-03-16,8.29068
2021-03-17,8.7001
2021-03-18,9.23234
2021-03-19,9.15046
2021-03-20,7.32855
2021-03-21,6.34595
2021-03-22,9.78505
2021-03-23,8.39303
2021-03-24,8.51586
2021-03-25,9.27328
2021-03-26,8.90481
2021-03-27,6.89866
2021-03-28,6.44831
2021-03-29,7.65609
2021-03-30,9.0481
2021-03-31,8.59774
2021-04-01,9.5394
2021-04-02,10.15353
2021-04-03,8.88433
2021-04-04,7.10337
2021-04-05,10.46059
2021-04-06,10.01023
2021-04-07,12.28249
2021-04-08,10.15353
2021-04-09,14.37052
2021-04-10,8.41351
2021-04-11,7.77891
2021-04-12,8.74104
2021-04-13,10.72671
2021-04-14,8.24974
2021-04-15,10.76765
2021-04-16,10.68577
2021-04-17,8.45445
2021-04-18,9.10951
2021-04-19,13.71545
2021-04-20,13.67451
2021-04-21,14.67758
2021-04-22,10.64483
2021-04-23,12.75332
2021-04-24,9.06857
2021-04-25,7.45138
2021-04-26,10.15353
2021-04-27,9.70317
2021-04-28,9.90788
2021-04-29,8.49539
2021-04-30,6.36642
2021-05-01,4.21699
2021-05-02,4.60593
2021-05-03,6.87819
2021-05-04,6.1003
2021-05-05,5.28147
2021-05-06,8.04503
2021-05-07,8.0655
2021-05-08,5.73183
2021-05-09,6.5916
2021-05-10,9.02763
2021-05-11,9.74411
2021-05-12,8.80245
2021-05-13,7.92221
2021-05-14,8.37256
2021-05-15,5.97748
2021-05-16,5.93654
2021-05-17,7.88126
2021-05-18,7.12384
2021-05-19,7.98362
2021-05-20,9.43705
2021-05-21,8.59774
2021-05-22,10.09211
2021-05-23,6.79631
2021-05-24,8.72057
2021-05-25,11.6479
2021-05-26,8.86386
2021-05-27,7.24667
2021-05-28,7.65609
2021-05-29,4.36028
2021-05-30,4.40122
2021-05-31,6.07983
2021-06-01,6.16171
2021-06-02,5.93654
2021-06-03,6.22313
2021-06-04,7.38996
2021-06-05,3.60286
2021-06-06,4.07369
2021-06-07,7.92221
2021-06-08,6.69396
2021-06-09,6.26407
2021-06-10,5.30194
2021-06-11,5.05629
2021-06-12,3.7871
2021-06-13,4.23746
2021-06-14,5.73183
2021-06-15,6.1003
2021-06-16,5.81371
2021-06-17,5.1177
2021-06-18,5.261
2021-06-19,2.92732
2021-06-20,3.41862
2021-06-21,4.33981
2021-06-22,4.83111
2021-06-23,6.05936
2021-06-24,6.07983
2021-06-25,5.44524
2021-06-26,3.99181
2021-06-27,4.01228
2021-06-28,4.81064
2021-06-29,5.42476
2021-06-30,4.93346
2021-07-01,4.79017
2021-07-02,4.31934
2021-07-03,3.11156
2021-07-04,2.45649
2021-07-05,4.29887
2021-07-06,5.32241
2021-07-07,6.1003
2021-07-08,5.36335
2021-07-09,5.62947
2021-07-10,3.45957
2021-07-11,2.25179
2021-07-12,4.36028
2021-07-13,4.52405
2021-07-14,3.93039
2021-07-15,3.70522
2021-07-16,3.48004
2021-07-17,2.21084
2021-07-18,2.21084
2021-07-19,3.17297
2021-07-20,3.1525
2021-07-21,3.66427
2021-07-22,3.76663
2021-07-23,4.19651
2021-07-24,2.29273
2021-07-25,2.06755
2021-07-26,4.1351
2021-07-27,4.36028
2021-07-28,4.31934
2021-07-29,4.17604
2021-07-30,3.93039
2021-07-31,2.62026
2021-08-01,2.96827
2021-08-02,3.6438
2021-08-03,3.86898
2021-08-04,4.09416
2021-08-05,3.66427
2021-08-06,4.25793
2021-08-07,3.19344
2021-08-08,3.76663
2021-08-09,4.31934
2021-08-10,5.69089
2021-08-11,5.87512
2021-08-12,5.15864
2021-08-13,4.11463
2021-08-14,3.48004
2021-08-15,2.96827
2021-08-16,3.21392
2021-08-17,4.56499
2021-08-18,4.38075
2021-08-19,4.09416
2021-08-20,5.79324
2021-08-21,3.19344
2021-08-22,3.33674
2021-08-23,5.609
2021-08-24,5.50665
2021-08-25,4.25793
2021-08-26,5.1177
2021-08-27,5.09723
2021-08-28,3.82804
2021-08-29,3.50051
2021-08-30,3.72569
2021-08-31,5.609
2021-09-01,5.1177
2021-09-02,5.01535
2021-09-03,5.05629
2021-09-04,3.56192
2021-09-05,4.2784
2021-09-06,5.36335
2021-09-07,4.93346
2021-09-08,6.18219
2021-09-09,5.85465
2021-09-10,4.11463
2021-09-11,3.7871
2021-09-12,3.52098
2021-09-13,4.50358
2021-09-14,4.38075
2021-09-15,5.19959
2021-09-16,4.64687
2021-09-17,3.58239
2021-09-18,2.59979
2021-09-19,2.49744
2021-09-20,2.02661
2021-09-21,2.57932
2021-09-22,2.76356
2021-09-23,3.54145
2021-09-24,3.43909
2021-09-25,3.25486
2021-09-26,2.59979
2021-09-27,3.27533
2021-09-28,4.05322
2021-09-29,4.38075
2021-09-30,4.52405
2021-10-01,4.07369
2021-10-02,3.58239
2021-10-03,2.57932
2021-10-04,3.09109
2021-10-05,4.1351
2021-10-06,5.56806
2021-10-07,4.89252
2021-10-08,4.81064
2021-10-09,3.37768
2021-10-10,2.76356
2021-10-11,2.74309
2021-10-12,3.37768
2021-10-13,3.6438
2021-10-14,3.31627
2021-10-15,4.17604
2021-10-16,2.98874
2021-10-17,2.8045
2021-10-18,5.17911
2021-10-19,4.21699
2021-10-20,4.40122
2021-10-21,4.01228
2021-10-22,3.82804
2021-10-23,3.31627
2021-10-24,2.04708
2021-10-25,3.19344
2021-10-26,3.62333
2021-10-27,3.37768
2021-10-28,3.88945
2021-10-29,4.36028
2021-10-30,2.39508
2021-10-31,2.68167
2021-11-01,4.52405
2021-11-02,4.81064
2021-11-03,4.52405
2021-11-04,4.07369
2021-11-05,4.44216
2021-11-06,2.84544
2021-11-07,2.25179
2021-11-08,3.80757
2021-11-09,4.36028
2021-11-10,4.31934
2021-11-11,3.21392
2021-11-12,3.39815
2021-11-13,2.00614
2021-11-14,2.37461
2021-11-15,3.41862
2021-11-16,3.99181
2021-11-17,3.74616
2021-11-18,4.03275
2021-11-19,4.40122
2021-11-20,4.70829
2021-11-21,2.86591
2021-11-22,3.68474
2021-11-23,3.17297
2021-11-24,3.21392
2021-11-25,4.25793
2021-11-26,2.59979
2021-11-27,2.39508
2021-11-28,2.64073
2021-11-29,2.92732
2021-11-30,3.86898
2021-12-01,3.72569
2021-12-02,3.1525
2021-12-03,2.47697
2021-12-04,2.51791
2021-12-05,2.23132
2021-12-06,2.94779
2021-12-07,3.99181
2021-12-08,3.93039
2021-12-09,3.52098
2021-12-10,2.98874
2021-12-11,3.2958
2021-12-12,1.96519
2021-12-13,2.64073
2021-12-14,2.90685
2021-12-15,3.17297
2021-12-16,2.86591
2021-12-17,2.8045
2021-12-18,1.98567
2021-12-19,1.92425
2021-12-20,2.57932
2021-12-21,3.66427
2021-12-22,2.51791
2021-12-23,2.98874
2021-12-24,3.68474
2021-12-25,2.02661
2021-12-26,1.96519
2021-12-27,2.59979
2021-12-28,2.49744
2021-12-29,2.92732
2021-12-30,3.05015
2021-12-31,2.62026
2022-01-01,1.71954
2022-01-02,3.52098
2022-01-03,3.6438
2022-01-04,3.86898
2022-01-05,3.33674
2022-01-06,3.48004
2022-01-07,2.57932
2022-01-08,2.37461
2022-01-09,2.25179
2022-01-10,3.2958
2022-01-11,3.41862
2022-01-12,3.39815
2022-01-13,4.05322
2022-01-14,4.44216
