date,과태료
2020-03-20,13.49892
2020-03-21,6.65946
2020-03-22,6.40748
2020-03-23,15.40676
2020-03-24,14.50683
2020-03-25,15.04679
2020-03-26,14.47084
2020-03-27,14.36285
2020-03-28,7.59539
2020-03-29,6.69546
2020-03-30,16.63066
2020-03-31,16.99064
2020-04-01,14.25485
2020-04-02,14.9388
2020-04-03,12.92296
2020-04-04,7.4154
2020-04-05,6.29949
2020-04-06,14.39884
2020-04-07,15.08279
2020-04-08,11.37508
2020-04-09,14.47084
2020-04-10,13.75089
2020-04-11,7.27141
2020-04-12,6.62347
2020-04-13,13.24694
2020-04-14,13.89488
2020-04-15,7.16342
2020-04-16,13.53491
2020-04-17,13.82289
2020-04-18,6.33549
2020-04-19,7.34341
2020-04-20,15.65874
2020-04-21,15.94672
2020-04-22,14.9748
2020-04-23,14.18286
2020-04-24,14.50683
2020-04-25,6.29949
2020-04-26,5.97552
2020-04-27,14.36285
2020-04-28,14.75881
2020-04-29,12.99496
2020-04-30,7.84737
2020-05-01,8.35133
2020-05-02,5.54355
2020-05-03,6.33549
2020-05-04,13.17494
2020-05-05,8.56731
2020-05-06,17.06263
2020-05-07,15.76673
2020-05-08,13.17494
2020-05-09,6.94744
2020-05-10,6.1915
2020-05-11,17.06263
2020-05-12,17.31461
2020-05-13,13.6429
2020-05-14,15.69474
2020-05-15,14.72282
2020-05-16,7.77537
2020-05-17,6.87544
2020-05-18,14.54283
2020-05-19,16.84665
2020-05-20,16.1627
2020-05-21,16.66666
2020-05-22,16.41468
2020-05-23,8.09935
2020-05-24,7.16342
2020-05-25,16.91864
2020-05-26,15.76673
2020-05-27,15.33477
2020-05-28,16.77465
2020-05-29,13.75089
2020-05-30,7.16342
2020-05-31,8.56731
2020-06-01,15.83873
2020-06-02,15.55075
2020-06-03,14.61483
2020-06-04,13.49892
2020-06-05,13.6789
2020-06-06,7.95536
2020-06-07,7.66738
2020-06-08,16.05471
2020-06-09,15.11879
2020-06-10,15.62275
2020-06-11,14.61483
2020-06-12,15.94672
2020-06-13,8.7473
2020-06-14,7.4154
2020-06-15,17.53059
2020-06-16,18.25053
2020-06-17,15.19078
2020-06-18,15.73074
2020-06-19,14.9028
2020-06-20,7.99136
2020-06-21,7.09143
2020-06-22,16.99064
2020-06-23,17.67458
2020-06-24,18.7185
2020-06-25,19.18646
2020-06-26,14.07487
2020-06-27,7.34341
2020-06-28,8.20734
2020-06-29,17.85457
2020-06-30,17.3866
2020-07-01,15.83873
2020-07-02,16.41468
2020-07-03,13.46292
2020-07-04,7.16342
2020-07-05,8.06335
2020-07-06,15.65874
2020-07-07,19.47444
2020-07-08,18.28653
2020-07-09,18.89848
2020-07-10,15.01079
2020-07-11,8.53131
2020-07-12,8.6753
2020-07-13,16.01871
2020-07-14,15.69474
2020-07-15,17.81857
2020-07-16,18.07055
2020-07-17,15.33477
2020-07-18,7.99136
2020-07-19,7.4874
2020-07-20,17.02663
2020-07-21,16.05471
2020-07-22,14.83081
2020-07-23,15.40676
2020-07-24,16.52267
2020-07-25,7.59539
2020-07-26,8.35133
2020-07-27,17.06263
2020-07-28,16.27069
2020-07-29,15.51475
2020-07-30,16.05471
2020-07-31,15.76673
2020-08-01,8.24334
2020-08-02,7.77537
2020-08-03,14.86681
2020-08-04,14.86681
2020-08-05,14.83081
2020-08-06,14.32685
2020-08-07,12.16702
2020-08-08,5.36357
2020-08-09,6.98344
2020-08-10,15.51475
2020-08-11,16.84665
2020-08-12,16.45068
2020-08-13,14.9388
2020-08-14,12.27501
2020-08-15,6.69546
2020-08-16,6.29949
2020-08-17,8.49532
2020-08-18,21.49028
2020-08-19,27.53779
2020-08-20,19.87041
2020-08-21,19.25845
2020-08-22,9.35925
2020-08-23,8.7113
2020-08-24,21.05831
2020-08-25,18.86249
2020-08-26,17.74658
2020-08-27,17.92656
2020-08-28,15.91072
2020-08-29,8.81929
2020-08-30,12.70698
2020-08-31,21.02231
2020-09-01,15.62275
2020-09-02,15.44276
2020-09-03,15.47876
2020-09-04,12.77897
2020-09-05,8.17134
2020-09-06,6.29949
2020-09-07,13.7149
2020-09-08,15.73074
2020-09-09,14.21886
2020-09-10,16.77465
2020-09-11,14.11087
2020-09-12,7.77537
2020-09-13,7.34341
2020-09-14,15.73074
2020-09-15,16.1627
2020-09-16,14.9028
2020-09-17,15.29877
2020-09-18,13.93088
2020-09-19,7.84737
2020-09-20,6.44348
2020-09-21,14.9028
2020-09-22,15.11879
2020-09-23,15.26277
2020-09-24,16.09071
2020-09-25,15.26277
2020-09-26,7.91936
2020-09-27,7.09143
2020-09-28,15.22678
2020-09-29,13.89488
2020-09-30,6.55147
2020-10-01,4.03167
2020-10-02,5.57955
2020-10-03,5.79553
2020-10-04,17.17062
2020-10-05,27.4298
2020-10-06,20.15838
2020-10-07,17.71058
2020-10-08,15.47876
2020-10-09,7.95536
2020-10-10,7.19942
2020-10-11,7.73938
2020-10-12,19.58243
2020-10-13,21.05831
2020-10-14,16.45068
2020-10-15,16.45068
2020-10-16,15.01079
2020-10-17,8.27933
2020-10-18,7.55939
2020-10-19,18.46652
2020-10-20,18.25053
2020-10-21,16.27069
2020-10-22,16.81065
2020-10-23,13.06695
2020-10-24,7.91936
2020-10-25,8.92728
2020-10-26,18.10655
2020-10-27,15.15478
2020-10-28,15.55075
2020-10-29,16.30669
2020-10-30,14.83081
2020-10-31,8.85529
2020-11-01,8.02735
2020-11-02,17.78257
2020-11-03,15.83873
2020-11-04,16.95464
2020-11-05,16.1627
2020-11-06,17.13462
2020-11-07,11.37508
2020-11-08,9.82721
2020-11-09,19.04247
2020-11-10,20.62634
2020-11-11,20.98632
2020-11-12,34.23326
2020-11-13,54.42764
2020-11-14,17.92656
2020-11-15,12.74298
2020-11-16,20.80633
2020-11-17,21.2383
2020-11-18,20.30237
2020-11-19,17.4946
2020-11-20,16.88264
2020-11-21,8.45932
2020-11-22,9.9352
2020-11-23,18.28653
2020-11-24,18.61051
2020-11-25,17.17062
2020-11-26,17.56659
2020-11-27,15.73074
2020-11-28,8.7473
2020-11-29,8.42332
2020-11-30,16.73866
2020-12-01,16.88264
2020-12-02,17.99856
2020-12-03,16.27069
2020-12-04,14.65082
2020-12-05,8.20734
2020-12-06,8.60331
2020-12-07,17.4586
2020-12-08,17.85457
2020-12-09,18.17854
2020-12-10,19.22246
2020-12-11,17.27861
2020-12-12,8.6393
2020-12-13,8.60331
2020-12-14,16.66666
2020-12-15,17.24262
2020-12-16,15.29877
2020-12-17,14.86681
2020-12-18,14.25485
2020-12-19,7.3794
2020-12-20,7.23542
2020-12-21,20.55435
2020-12-22,22.03023
2020-12-23,21.74226
2020-12-24,22.13822
2020-12-25,9.46724
2020-12-26,9.14326
2020-12-27,8.6393
2020-12-28,17.89056
2020-12-29,17.67458
2020-12-30,15.80273
2020-12-31,16.2347
2021-01-01,7.27141
2021-01-02,8.7473
2021-01-03,10.00719
2021-01-04,20.44636
2021-01-05,19.36645
2021-01-06,17.13462
2021-01-07,13.6789
2021-01-08,14.75881
2021-01-09,7.77537
2021-01-10,7.27141
2021-01-11,15.87473
2021-01-12,15.40676
2021-01-13,16.27069
2021-01-14,16.41468
2021-01-15,16.01871
2021-01-16,10.33117
2021-01-17,8.7473
2021-01-18,18.32253
2021-01-19,17.09863
2021-01-20,16.1987
2021-01-21,20.01439
2021-01-22,19.29445
2021-01-23,8.56731
2021-01-24,8.92728
2021-01-25,18.82649
2021-01-26,17.53059
2021-01-27,17.53059
2021-01-28,15.83873
2021-01-29,14.07487
2021-01-30,8.6393
2021-01-31,11.62706
2021-02-01,21.67026
2021-02-02,19.15046
2021-02-03,18.75449
2021-02-04,18.28653
2021-02-05,15.80273
2021-02-06,9.9712
2021-02-07,9.82721
2021-02-08,18.6825
2021-02-09,18.6465
2021-02-10,18.39452
2021-02-11,12.88696
2021-02-12,10.69114
2021-02-13,8.45932
2021-02-14,7.16342
2021-02-15,16.30669
2021-02-16,17.13462
2021-02-17,16.45068
2021-02-18,17.53059
2021-02-19,16.73866
2021-02-20,8.17134
2021-02-21,9.17926
2021-02-22,16.01871
2021-02-23,17.56659
2021-02-24,16.01871
2021-02-25,15.73074
2021-02-26,13.7149
2021-02-27,8.53131
2021-02-28,6.1915
2021-03-01,6.73146
2021-03-02,14.36285
2021-03-03,14.47084
2021-03-04,15.83873
2021-03-05,15.33477
2021-03-06,6.98344
2021-03-07,5.97552
2021-03-08,14.43484
2021-03-09,18.43052
2021-03-10,15.29877
2021-03-11,16.1267
2021-03-12,14.36285
2021-03-13,8.13534
2021-03-14,7.84737
2021-03-15,14.57883
2021-03-16,16.41468
2021-03-17,15.51475
2021-03-18,15.80273
2021-03-19,16.73866
2021-03-20,7.88336
2021-03-21,8.49532
2021-03-22,17.96256
2021-03-23,16.41468
2021-03-24,17.4226
2021-03-25,17.74658
2021-03-26,15.73074
2021-03-27,8.20734
2021-03-28,8.13534
2021-03-29,16.91864
2021-03-30,18.46652
2021-03-31,16.1267
2021-04-01,17.4946
2021-04-02,14.39884
2021-04-03,8.02735
2021-04-04,100.0
2021-04-05,34.59323
2021-04-06,20.84233
2021-04-07,17.20662
2021-04-08,18.10655
2021-04-09,19.00647
2021-04-10,9.53923
2021-04-11,9.79121
2021-04-12,21.31029
2021-04-13,20.51835
2021-04-14,18.10655
2021-04-15,19.04247
2021-04-16,23.14614
2021-04-17,18.07055
2021-04-18,12.67098
2021-04-19,20.12239
2021-04-20,24.83801
2021-04-21,20.41036
2021-04-22,18.61051
2021-04-23,17.74658
2021-04-24,9.39524
2021-04-25,8.6753
2021-04-26,17.85457
2021-04-27,17.78257
2021-04-28,17.24262
2021-04-29,16.1267
2021-04-30,15.55075
2021-05-01,8.45932
2021-05-02,7.52339
2021-05-03,15.19078
2021-05-04,15.47876
2021-05-05,10.15118
2021-05-06,18.39452
2021-05-07,17.53059
2021-05-08,8.6753
2021-05-09,8.85529
2021-05-10,17.4946
2021-05-11,19.33045
2021-05-12,19.65442
2021-05-13,22.21022
2021-05-14,17.53059
2021-05-15,9.39524
2021-05-16,8.42332
2021-05-17,16.48668
2021-05-18,15.47876
2021-05-19,10.47516
2021-05-20,16.99064
2021-05-21,16.84665
2021-05-22,8.17134
2021-05-23,8.78329
2021-05-24,17.96256
2021-05-25,17.99856
2021-05-26,17.3866
2021-05-27,16.73866
2021-05-28,14.9388
2021-05-29,8.92728
2021-05-30,8.42332
2021-05-31,19.33045
2021-06-01,19.61843
2021-06-02,14.72282
2021-06-03,16.01871
2021-06-04,15.69474
2021-06-05,7.01943
2021-06-06,7.55939
2021-06-07,17.17062
2021-06-08,17.09863
2021-06-09,15.04679
2021-06-10,15.73074
2021-06-11,14.57883
2021-06-12,6.76745
2021-06-13,8.7113
2021-06-14,15.47876
2021-06-15,17.24262
2021-06-16,16.81065
2021-06-17,17.4226
2021-06-18,14.61483
2021-06-19,9.21526
2021-06-20,6.76745
2021-06-21,17.13462
2021-06-22,16.09071
2021-06-23,16.99064
2021-06-24,14.54283
