date,오늘상장주식
2020-03-21,0.31766
2020-03-26,0.38119
2020-04-06,1.20711
2020-04-27,0.38119
2020-05-20,0.38119
2020-05-22,4.38373
2020-05-25,0.38119
2020-05-29,0.44472
2020-06-08,0.31766
2020-06-09,0.31766
2020-06-16,0.82592
2020-06-17,5.27318
2020-06-18,0.57179
2020-06-19,0.38119
2020-06-22,3.24015
2020-06-23,1.27064
2020-06-24,0.82592
2020-06-25,2.79542
2020-06-26,0.44472
2020-06-29,0.76238
2020-06-30,0.31766
2020-07-01,7.56035
2020-07-02,10.67344
2020-07-03,27.70012
2020-07-04,1.01651
2020-07-05,0.38119
2020-07-06,10.8005
2020-07-07,1.20711
2020-07-08,1.71537
2020-07-09,1.90597
2020-07-10,1.27064
2020-07-13,12.45235
2020-07-14,4.25667
2020-07-15,5.71791
2020-07-16,28.90724
2020-07-17,6.35324
2020-07-20,4.1296
2020-07-21,3.74841
2020-07-22,24.14231
2020-07-23,14.86658
2020-07-24,12.89707
2020-07-25,0.88945
2020-07-26,0.50825
2020-07-27,9.72045
2020-07-28,3.62134
2020-07-29,10.10165
2020-07-30,12.70648
2020-07-31,15.94663
2020-08-01,0.95298
2020-08-03,3.36721
2020-08-04,2.85895
2020-08-05,6.22617
2020-08-06,11.88055
2020-08-07,6.60736
2020-08-10,10.29224
2020-08-11,2.79542
2020-08-12,10.16518
2020-08-13,6.60736
2020-08-14,1.39771
2020-08-15,0.38119
2020-08-18,7.81448
2020-08-19,2.92249
2020-08-20,1.9695
2020-08-21,9.46632
2020-08-22,0.50825
2020-08-23,0.38119
2020-08-24,8.25921
2020-08-25,2.66836
2020-08-26,0.95298
2020-08-27,1.14358
2020-08-28,0.76238
2020-08-31,5.90851
2020-09-01,6.09911
2020-09-02,1.9695
2020-09-03,0.31766
2020-09-04,1.52477
2020-09-07,2.47776
2020-09-08,0.82592
2020-09-09,6.79796
2020-09-10,10.10165
2020-09-11,4.00254
2020-09-14,5.20965
2020-09-15,2.54129
2020-09-16,10.29224
2020-09-17,3.81194
2020-09-18,5.97204
2020-09-19,0.57179
2020-09-21,5.97204
2020-09-22,8.13214
2020-09-23,7.24269
2020-09-24,6.54383
2020-09-25,1.33418
2020-09-26,0.38119
2020-09-28,1.14358
2020-09-29,1.08005
2020-10-05,1.14358
2020-10-06,1.9695
2020-10-07,3.24015
2020-10-08,6.60736
2020-10-10,0.38119
2020-10-12,1.14358
2020-10-13,1.20711
2020-10-14,2.47776
2020-10-15,24.26937
2020-10-16,3.17662
2020-10-17,0.44472
2020-10-19,9.59339
2020-10-20,2.73189
2020-10-21,2.47776
2020-10-22,7.11562
