date,자동차보험갱신
2020-03-20,18.8372
2020-03-21,10.23255
2020-03-22,15.81395
2020-03-23,30.0
2020-03-24,23.48837
2020-03-25,30.0
2020-03-26,21.6279
2020-03-27,29.06976
2020-03-28,16.04651
2020-03-29,20.23255
2020-03-30,34.18604
2020-03-31,39.30232
2020-04-01,29.53488
2020-04-02,24.65116
2020-04-03,23.02325
2020-04-04,21.6279
2020-04-05,19.76744
2020-04-06,38.13953
2020-04-07,30.93023
2020-04-08,34.4186
2020-04-09,26.51162
2020-04-10,33.95348
2020-04-11,15.11627
2020-04-12,22.32558
2020-04-13,43.95348
2020-04-14,29.30232
2020-04-15,25.11627
2020-04-16,35.11627
2020-04-17,31.86046
2020-04-18,16.74418
2020-04-19,25.34883
2020-04-20,29.76744
2020-04-21,27.90697
2020-04-22,30.69767
2020-04-23,23.02325
2020-04-24,26.97674
2020-04-25,19.53488
2020-04-26,12.32558
2020-04-27,23.25581
2020-04-28,29.53488
2020-04-29,24.65116
2020-04-30,20.93023
2020-05-01,21.86046
2020-05-02,20.0
2020-05-03,19.76744
2020-05-04,28.60465
2020-05-05,16.51162
2020-05-06,26.27906
2020-05-07,26.51162
2020-05-08,26.97674
2020-05-09,12.79069
2020-05-10,12.32558
2020-05-11,25.81395
2020-05-12,25.58139
2020-05-13,26.27906
2020-05-14,27.90697
2020-05-15,25.11627
2020-05-16,14.18604
2020-05-17,15.11627
2020-05-18,27.44186
2020-05-19,28.8372
2020-05-20,28.8372
2020-05-21,29.53488
2020-05-22,19.30232
2020-05-23,12.09302
2020-05-24,10.69767
2020-05-25,25.58139
2020-05-26,21.86046
2020-05-27,20.69767
2020-05-28,19.30232
2020-05-29,17.44186
2020-05-30,11.16279
2020-05-31,13.95348
2020-06-01,25.58139
2020-06-02,31.86046
2020-06-03,28.37209
2020-06-04,21.86046
2020-06-05,21.16279
2020-06-06,12.32558
2020-06-07,13.48837
2020-06-08,25.34883
2020-06-09,33.02325
2020-06-10,27.44186
2020-06-11,24.4186
2020-06-12,20.46511
2020-06-13,15.81395
2020-06-14,12.79069
2020-06-15,30.46511
2020-06-16,29.53488
2020-06-17,20.69767
2020-06-18,18.60465
2020-06-19,21.86046
2020-06-20,12.79069
2020-06-21,13.48837
2020-06-22,26.04651
2020-06-23,30.46511
2020-06-24,19.76744
2020-06-25,23.25581
2020-06-26,21.16279
2020-06-27,13.48837
2020-06-28,12.79069
2020-06-29,30.46511
2020-06-30,25.81395
2020-07-01,24.88372
2020-07-02,26.27906
2020-07-03,21.6279
2020-07-04,9.53488
2020-07-05,13.95348
2020-07-06,28.60465
2020-07-07,17.90697
2020-07-08,22.55813
2020-07-09,25.34883
2020-07-10,18.37209
2020-07-11,14.18604
2020-07-12,10.46511
2020-07-13,23.48837
2020-07-14,20.46511
2020-07-15,37.2093
2020-07-16,23.95348
2020-07-17,19.30232
2020-07-18,12.32558
2020-07-19,11.39534
2020-07-20,22.55813
2020-07-21,30.23255
2020-07-22,23.48837
2020-07-23,24.65116
2020-07-24,21.6279
2020-07-25,13.95348
2020-07-26,12.79069
2020-07-27,26.27906
2020-07-28,16.74418
2020-07-29,21.16279
2020-07-30,18.60465
2020-07-31,21.6279
2020-08-01,13.72093
2020-08-02,8.8372
2020-08-03,27.90697
2020-08-04,28.8372
2020-08-05,28.60465
