date,코인추천
2020-03-20,0.09731
2020-03-21,0.09731
2020-03-22,0.09731
2020-03-23,0.05676
2020-03-25,0.07298
2020-03-26,0.06487
2020-03-27,0.06487
2020-03-28,0.05676
2020-03-29,0.04054
2020-03-30,0.07298
2020-03-31,0.08109
2020-04-02,0.06487
2020-04-03,0.10542
2020-04-04,0.07298
2020-04-05,0.05676
2020-04-06,0.13786
2020-04-07,0.07298
2020-04-08,0.06487
2020-04-09,0.10542
2020-04-11,0.04054
2020-04-13,0.12164
2020-04-15,0.12164
2020-04-16,0.05676
2020-04-17,0.04865
2020-04-18,0.09731
2020-04-19,0.05676
2020-04-20,0.04054
2020-04-21,0.06487
2020-04-23,0.04054
2020-04-24,0.08109
2020-04-26,0.06487
2020-04-27,0.06487
2020-04-28,0.11353
2020-04-29,0.11353
2020-04-30,0.09731
2020-05-01,0.05676
2020-05-02,0.05676
2020-05-03,0.05676
2020-05-04,0.04054
2020-05-05,0.07298
2020-05-06,0.07298
2020-05-07,0.06487
2020-05-08,0.07298
2020-05-09,0.06487
2020-05-11,0.05676
2020-05-12,0.10542
2020-05-13,0.12164
2020-05-14,0.12164
2020-05-15,0.04054
2020-05-16,0.13786
2020-05-17,0.04054
2020-05-18,0.12975
2020-05-19,0.1703
2020-05-20,0.19463
2020-05-21,0.12164
2020-05-22,0.0892
2020-05-23,0.10542
2020-05-24,0.12975
2020-05-25,0.0892
2020-05-26,0.09731
2020-05-27,0.15408
2020-05-28,0.21085
2020-05-29,0.10542
2020-05-30,0.10542
2020-05-31,0.1703
2020-06-01,0.12164
2020-06-02,0.04865
2020-06-03,0.14597
2020-06-04,0.13786
2020-06-05,0.09731
2020-06-06,0.12164
2020-06-07,0.14597
2020-06-08,0.12975
2020-06-09,0.1703
2020-06-10,0.12975
2020-06-11,0.12164
2020-06-12,0.04865
2020-06-13,0.0892
2020-06-14,0.14597
2020-06-15,0.0892
2020-06-16,0.09731
2020-06-17,0.08109
2020-06-18,0.09731
2020-06-19,0.0892
2020-06-20,0.11353
2020-06-21,0.15408
2020-06-22,0.05676
2020-06-23,0.21085
2020-06-24,0.07298
2020-06-25,0.04054
2020-06-26,0.11353
2020-06-27,0.12975
2020-06-28,0.07298
2020-06-29,0.13786
2020-06-30,0.0892
2020-07-01,0.05676
2020-07-02,0.11353
2020-07-03,0.12164
2020-07-04,0.18652
2020-07-05,0.09731
2020-07-06,0.04054
2020-07-07,0.12164
2020-07-08,0.1703
2020-07-09,0.17841
2020-07-10,0.16219
2020-07-11,0.08109
2020-07-12,0.12975
2020-07-13,0.08109
2020-07-14,0.13786
2020-07-15,0.12975
2020-07-16,0.09731
2020-07-17,0.14597
2020-07-18,0.0892
2020-07-19,0.14597
2020-07-20,0.10542
2020-07-21,0.14597
2020-07-22,0.18652
2020-07-23,0.09731
2020-07-24,0.08109
2020-07-25,0.12975
2020-07-26,0.08109
2020-07-27,0.20274
2020-07-28,0.11353
2020-07-29,0.23517
2020-07-30,0.25139
2020-07-31,0.12164
2020-08-01,0.0892
2020-08-02,0.23517
2020-08-03,0.10542
2020-08-04,0.15408
2020-08-05,0.12975
2020-08-06,0.20274
2020-08-07,0.1703
2020-08-08,0.12975
2020-08-09,0.21896
