date,청창사
2020-03-20,2.86885
2020-03-22,1.63934
2020-03-23,2.3224
2020-03-24,2.18579
2020-03-25,2.3224
2020-03-27,0.68306
2020-03-28,0.68306
2020-03-29,1.50273
2020-03-30,1.63934
2020-03-31,1.36612
2020-04-01,2.59562
2020-04-02,3.14207
2020-04-03,2.04918
2020-04-04,1.50273
2020-04-06,4.09836
2020-04-07,1.2295
2020-04-08,2.59562
2020-04-09,1.77595
2020-04-10,0.95628
2020-04-13,2.04918
2020-04-14,2.3224
2020-04-16,0.68306
2020-04-17,0.68306
2020-04-20,0.68306
2020-04-21,2.59562
2020-04-22,1.63934
2020-04-23,2.04918
2020-04-24,2.18579
2020-04-25,0.81967
2020-04-26,0.95628
2020-04-27,1.09289
2020-04-28,2.45901
2020-04-29,2.59562
2020-05-04,1.2295
2020-05-06,2.18579
2020-05-07,2.45901
2020-05-08,1.63934
2020-05-11,0.95628
2020-05-12,2.3224
2020-05-13,2.04918
2020-05-14,2.04918
2020-05-15,0.95628
2020-05-16,0.68306
2020-05-18,1.63934
2020-05-19,2.18579
2020-05-20,0.95628
2020-05-21,0.68306
2020-05-22,1.09289
2020-05-25,1.77595
2020-05-26,1.2295
2020-05-27,1.09289
2020-05-28,0.95628
2020-05-29,0.81967
2020-06-01,1.2295
2020-06-02,1.50273
2020-06-03,0.81967
2020-06-04,2.04918
2020-06-08,1.09289
2020-06-09,1.63934
2020-06-10,1.63934
2020-06-11,1.09289
2020-06-12,1.09289
2020-06-16,1.36612
2020-06-17,1.2295
2020-06-18,1.63934
2020-06-19,1.09289
2020-06-22,1.50273
2020-06-23,0.81967
2020-06-25,1.63934
2020-06-29,0.95628
2020-07-01,0.68306
2020-07-02,0.81967
2020-07-03,1.91256
2020-07-06,0.95628
2020-07-07,2.18579
2020-07-08,2.04918
2020-07-09,1.91256
2020-07-10,1.77595
2020-07-13,2.3224
2020-07-14,1.09289
2020-07-15,0.81967
2020-07-16,0.95628
2020-07-20,0.95628
2020-07-21,1.50273
2020-07-22,0.95628
2020-07-23,2.18579
2020-07-24,0.95628
2020-07-27,0.81967
2020-07-28,2.04918
2020-07-30,0.68306
2020-08-03,1.91256
2020-08-04,2.18579
2020-08-05,1.63934
2020-08-06,2.18579
2020-08-07,1.2295
2020-08-09,1.36612
2020-08-10,0.95628
2020-08-11,0.81967
2020-08-12,1.36612
2020-08-13,1.77595
2020-08-14,2.3224
2020-08-18,3.14207
2020-08-19,2.3224
2020-08-20,1.36612
2020-08-21,1.09289
2020-08-23,0.68306
2020-08-24,0.95628
2020-08-25,1.63934
2020-08-26,2.45901
2020-08-27,2.04918
2020-08-28,1.50273
2020-08-31,2.18579
2020-09-01,2.18579
2020-09-02,1.36612
2020-09-03,1.63934
2020-09-04,2.04918
2020-09-07,1.2295
2020-09-08,0.68306
2020-09-09,0.95628
2020-09-11,1.2295
2020-09-14,0.68306
2020-09-15,0.81967
2020-09-16,0.81967
2020-09-17,0.81967
2020-09-18,0.81967
2020-09-22,1.2295
2020-09-23,1.36612
2020-09-24,0.81967
2020-09-25,1.36612
2020-09-28,2.59562
2020-09-29,0.95628
2020-10-05,2.59562
2020-10-06,1.63934
2020-10-07,1.2295
2020-10-08,0.95628
2020-10-12,2.45901
2020-10-13,0.81967
2020-10-15,1.09289
2020-10-16,0.68306
2020-10-19,1.77595
2020-10-20,2.86885
2020-10-21,1.77595
2020-10-22,2.3224
2020-10-23,0.68306
2020-10-26,0.81967
2020-10-27,2.3224
2020-10-28,2.3224
2020-10-29,1.36612
2020-11-02,1.36612
2020-11-03,1.63934
2020-11-04,2.04918
2020-11-05,1.2295
2020-11-06,2.45901
2020-11-09,1.77595
2020-11-10,1.09289
2020-11-11,1.2295
2020-11-13,2.73224
2020-11-16,1.50273
2020-11-17,2.04918
2020-11-18,1.50273
2020-11-19,2.18579
2020-11-20,1.09289
2020-11-23,2.04918
2020-11-24,0.81967
2020-11-26,1.09289
2020-11-27,1.63934
2020-11-30,1.50273
2020-12-01,1.50273
2020-12-02,3.14207
2020-12-03,0.81967
2020-12-04,0.81967
2020-12-07,0.95628
2020-12-09,2.18579
2020-12-10,0.81967
2020-12-11,0.95628
2020-12-13,1.09289
2020-12-15,2.3224
2020-12-16,1.50273
2020-12-17,0.68306
2020-12-18,1.91256
2020-12-21,2.18579
2020-12-22,2.45901
2020-12-23,1.09289
2020-12-24,1.91256
2020-12-28,2.3224
2020-12-29,2.04918
2020-12-30,2.04918
2020-12-31,0.68306
2021-01-02,1.77595
2021-01-03,2.3224
2021-01-04,2.73224
2021-01-05,2.45901
2021-01-06,2.86885
2021-01-07,1.09289
2021-01-08,1.77595
2021-01-09,0.95628
2021-01-10,1.77595
2021-01-11,2.73224
2021-01-12,3.4153
2021-01-13,2.18579
2021-01-14,3.00546
2021-01-15,1.50273
2021-01-16,0.68306
2021-01-17,1.63934
2021-01-18,8.0601
2021-01-19,6.69398
2021-01-20,4.50819
2021-01-21,4.09836
2021-01-22,4.78142
2021-01-23,1.50273
2021-01-24,1.50273
2021-01-25,5.32786
2021-01-26,5.19125
2021-01-27,6.01092
2021-01-28,4.37158
2021-01-29,12.02185
2021-01-30,4.91803
2021-01-31,2.3224
2021-02-01,7.78688
2021-02-02,13.25136
2021-02-03,9.01639
2021-02-04,9.97267
2021-02-05,9.28961
2021-02-06,5.05464
2021-02-07,7.65027
2021-02-08,20.76502
2021-02-09,9.153
2021-02-10,4.78142
2021-02-11,2.3224
2021-02-12,1.09289
2021-02-13,4.50819
2021-02-14,4.37158
2021-02-15,5.19125
2021-02-16,5.87431
2021-02-17,10.2459
2021-02-18,78.82513
2021-02-19,15.43715
2021-02-20,3.96174
2021-02-21,3.00546
2021-02-22,7.92349
2021-02-23,5.05464
2021-02-24,5.87431
2021-02-25,6.28415
2021-02-26,5.7377
2021-02-27,3.55191
2021-02-28,1.91256
2021-03-01,3.55191
2021-03-02,6.69398
2021-03-03,5.60109
2021-03-04,5.32786
2021-03-05,29.23497
2021-03-06,4.37158
2021-03-07,2.86885
2021-03-08,9.01639
2021-03-09,8.60655
2021-03-10,4.78142
2021-03-11,5.7377
2021-03-12,3.96174
2021-03-13,1.2295
2021-03-14,1.2295
2021-03-15,44.67213
2021-03-16,19.26229
2021-03-17,11.06557
2021-03-18,6.69398
2021-03-19,5.7377
2021-03-20,1.50273
2021-03-21,0.95628
2021-03-22,6.14754
2021-03-23,4.37158
2021-03-24,4.50819
2021-03-25,3.68852
2021-03-26,4.91803
2021-03-28,0.81967
2021-03-29,3.96174
2021-03-30,3.27868
2021-03-31,4.78142
2021-04-01,4.23497
2021-04-02,2.73224
2021-04-03,0.81967
2021-04-05,4.91803
2021-04-06,3.55191
2021-04-07,3.27868
2021-04-08,3.68852
2021-04-09,5.7377
2021-04-11,0.81967
2021-04-12,3.55191
2021-04-13,5.05464
2021-04-14,5.19125
2021-04-15,3.27868
2021-04-16,3.27868
2021-04-17,0.81967
2021-04-19,3.96174
2021-04-20,4.78142
2021-04-21,2.73224
2021-04-22,1.2295
2021-04-23,3.00546
2021-04-24,0.68306
2021-04-25,0.68306
2021-04-26,3.14207
2021-04-27,3.00546
2021-04-28,2.86885
2021-04-29,3.82513
2021-04-30,3.55191
2021-05-01,0.68306
2021-05-03,3.27868
2021-05-04,3.68852
2021-05-06,4.23497
2021-05-07,3.96174
2021-05-08,0.81967
2021-05-10,2.45901
2021-05-11,2.18579
2021-05-12,3.55191
2021-05-13,4.09836
2021-05-14,2.45901
2021-05-17,3.55191
2021-05-18,3.82513
2021-05-19,1.91256
2021-05-20,1.91256
2021-05-21,2.45901
2021-05-24,3.00546
2021-05-25,2.3224
2021-05-26,2.45901
2021-05-27,2.73224
2021-05-28,1.91256
2021-05-29,0.68306
2021-05-31,2.3224
2021-06-01,1.36612
2021-06-02,2.3224
2021-06-03,4.09836
2021-06-04,2.18579
2021-06-07,5.87431
2021-06-08,3.00546
2021-06-09,3.96174
2021-06-10,2.86885
2021-06-11,1.50273
2021-06-14,3.68852
2021-06-15,1.91256
2021-06-16,2.73224
2021-06-17,2.04918
2021-06-18,1.09289
2021-06-19,2.73224
2021-06-20,2.73224
2021-06-21,3.27868
2021-06-22,3.68852
