date,캐시백신용카드
2020-03-20,2.98013
2020-03-21,1.3245
2020-03-22,1.65562
2020-03-23,3.80794
2020-03-24,3.80794
2020-03-25,2.649
2020-03-26,3.47682
2020-03-27,1.82119
2020-03-28,1.65562
2020-03-29,1.49006
2020-03-30,1.82119
2020-03-31,2.81456
2020-04-01,1.98675
2020-04-02,2.31788
2020-04-03,1.98675
2020-04-04,1.3245
2020-04-05,2.649
2020-04-06,2.649
2020-04-07,2.98013
2020-04-08,2.15231
2020-04-09,2.31788
2020-04-10,1.82119
2020-04-11,0.82781
2020-04-12,1.15894
2020-04-13,2.48344
2020-04-14,3.14569
2020-04-15,1.15894
2020-04-16,3.9735
2020-04-17,3.64238
2020-04-18,1.49006
2020-04-19,1.82119
2020-04-20,3.9735
2020-04-21,2.15231
2020-04-22,2.98013
2020-04-23,4.63576
2020-04-24,1.65562
2020-04-25,1.65562
2020-04-26,1.49006
2020-04-27,3.9735
2020-04-28,3.31125
2020-04-29,7.1192
2020-04-30,0.99337
2020-05-01,1.65562
2020-05-02,2.98013
2020-05-03,2.31788
2020-05-04,3.80794
2020-05-05,1.3245
2020-05-06,3.14569
2020-05-07,4.47019
2020-05-08,2.15231
2020-05-09,0.82781
2020-05-10,2.31788
2020-05-11,3.47682
2020-05-12,4.47019
2020-05-13,3.80794
2020-05-14,4.13907
2020-05-15,4.47019
2020-05-16,1.3245
2020-05-17,1.49006
2020-05-18,1.49006
2020-05-19,2.48344
2020-05-20,2.81456
2020-05-21,2.649
2020-05-22,0.99337
2020-05-24,2.15231
2020-05-25,0.82781
2020-05-26,3.14569
2020-05-27,2.15231
2020-05-28,1.15894
2020-05-29,2.48344
2020-05-30,1.3245
2020-05-31,1.3245
2020-06-01,1.49006
2020-06-02,1.49006
2020-06-03,1.49006
2020-06-04,0.82781
2020-06-05,0.82781
2020-06-06,1.15894
2020-06-07,2.31788
2020-06-08,2.81456
2020-06-09,2.15231
2020-06-10,2.98013
2020-06-11,1.3245
2020-06-12,4.13907
2020-06-13,1.65562
2020-06-14,1.15894
2020-06-15,2.15231
2020-06-16,3.47682
2020-06-17,2.15231
2020-06-18,1.82119
2020-06-19,1.65562
2020-06-20,0.99337
2020-06-21,1.3245
2020-06-22,2.31788
2020-06-23,2.649
2020-06-25,2.98013
2020-06-26,1.98675
2020-06-27,0.99337
2020-06-28,0.82781
2020-06-29,2.15231
2020-06-30,1.65562
2020-07-01,1.98675
2020-07-02,2.81456
2020-07-03,1.3245
2020-07-04,1.15894
2020-07-05,2.649
2020-07-06,1.65562
