date,셀트리온주가
2020-03-20,10.1083
2020-03-21,1.45042
2020-03-22,1.21523
2020-03-23,26.14594
2020-03-24,50.46753
2020-03-25,15.6163
2020-03-26,14.14663
2020-03-27,12.68428
2020-03-28,2.29987
2020-03-29,1.73059
2020-03-30,11.06531
2020-03-31,18.65779
2020-04-01,17.94273
2020-04-02,15.6816
2020-04-03,13.40448
2020-04-04,1.69374
2020-04-05,1.15644
2020-04-06,12.41305
2020-04-07,11.97519
2020-04-08,10.11588
2020-04-09,10.19527
2020-04-10,10.31395
2020-04-11,1.3312
2020-04-12,1.17324
2020-04-13,14.55361
2020-04-14,11.96083
2020-04-15,1.68209
2020-04-16,8.74213
2020-04-17,9.48943
2020-04-18,1.19844
2020-04-19,0.86408
2020-04-20,8.36252
2020-04-21,8.58362
2020-04-22,8.32567
2020-04-23,7.70464
2020-04-24,7.23562
2020-04-25,0.89144
2020-04-26,0.75623
2020-04-27,6.85682
2020-04-28,6.40812
2020-04-29,5.97648
2020-04-30,0.93832
2020-05-01,1.14316
2020-05-02,0.53757
2020-05-03,0.5354
2020-05-04,5.5966
2020-05-05,0.86651
2020-05-06,5.87894
2020-05-07,4.88886
2020-05-08,5.93069
2020-05-09,0.7733
2020-05-10,0.5858
2020-05-11,6.54386
2020-05-12,6.6601
2020-05-13,6.40568
2020-05-14,6.63382
2020-05-15,6.36232
2020-05-16,0.92504
2020-05-17,0.5812
2020-05-18,6.54928
2020-05-19,6.33794
2020-05-20,6.18458
2020-05-21,6.07457
2020-05-22,5.50149
2020-05-23,0.67386
2020-05-24,0.49422
2020-05-25,5.06824
2020-05-26,5.32456
2020-05-27,5.12432
2020-05-28,5.04412
2020-05-29,4.65963
2020-05-30,0.60179
2020-05-31,0.50181
2020-06-01,11.35117
2020-06-02,8.2853
2020-06-03,9.17919
2020-06-04,9.96686
2020-06-05,10.74965
2020-06-06,1.29029
2020-06-07,0.96704
2020-06-08,9.30139
2020-06-09,9.37373
2020-06-10,9.59158
2020-06-11,14.28265
2020-06-12,15.4903
2020-06-13,1.6596
2020-06-14,1.26103
2020-06-15,13.40286
2020-06-16,12.50328
2020-06-17,11.30565
2020-06-18,9.97634
2020-06-19,9.40652
2020-06-20,1.03965
2020-06-21,0.81124
2020-06-22,10.34267
2020-06-23,15.26595
2020-06-24,13.44648
2020-06-25,11.05258
2020-06-26,10.06521
2020-06-27,1.24856
2020-06-28,0.96812
2020-06-29,11.19781
2020-06-30,10.13946
2020-07-01,9.36804
2020-07-02,9.87202
2020-07-03,8.95294
2020-07-04,1.02313
2020-07-05,0.82858
2020-07-06,8.9589
2020-07-07,9.138
2020-07-08,10.15084
2020-07-09,13.20343
2020-07-10,10.27873
2020-07-11,1.26184
2020-07-12,1.19844
2020-07-13,10.13485
2020-07-14,9.13773
2020-07-15,9.08923
2020-07-16,8.92097
2020-07-17,10.919
2020-07-18,1.97229
2020-07-19,1.22743
2020-07-20,11.43544
2020-07-21,10.45295
2020-07-22,9.27212
2020-07-23,8.86569
2020-07-24,7.97912
2020-07-25,0.97571
2020-07-26,0.96135
2020-07-27,8.17827
2020-07-28,8.25414
2020-07-29,10.63666
2020-07-30,11.60723
2020-07-31,8.28178
2020-08-01,1.03776
2020-08-02,0.77439
2020-08-03,9.12906
2020-08-04,8.6408
2020-08-05,10.02647
2020-08-06,8.94102
2020-08-07,8.70799
2020-08-08,1.20277
2020-08-09,0.89794
2020-08-10,9.00577
2020-08-11,8.2685
2020-08-12,8.59853
2020-08-13,10.03568
2020-08-14,7.61604
2020-08-15,0.86949
2020-08-16,0.67576
2020-08-17,1.65608
2020-08-18,8.5083
2020-08-19,8.24466
2020-08-20,8.89008
2020-08-21,8.07802
2020-08-22,0.94319
2020-08-23,0.69581
2020-08-24,8.09455
2020-08-25,7.86749
2020-08-26,11.0748
2020-08-27,7.74041
2020-08-28,7.14512
2020-08-29,0.84565
2020-08-30,0.85595
2020-08-31,7.33966
2020-09-01,7.19551
2020-09-02,6.98417
2020-09-03,6.54684
2020-09-04,6.2637
2020-09-05,0.82804
2020-09-06,0.71478
2020-09-07,7.61658
2020-09-08,12.64743
2020-09-09,14.49996
2020-09-10,10.45837
2020-09-11,9.89614
2020-09-12,1.31603
2020-09-13,0.98953
2020-09-14,7.73689
2020-09-15,7.33939
2020-09-16,7.46268
2020-09-17,9.44743
2020-09-18,9.14586
2020-09-19,1.01744
2020-09-20,0.70313
2020-09-21,7.91084
2020-09-22,7.86342
2020-09-23,7.96584
2020-09-24,7.9103
2020-09-25,9.26887
2020-09-26,1.40816
2020-09-27,1.41547
2020-09-28,7.70681
2020-09-29,5.80199
2020-09-30,0.71559
2020-10-01,0.54082
2020-10-02,0.51237
2020-10-03,0.53053
2020-10-04,0.60342
2020-10-05,6.20463
2020-10-06,6.44063
2020-10-07,6.16913
2020-10-08,6.44903
2020-10-09,1.06269
2020-10-10,0.61371
2020-10-11,0.59339
2020-10-12,9.41871
2020-10-13,6.7143
2020-10-14,5.88896
2020-10-15,5.79061
2020-10-16,5.96266
2020-10-17,0.79661
2020-10-18,0.70204
2020-10-19,5.94966
2020-10-20,6.5463
2020-10-21,6.09055
2020-10-22,6.00737
2020-10-23,5.87487
2020-10-24,1.03749
2020-10-25,0.76057
2020-10-26,6.92456
2020-10-27,6.45309
2020-10-28,5.78762
2020-10-29,7.12344
2020-10-30,6.17265
2020-10-31,0.80446
