date,공매도
2020-11-08,0.16344
2020-11-09,0.2722
2020-11-10,0.34173
2020-11-11,0.40237
2020-11-12,0.55331
2020-11-13,0.48738
2020-11-14,0.30103
2020-11-15,0.21708
2020-11-16,0.44667
2020-11-17,0.45473
2020-11-18,0.44392
2020-11-19,0.3977
2020-11-20,0.37205
2020-11-21,0.22429
2020-11-22,0.28704
2020-11-23,0.6998
2020-11-24,0.61754
2020-11-25,0.82339
2020-11-26,0.61924
2020-11-27,0.67309
2020-11-28,0.41021
2020-11-29,0.54864
2020-11-30,0.64616
2020-12-01,0.5497
2020-12-02,1.07758
2020-12-03,1.11955
2020-12-04,1.11871
2020-12-05,0.8588
2020-12-06,0.55437
2020-12-07,1.00889
2020-12-08,1.1698
2020-12-09,1.16428
2020-12-10,1.14605
2020-12-11,0.96691
2020-12-12,0.43925
2020-12-13,0.59656
2020-12-14,1.01292
2020-12-15,0.9631
2020-12-16,0.76488
2020-12-17,0.74093
2020-12-18,0.6981
2020-12-19,0.56582
2020-12-20,1.05786
2020-12-21,1.12612
2020-12-22,0.75767
2020-12-23,0.68687
2020-12-24,0.90713
2020-12-25,0.63472
2020-12-26,0.64086
2020-12-27,0.69195
2020-12-28,0.8518
2020-12-29,1.00444
2020-12-30,1.72565
2020-12-31,1.40554
2021-01-01,1.21601
2021-01-02,1.46702
2021-01-03,1.62898
2021-01-04,2.87532
2021-01-05,3.49308
2021-01-06,4.14582
2021-01-07,4.08921
2021-01-08,6.10128
2021-01-09,3.94399
2021-01-10,4.95904
2021-01-11,43.07044
2021-01-12,100.0
2021-01-13,24.37163
2021-01-14,12.14193
2021-01-15,8.48371
2021-01-16,3.82146
2021-01-17,5.79664
2021-01-18,7.74638
2021-01-19,8.50702
2021-01-20,8.70885
2021-01-21,10.40822
2021-01-22,5.51617
2021-01-23,3.58063
2021-01-24,3.3627
2021-01-25,4.74683
2021-01-26,4.70506
2021-01-27,6.00927
2021-01-28,9.51995
2021-01-29,15.91061
2021-01-30,12.87226
2021-01-31,6.30437
2021-02-01,15.49849
2021-02-02,8.10635
2021-02-03,35.32215
2021-02-04,11.94371
2021-02-05,4.72923
2021-02-06,2.73285
2021-02-07,2.15071
2021-02-08,2.20837
2021-02-09,1.50878
2021-02-10,1.16598
2021-02-11,0.9773
2021-02-12,1.09814
2021-02-13,0.84311
2021-02-14,0.91879
2021-02-15,1.31756
2021-02-16,1.42398
2021-02-17,1.55542
2021-02-18,1.62156
2021-02-19,1.36038
2021-02-20,0.66249
2021-02-21,0.66651
2021-02-22,1.42271
2021-02-23,1.87872
2021-02-24,1.83886
2021-02-25,1.44582
2021-02-26,1.1363
2021-02-27,0.64934
2021-02-28,0.5338
2021-03-01,0.5461
2021-03-02,0.89992
2021-03-03,1.02712
2021-03-04,1.04429
2021-03-05,1.29827
2021-03-06,0.77951
2021-03-07,1.27368
2021-03-08,1.59443
2021-03-09,1.67838
2021-03-10,1.51874
2021-03-11,1.21983
2021-03-12,1.07164
2021-03-13,0.58638
2021-03-14,0.64023
2021-03-15,1.13291
2021-03-16,1.12697
2021-03-17,0.9737
2021-03-18,1.13545
2021-03-19,1.04345
2021-03-20,0.57938
2021-03-21,0.64192
2021-03-22,0.94466
2021-03-23,1.1221
2021-03-24,0.96013
2021-03-25,1.03921
2021-03-26,1.12167
2021-03-27,0.58935
2021-03-28,0.56179
2021-03-29,1.15856
2021-03-30,1.4013
2021-03-31,1.22513
2021-04-01,1.26138
2021-04-02,1.31099
2021-04-03,0.73223
2021-04-04,1.13566
2021-04-05,1.87617
2021-04-06,2.66819
2021-04-07,1.74113
2021-04-08,1.75194
2021-04-09,1.71845
2021-04-10,0.79541
2021-04-11,0.80452
2021-04-12,1.70912
2021-04-13,1.82126
2021-04-14,1.80282
2021-04-15,2.45938
2021-04-16,2.37034
2021-04-17,1.20032
2021-04-18,1.61881
2021-04-19,4.79728
2021-04-20,5.15513
2021-04-21,5.14305
2021-04-22,4.49603
2021-04-23,4.36778
2021-04-24,1.96881
2021-04-25,2.68537
2021-04-26,5.0962
2021-04-27,6.59248
2021-04-28,7.62787
2021-04-29,8.245
2021-04-30,12.79361
2021-05-01,5.18821
2021-05-02,8.49812
2021-05-03,34.94076
2021-05-04,21.1126
2021-05-05,3.67031
2021-05-06,4.39131
2021-05-07,2.86387
2021-05-08,1.31353
2021-05-09,1.48398
2021-05-10,2.11424
2021-05-11,2.48397
2021-05-12,4.94356
2021-05-13,5.66329
2021-05-14,2.14541
2021-05-15,0.75089
2021-05-16,0.75767
2021-05-17,1.92027
2021-05-18,1.34533
2021-05-19,0.64468
2021-05-20,1.36971
2021-05-21,1.36801
2021-05-22,0.50709
2021-05-23,0.43607
2021-05-24,1.23552
2021-05-25,0.96373
2021-05-26,1.19015
2021-05-27,1.45981
2021-05-28,1.15093
2021-05-29,0.50455
2021-05-30,0.80813
2021-05-31,1.18951
2021-06-01,0.92367
2021-06-02,1.06761
2021-06-03,1.2406
2021-06-04,0.95229
