date,금값
2020-11-08,3.46176
2020-11-09,6.97106
2020-11-10,13.355
2020-11-11,7.26063
2020-11-12,6.4351
2020-11-13,6.11977
2020-11-14,3.5151
2020-11-15,3.22372
2020-11-16,6.26347
2020-11-17,6.18944
2020-11-18,6.03486
2020-11-19,5.79428
2020-11-20,5.84508
2020-11-21,3.66243
2020-11-22,3.55248
2020-11-23,6.44345
2020-11-24,7.54983
2020-11-25,8.38951
2020-11-26,8.34016
2020-11-27,8.36447
2020-11-28,6.89849
2020-11-29,4.94444
2020-11-30,9.00457
2020-12-01,8.36411
2020-12-02,10.66107
2020-12-03,10.0431
2020-12-04,9.39067
2020-12-05,5.60087
2020-12-06,5.066
2020-12-07,9.61601
2020-12-08,8.33799
2020-12-09,7.57596
2020-12-10,7.54838
2020-12-11,6.86184
2020-12-12,4.60189
2020-12-13,4.14032
2020-12-14,6.92824
2020-12-15,6.79434
2020-12-16,6.6775
2020-12-17,7.06395
2020-12-18,7.53205
2020-12-19,4.43788
2020-12-20,4.03654
2020-12-21,7.45948
2020-12-22,7.22108
2020-12-23,6.50369
2020-12-24,6.34221
2020-12-25,4.23177
2020-12-26,3.96615
2020-12-27,4.03981
2020-12-28,6.72866
2020-12-29,6.47647
2020-12-30,6.43184
2020-12-31,5.84617
2021-01-01,5.54317
2021-01-02,4.20165
2021-01-03,9.89614
2021-01-04,9.00494
2021-01-05,9.42115
2021-01-06,8.8362
2021-01-07,7.88476
2021-01-08,8.18776
2021-01-09,5.7823
2021-01-10,4.94045
2021-01-11,9.68931
2021-01-12,8.54155
2021-01-13,7.22035
2021-01-14,6.84914
2021-01-15,6.59186
2021-01-16,4.39324
2021-01-17,4.39107
2021-01-18,6.83244
2021-01-19,6.39011
2021-01-20,6.25548
2021-01-21,6.24315
2021-01-22,6.2152
2021-01-23,3.98284
2021-01-24,3.61961
2021-01-25,6.01526
2021-01-26,6.30374
2021-01-27,5.44883
2021-01-28,5.87338
2021-01-29,6.05845
2021-01-30,3.86128
2021-01-31,3.53869
2021-02-01,5.99422
2021-02-02,9.55105
2021-02-03,5.98115
2021-02-04,5.20861
2021-02-05,5.99313
2021-02-06,3.6715
2021-02-07,3.34056
2021-02-08,5.20317
2021-02-09,5.22603
2021-02-10,4.81562
2021-02-11,3.1965
2021-02-12,3.4672
2021-02-13,3.14788
2021-02-14,3.29593
