date,오피스텔매매
2020-03-20,29.26447
2020-03-21,28.79499
2020-03-22,35.68075
2020-03-23,36.46322
2020-03-24,34.89827
2020-03-25,38.81064
2020-03-26,42.56651
2020-03-27,32.23787
2020-03-28,31.76838
2020-03-29,35.05477
2020-03-30,40.84507
2020-03-31,34.58528
2020-04-01,37.24569
2020-04-02,35.52425
2020-04-03,35.83724
2020-04-04,28.16901
2020-04-05,32.39436
2020-04-06,41.00156
2020-04-07,40.68857
2020-04-08,35.36776
2020-04-09,31.45539
2020-04-10,33.17683
2020-04-11,35.68075
2020-04-12,37.24569
2020-04-13,36.77621
2020-04-14,37.0892
2020-04-15,36.61971
2020-04-16,37.55868
2020-04-17,32.23787
2020-04-18,35.83724
2020-04-19,38.81064
2020-04-20,38.65414
2020-04-21,43.03599
2020-04-22,33.64632
2020-04-23,34.58528
2020-04-24,30.82942
2020-04-25,30.51643
2020-04-26,41.94053
2020-04-27,43.34898
2020-04-28,46.47887
2020-04-29,34.2723
2020-04-30,28.79499
2020-05-01,31.61189
2020-05-02,31.61189
2020-05-03,37.0892
2020-05-04,35.52425
2020-05-05,44.60093
2020-05-06,42.87949
2020-05-07,37.0892
2020-05-08,34.89827
2020-05-09,31.45539
2020-05-10,39.43661
2020-05-11,40.84507
2020-05-12,46.63536
2020-05-13,45.07042
2020-05-14,34.89827
2020-05-15,33.33333
2020-05-16,37.40219
2020-05-17,40.68857
2020-05-18,46.32237
2020-05-19,42.25352
2020-05-20,42.56651
2020-05-21,41.62754
2020-05-22,33.95931
2020-05-23,41.78403
2020-05-24,45.6964
2020-05-25,52.26917
2020-05-26,46.63536
2020-05-27,41.31455
2020-05-28,39.7496
2020-05-29,32.86384
2020-05-30,36.15023
2020-05-31,39.28012
2020-06-01,45.07042
2020-06-02,39.7496
2020-06-03,39.7496
2020-06-04,40.37558
2020-06-05,53.83411
2020-06-06,45.07042
2020-06-07,55.55555
2020-06-08,48.04381
2020-06-09,41.31455
2020-06-10,48.66979
2020-06-11,50.70422
2020-06-12,43.34898
2020-06-13,40.53208
2020-06-14,42.09702
2020-06-15,48.66979
2020-06-16,44.28794
