date,헌트
2020-03-20,0.01702
2020-03-21,0.01955
2020-03-22,0.01955
2020-03-23,0.01716
2020-03-24,0.01266
2020-03-25,0.01829
2020-03-26,0.13816
2020-03-27,0.29222
2020-03-28,0.23215
2020-03-29,0.21006
2020-03-30,0.13084
2020-03-31,0.10566
2020-04-01,0.10439
2020-04-02,0.07161
2020-04-03,0.05557
2020-04-04,0.24973
2020-04-05,0.1573
2020-04-06,0.08329
2020-04-07,0.18389
2020-04-08,0.12128
2020-04-09,0.12958
2020-04-10,0.09933
2020-04-11,0.13014
2020-04-12,0.13689
2020-04-13,0.08934
2020-04-14,0.10453
2020-04-15,0.06289
2020-04-16,0.05613
2020-04-17,0.05684
2020-04-18,0.07048
2020-04-19,0.06303
2020-04-20,0.05205
2020-04-21,0.06556
2020-04-22,0.10524
2020-04-23,0.34133
2020-04-24,0.68491
2020-04-25,4.02691
2020-04-26,2.03519
2020-04-27,0.94506
2020-04-28,0.87021
2020-04-29,0.83476
2020-04-30,1.554
2020-05-01,0.83096
2020-05-02,1.32199
2020-05-03,1.12994
2020-05-04,0.7426
2020-05-05,0.74738
2020-05-06,0.34864
2020-05-07,0.25367
2020-05-08,0.26169
2020-05-09,0.4356
2020-05-10,0.3962
2020-05-11,0.22849
2020-05-12,0.20893
2020-05-13,0.1905
2020-05-14,0.18262
2020-05-15,0.21484
2020-05-16,0.23918
2020-05-17,0.23609
2020-05-18,0.17573
2020-05-19,0.14632
2020-05-20,0.12676
2020-05-21,0.12775
2020-05-22,0.13774
2020-05-23,0.2873
2020-05-24,0.29701
2020-05-25,0.22483
2020-05-26,0.26043
2020-05-27,0.22385
2020-05-28,0.15814
2020-05-29,0.20035
2020-05-30,0.36834
2020-05-31,0.32824
2020-06-01,0.14632
2020-06-02,0.14491
2020-06-03,0.12465
2020-06-04,0.1293
2020-06-05,0.14154
2020-06-06,0.19064
2020-06-07,0.17587
2020-06-08,0.10721
2020-06-09,0.10045
2020-06-10,0.10228
2020-06-11,0.08976
2020-06-12,0.11044
2020-06-13,0.14632
2020-06-14,0.14688
2020-06-15,0.07442
2020-06-16,0.07231
2020-06-17,0.06232
2020-06-18,0.07611
2020-06-19,0.08413
2020-06-20,0.1307
