date,연회비없는삼성카드
2020-03-20,16.66666
2020-03-21,13.54166
2020-03-22,13.54166
2020-03-23,15.625
2020-03-24,16.66666
2020-03-25,25.0
2020-03-26,21.875
2020-03-27,9.375
2020-03-28,7.29166
2020-03-29,12.5
2020-03-30,26.04166
2020-03-31,15.625
2020-04-01,17.70833
2020-04-02,9.375
2020-04-03,7.29166
2020-04-04,5.20833
2020-04-06,5.20833
2020-04-07,16.66666
2020-04-08,7.29166
2020-04-09,7.29166
2020-04-10,14.58333
2020-04-13,30.20833
2020-04-14,17.70833
2020-04-15,11.45833
2020-04-16,9.375
2020-04-17,16.66666
2020-04-19,6.25
2020-04-20,9.375
2020-04-21,17.70833
2020-04-22,15.625
2020-04-23,7.29166
2020-04-25,7.29166
2020-04-27,11.45833
2020-04-28,12.5
2020-04-29,13.54166
2020-05-01,5.20833
2020-05-03,13.54166
2020-05-04,9.375
2020-05-05,6.25
2020-05-06,28.125
2020-05-07,20.83333
2020-05-08,17.70833
2020-05-09,6.25
2020-05-10,11.45833
2020-05-11,10.41666
2020-05-12,27.08333
2020-05-13,23.95833
2020-05-14,20.83333
2020-05-15,11.45833
2020-05-16,9.375
2020-05-17,7.29166
2020-05-18,15.625
2020-05-19,25.0
2020-05-20,25.0
2020-05-21,6.25
2020-05-22,12.5
2020-05-24,8.33333
2020-05-25,12.5
2020-05-26,15.625
2020-05-27,15.625
2020-05-28,8.33333
2020-05-29,5.20833
2020-05-31,6.25
2020-06-02,16.66666
2020-06-03,12.5
2020-06-04,14.58333
2020-06-05,8.33333
2020-06-06,7.29166
2020-06-08,10.41666
2020-06-09,8.33333
2020-06-10,13.54166
2020-06-11,10.41666
2020-06-12,11.45833
2020-06-13,6.25
2020-06-14,6.25
2020-06-15,9.375
2020-06-16,11.45833
2020-06-18,11.45833
2020-06-19,7.29166
2020-06-21,6.25
2020-06-22,15.625
2020-06-23,13.54166
2020-06-25,10.41666
2020-06-26,9.375
2020-06-28,10.41666
2020-06-29,6.25
2020-06-30,10.41666
2020-07-01,9.375
2020-07-02,9.375
2020-07-03,5.20833
2020-07-04,9.375
2020-07-05,5.20833
2020-07-06,13.54166
2020-07-07,20.83333
2020-07-08,7.29166
2020-07-09,8.33333
2020-07-10,7.29166
2020-07-11,5.20833
2020-07-14,5.20833
2020-07-16,7.29166
2020-07-17,10.41666
2020-07-18,8.33333
2020-07-19,7.29166
2020-07-20,11.45833
2020-07-21,11.45833
2020-07-22,9.375
2020-07-23,14.58333
2020-07-24,19.79166
2020-07-25,9.375
2020-07-26,12.5
2020-07-27,7.29166
2020-07-28,14.58333
2020-07-29,14.58333
2020-07-30,6.25
2020-07-31,11.45833
2020-08-01,5.20833
2020-08-02,8.33333
2020-08-03,13.54166
2020-08-04,14.58333
2020-08-05,15.625
2020-08-06,15.625
2020-08-07,17.70833
2020-08-08,11.45833
2020-08-09,7.29166
2020-08-10,20.83333
2020-08-11,11.45833
2020-08-12,16.66666
2020-08-13,13.54166
2020-08-14,21.875
2020-08-15,6.25
2020-08-17,9.375
2020-08-18,25.0
2020-08-19,8.33333
2020-08-20,9.375
2020-08-21,12.5
2020-08-22,6.25
2020-08-24,12.5
2020-08-25,6.25
2020-08-26,7.29166
2020-08-27,7.29166
2020-09-01,20.83333
2020-09-02,19.79166
2020-09-03,9.375
2020-09-04,13.54166
2020-09-05,8.33333
2020-09-06,6.25
2020-09-07,9.375
2020-09-08,14.58333
2020-09-09,12.5
2020-09-10,18.75
2020-09-11,6.25
2020-09-12,7.29166
2020-09-13,7.29166
2020-09-14,17.70833
2020-09-15,11.45833
2020-09-16,10.41666
2020-09-17,12.5
2020-09-18,10.41666
2020-09-19,10.41666
2020-09-20,7.29166
2020-09-21,13.54166
2020-09-22,13.54166
2020-09-23,14.58333
2020-09-24,7.29166
2020-09-25,6.25
2020-09-26,7.29166
2020-09-29,10.41666
2020-09-30,6.25
2020-10-02,5.20833
2020-10-04,7.29166
2020-10-05,16.66666
2020-10-06,14.58333
2020-10-08,15.625
2020-10-09,6.25
2020-10-10,8.33333
2020-10-11,5.20833
2020-10-12,20.83333
2020-10-13,10.41666
2020-10-14,6.25
2020-10-15,18.75
2020-10-16,11.45833
2020-10-19,10.41666
2020-10-20,7.29166
2020-10-21,13.54166
2020-10-22,7.29166
2020-10-23,37.5
2020-10-25,7.29166
2020-10-26,17.70833
2020-10-27,26.04166
2020-10-28,25.0
2020-10-29,9.375
2020-10-30,13.54166
2020-10-31,6.25
2020-11-01,7.29166
2020-11-02,12.5
2020-11-03,13.54166
2020-11-04,8.33333
2020-11-05,56.25
2020-11-06,25.0
2020-11-07,11.45833
2020-11-08,14.58333
2020-11-09,37.5
2020-11-10,26.04166
2020-11-11,16.66666
2020-11-12,20.83333
2020-11-13,11.45833
2020-11-15,6.25
2020-11-16,15.625
2020-11-17,22.91666
2020-11-18,21.875
2020-11-19,30.20833
2020-11-20,9.375
2020-11-21,8.33333
2020-11-22,16.66666
2020-11-23,16.66666
2020-11-24,18.75
2020-11-25,14.58333
