date,신규상장일정
2020-03-25,0.57803
2020-04-10,0.66061
2020-04-18,0.41288
2020-04-28,0.41288
2020-05-23,0.49545
2020-05-26,0.41288
2020-06-02,0.41288
2020-06-10,0.41288
2020-06-11,0.82576
2020-06-16,0.82576
2020-06-17,1.48637
2020-06-18,0.57803
2020-06-19,0.41288
2020-06-22,0.74318
2020-06-23,1.48637
2020-06-24,0.90834
2020-06-25,0.74318
2020-06-26,0.41288
2020-06-29,1.07349
2020-06-30,0.41288
2020-07-01,0.90834
2020-07-02,1.23864
2020-07-03,2.22956
2020-07-04,1.56895
2020-07-05,0.66061
2020-07-06,2.80759
2020-07-07,0.82576
2020-07-08,1.23864
2020-07-09,1.32122
2020-07-10,0.41288
2020-07-13,2.47729
2020-07-14,2.22956
2020-07-15,2.80759
2020-07-16,3.63336
2020-07-17,1.48637
2020-07-18,0.90834
2020-07-19,0.90834
2020-07-20,1.65152
2020-07-21,1.81668
2020-07-22,2.22956
2020-07-23,3.1379
2020-07-24,0.99091
2020-07-26,1.07349
2020-07-27,2.39471
2020-07-28,0.57803
2020-07-29,2.14698
2020-07-30,1.98183
2020-07-31,2.39471
2020-08-02,0.57803
2020-08-03,0.49545
2020-08-04,0.74318
2020-08-05,0.66061
2020-08-06,1.65152
2020-08-07,1.15606
2020-08-09,0.82576
2020-08-10,1.7341
2020-08-11,1.32122
2020-08-12,1.15606
2020-08-13,1.48637
2020-08-17,0.49545
2020-08-18,0.49545
2020-08-20,0.99091
2020-08-21,1.15606
2020-08-22,0.41288
2020-08-24,0.90834
2020-08-31,0.41288
2020-09-01,0.49545
2020-09-02,0.90834
2020-09-03,0.41288
2020-09-07,0.49545
2020-09-08,0.57803
2020-09-09,1.7341
2020-09-10,1.48637
2020-09-11,1.65152
2020-09-13,0.66061
2020-09-14,1.07349
2020-09-15,1.56895
2020-09-16,1.48637
2020-09-17,1.07349
2020-09-18,0.90834
2020-09-21,0.74318
2020-09-22,0.82576
2020-09-23,0.57803
2020-09-24,0.66061
2020-09-25,0.41288
2020-09-28,0.82576
2020-10-07,0.41288
2020-10-08,0.49545
2020-10-09,0.49545
2020-10-15,0.74318
2020-10-16,0.66061
2020-10-19,1.15606
2020-10-20,0.49545
2020-10-21,0.82576
2020-10-22,1.40379
2020-10-27,0.57803
2020-10-28,1.32122
2020-10-29,1.15606
2020-10-30,1.56895
2020-11-02,0.90834
2020-11-03,0.66061
2020-11-04,1.65152
2020-11-05,1.7341
2020-11-06,2.0644
2020-11-07,0.99091
2020-11-08,0.99091
2020-11-09,3.30305
2020-11-10,2.14698
2020-11-11,1.23864
2020-11-12,4.29397
2020-11-13,2.47729
2020-11-14,1.07349
2020-11-15,0.66061
2020-11-16,2.39471
2020-11-17,3.05532
2020-11-18,4.45912
2020-11-19,2.80759
2020-11-20,3.63336
2020-11-21,1.23864
2020-11-22,1.65152
2020-11-23,2.55986
2020-11-24,2.0644
2020-11-25,2.47729
2020-11-26,2.80759
2020-11-27,0.66061
2020-11-28,0.74318
2020-11-29,0.99091
2020-11-30,1.07349
2020-12-01,1.15606
2020-12-02,2.0644
2020-12-03,2.47729
2020-12-04,1.7341
2020-12-05,0.82576
2020-12-06,0.57803
2020-12-07,2.47729
2020-12-08,2.31213
2020-12-09,2.22956
2020-12-10,2.22956
2020-12-11,1.07349
2020-12-12,0.41288
2020-12-13,0.74318
2020-12-14,1.56895
2020-12-15,1.7341
2020-12-16,1.15606
2020-12-17,2.39471
2020-12-18,1.23864
2020-12-19,0.41288
2020-12-20,0.41288
2020-12-21,3.22047
2020-12-22,4.5417
2020-12-23,3.71593
2020-12-24,2.47729
2020-12-25,1.07349
2020-12-27,0.41288
2020-12-28,1.15606
2020-12-29,1.15606
2020-12-30,0.49545
2020-12-31,1.32122
2021-01-01,0.41288
2021-01-02,1.40379
2021-01-03,0.57803
2021-01-04,1.40379
2021-01-05,1.81668
2021-01-06,1.56895
2021-01-07,1.07349
2021-01-08,0.99091
2021-01-09,0.57803
