date,비트코인관련주
2020-03-20,0.0767
2020-03-21,0.0257
2020-03-22,0.02325
2020-03-23,0.02896
2020-03-24,0.0461
2020-03-25,0.04814
2020-03-26,0.04487
2020-03-27,0.03467
2020-03-28,0.02121
2020-03-29,0.02611
2020-03-30,0.03875
2020-03-31,0.05915
2020-04-01,0.03998
2020-04-02,0.04079
2020-04-03,0.05344
2020-04-04,0.03019
2020-04-05,0.04161
2020-04-06,0.07425
2020-04-07,0.13423
2020-04-08,0.08771
2020-04-09,0.082
2020-04-10,0.05671
2020-04-11,0.02978
2020-04-12,0.02978
2020-04-13,0.04039
2020-04-14,0.02529
2020-04-15,0.02774
2020-04-16,0.03345
2020-04-17,0.03916
2020-04-18,0.02611
2020-04-19,0.02855
2020-04-20,0.04324
2020-04-21,0.04691
2020-04-22,0.06283
2020-04-23,0.05426
2020-04-24,0.44553
2020-04-25,0.12076
2020-04-26,0.11913
2020-04-27,0.12607
2020-04-28,0.17339
2020-04-29,0.31823
2020-04-30,0.50673
2020-05-01,0.17258
2020-05-02,0.08282
2020-05-03,0.09873
2020-05-04,0.10159
2020-05-05,0.06242
2020-05-06,0.11423
2020-05-07,0.18237
2020-05-08,0.29498
2020-05-09,0.13871
2020-05-10,0.11505
2020-05-11,0.11709
2020-05-12,0.09016
2020-05-13,0.06527
2020-05-14,0.08608
2020-05-15,0.1024
2020-05-16,0.04039
2020-05-17,0.03875
2020-05-18,0.09016
2020-05-19,0.07466
2020-05-20,0.07833
2020-05-21,0.05752
2020-05-22,0.04079
2020-05-23,0.03059
2020-05-24,0.02366
2020-05-25,0.05467
2020-05-26,0.0514
2020-05-27,0.05915
2020-05-28,0.07547
2020-05-29,0.1175
2020-05-30,0.04528
2020-05-31,0.04039
2020-06-01,0.0412
2020-06-02,0.09751
2020-06-03,0.05018
2020-06-04,0.04283
2020-06-05,0.06201
2020-06-06,0.02774
2020-06-07,0.031
2020-06-08,0.04079
2020-06-09,0.05344
2020-06-10,0.03998
2020-06-11,0.03957
2020-06-12,0.02121
2020-06-13,0.00938
2020-06-14,0.01917
2020-06-15,0.01999
2020-06-16,0.02366
2020-06-17,0.02937
2020-06-18,0.02896
2020-06-19,0.02243
2020-06-20,0.01631
2020-06-21,0.07221
2020-06-22,0.07139
2020-06-23,0.03631
2020-06-24,0.04977
2020-06-25,0.02651
2020-06-26,0.01999
2020-06-27,0.00652
2020-06-28,0.00938
2020-06-29,0.03019
2020-06-30,0.01835
2020-07-01,0.01183
2020-07-02,0.01591
2020-07-03,0.0208
2020-07-04,0.00652
2020-07-05,0.01509
2020-07-06,0.01876
2020-07-07,0.02447
2020-07-08,0.02325
2020-07-09,0.02203
2020-07-10,0.02203
2020-07-11,0.00979
2020-07-12,0.02039
2020-07-13,0.031
2020-07-14,0.02774
2020-07-15,0.0208
2020-07-16,0.0208
2020-07-17,0.01713
2020-07-18,0.01223
