date,데이터라벨링알바
2020-05-13,0.05154
2020-06-18,0.24742
2020-06-19,0.21649
2020-06-20,0.13402
2020-06-21,0.18556
2020-06-22,0.52577
2020-06-23,0.26804
2020-06-24,0.47422
2020-06-25,0.28865
2020-06-26,0.59793
2020-06-27,0.28865
2020-06-28,0.14432
2020-06-29,0.2268
2020-06-30,0.14432
2020-07-01,0.28865
2020-07-02,0.61855
2020-07-03,0.37113
2020-07-04,0.08247
2020-07-05,0.06185
2020-07-06,0.18556
2020-07-07,0.23711
2020-07-09,0.06185
2020-07-12,0.10309
2020-07-14,0.10309
2020-07-15,11.18556
2020-07-16,20.82474
2020-07-17,5.97938
2020-07-18,2.93814
2020-07-19,2.51546
2020-07-20,2.0103
2020-07-21,1.63917
2020-07-22,1.80412
2020-07-23,0.86597
2020-07-24,0.83505
2020-07-25,6.08247
2020-07-26,2.12371
2020-07-27,1.48453
2020-07-28,1.07216
2020-07-29,1.06185
2020-07-30,0.82474
2020-07-31,0.72164
2020-08-01,0.64948
2020-08-02,0.47422
2020-08-03,0.56701
2020-08-04,0.87628
2020-08-05,0.60824
2020-08-06,0.53608
2020-08-07,0.51546
2020-08-08,0.42268
2020-08-09,0.36082
2020-08-10,0.54639
2020-08-11,0.6701
2020-08-12,0.59793
2020-08-13,0.46391
2020-08-14,0.40206
2020-08-15,0.19587
2020-08-16,0.21649
2020-08-17,0.36082
2020-08-18,0.47422
2020-08-19,0.4536
2020-08-20,0.1134
2020-08-21,0.44329
2020-08-22,0.42268
2020-08-23,0.37113
2020-08-24,1.41237
2020-08-25,0.59793
2020-08-26,0.47422
2020-08-27,0.76288
2020-08-28,0.57731
2020-08-29,0.35051
2020-08-30,0.24742
2020-08-31,0.29896
2020-09-01,0.73195
2020-09-02,0.59793
2020-09-03,0.58762
2020-09-04,8.0
2020-09-05,6.18556
2020-09-06,8.1134
2020-09-07,4.32989
2020-09-08,2.54639
2020-09-09,1.97938
2020-09-10,1.58762
2020-09-11,1.1134
2020-09-12,1.0
2020-09-13,0.7835
2020-09-14,1.40206
2020-09-15,1.05154
2020-09-16,0.85567
2020-09-17,1.35051
2020-09-18,1.37113
2020-09-19,1.06185
2020-09-20,0.94845
2020-09-21,1.48453
2020-09-22,1.94845
2020-09-23,2.0103
2020-09-24,1.68041
2020-09-25,1.43298
2020-09-26,1.07216
2020-09-27,0.94845
2020-09-28,1.49484
2020-09-29,1.2268
2020-09-30,0.56701
2020-10-01,0.62886
2020-10-02,0.40206
2020-10-03,0.40206
2020-10-04,0.50515
2020-10-05,0.74226
2020-10-06,1.16494
2020-10-07,1.1134
2020-10-08,0.82474
2020-10-09,0.52577
2020-10-10,0.43298
2020-10-11,0.75257
2020-10-12,0.85567
2020-10-13,0.85567
2020-10-14,0.88659
2020-10-15,0.69072
2020-10-16,0.50515
2020-10-17,100.0
2020-10-18,24.27835
2020-10-19,38.15463
2020-10-20,13.10309
2020-10-21,9.03092
2020-10-22,9.56701
2020-10-23,5.1134
2020-10-24,2.82474
2020-10-25,3.25773
2020-10-26,4.54639
2020-10-27,4.17525
2020-10-28,3.74226
2020-10-29,3.76288
2020-10-30,2.74226
2020-10-31,1.73195
2020-11-01,2.10309
2020-11-02,2.83505
2020-11-03,2.60824
2020-11-04,2.16494
2020-11-05,2.42268
2020-11-06,2.0103
2020-11-07,1.86597
2020-11-08,1.59793
2020-11-09,2.8969
2020-11-10,2.72164
2020-11-11,2.38144
2020-11-12,2.23711
2020-11-13,2.06185
2020-11-14,1.81443
2020-11-15,1.5567
2020-11-16,1.94845
2020-11-17,1.52577
2020-11-18,1.75257
2020-11-19,1.87628
2020-11-20,1.39175
2020-11-21,1.53608
2020-11-22,2.51546
2020-11-23,0.92783
2020-11-24,1.08247
2020-11-25,3.1134
2020-11-26,1.97938
2020-11-27,1.98969
2020-11-28,1.25773
2020-11-29,2.08247
2020-11-30,1.80412
2020-12-01,1.61855
2020-12-02,1.61855
2020-12-03,1.47422
2020-12-04,1.8969
2020-12-05,1.36082
2020-12-06,1.31958
2020-12-07,1.60824
2020-12-08,2.0
2020-12-09,2.42268
2020-12-10,1.7835
2020-12-11,3.30927
2020-12-12,2.77319
2020-12-13,2.0103
2020-12-14,2.38144
2020-12-15,2.59793
2020-12-16,2.5567
2020-12-17,2.49484
2020-12-18,1.94845
2020-12-19,1.69072
2020-12-20,1.88659
2020-12-21,2.20618
2020-12-22,2.2268
2020-12-23,1.96907
2020-12-24,2.02061
2020-12-25,2.97938
2020-12-26,2.86597
2020-12-27,2.44329
2020-12-28,2.56701
2020-12-29,2.6701
2020-12-30,2.14432
2020-12-31,1.82474
2021-01-01,1.4536
2021-01-02,1.68041
2021-01-03,2.05154
2021-01-04,3.18556
2021-01-05,4.25773
2021-01-06,3.64948
2021-01-07,3.17525
2021-01-08,2.62886
2021-01-09,1.92783
2021-01-10,2.5567
2021-01-11,2.98969
2021-01-12,2.64948
2021-01-13,2.35051
2021-01-14,2.42268
2021-01-15,2.09278
2021-01-16,1.44329
2021-01-17,1.76288
2021-01-18,2.0103
2021-01-19,3.98969
2021-01-20,5.25773
2021-01-21,3.37113
2021-01-22,2.70103
2021-01-23,2.24742
2021-01-24,2.86597
2021-01-25,3.03092
2021-01-26,2.53608
2021-01-27,2.64948
2021-01-28,3.93814
2021-01-29,3.44329
2021-01-30,2.30927
2021-01-31,2.06185
2021-02-01,3.7835
2021-02-02,5.56701
2021-02-03,3.60824
2021-02-04,3.85567
2021-02-05,2.72164
2021-02-06,2.96907
2021-02-07,2.77319
2021-02-08,3.14432
2021-02-09,3.86597
2021-02-10,3.74226
2021-02-11,3.2268
2021-02-12,3.04123
2021-02-13,2.63917
2021-02-14,3.54639
2021-02-15,3.90721
2021-02-16,4.0103
2021-02-17,4.39175
2021-02-18,4.48453
2021-02-19,3.43298
2021-02-20,2.51546
2021-02-21,2.53608
2021-02-22,4.10309
2021-02-23,4.77319
2021-02-24,4.41237
2021-02-25,3.48453
2021-02-26,3.41237
2021-02-27,2.52577
2021-02-28,3.10309
2021-03-01,5.12371
2021-03-02,4.20618
2021-03-03,5.25773
2021-03-04,4.77319
2021-03-05,2.90721
2021-03-06,2.53608
2021-03-07,2.21649
2021-03-08,4.77319
2021-03-09,3.52577
2021-03-10,3.25773
2021-03-11,2.81443
2021-03-12,2.24742
2021-03-13,1.42268
2021-03-14,1.61855
2021-03-15,2.65979
2021-03-16,2.56701
2021-03-17,2.28865
2021-03-18,1.98969
2021-03-19,2.27835
2021-03-20,1.23711
2021-03-21,1.61855
2021-03-22,1.95876
2021-03-23,2.19587
2021-03-24,2.35051
2021-03-25,3.07216
2021-03-26,3.18556
2021-03-27,1.88659
2021-03-28,1.68041
2021-03-29,2.13402
2021-03-30,2.1134
2021-03-31,1.96907
2021-04-01,2.48453
2021-04-02,1.54639
2021-04-03,2.96907
2021-04-04,1.49484
2021-04-05,2.30927
2021-04-06,2.21649
2021-04-07,7.93814
2021-04-08,4.74226
2021-04-09,3.63917
2021-04-10,2.09278
2021-04-11,2.09278
2021-04-12,1.84536
2021-04-13,1.87628
2021-04-14,1.94845
2021-04-15,1.72164
2021-04-16,1.60824
2021-04-17,1.14432
2021-04-18,1.25773
2021-04-19,1.65979
2021-04-20,1.21649
2021-04-21,1.61855
2021-04-22,1.75257
2021-04-23,1.28865
2021-04-24,1.04123
