date,미니어처
2020-03-20,41.4673
2020-03-21,40.19138
2020-03-22,45.45454
2020-03-23,48.08612
2020-03-24,43.14194
2020-03-25,39.79266
2020-03-26,49.04306
2020-03-27,44.57735
2020-03-28,43.93939
2020-03-29,40.19138
2020-03-30,39.55342
2020-03-31,40.03189
2020-04-01,45.21531
2020-04-02,52.87081
2020-04-03,49.28229
2020-04-04,42.58373
2020-04-05,46.17224
2020-04-06,51.27591
2020-04-07,52.07336
2020-04-08,49.60127
2020-04-09,53.26953
2020-04-10,46.57097
2020-04-11,45.77352
2020-04-12,50.55821
2020-04-13,50.39872
2020-04-14,44.65709
2020-04-15,39.8724
2020-04-16,42.34449
2020-04-17,47.92663
2020-04-18,41.4673
2020-04-19,49.36204
2020-04-20,49.76076
2020-04-21,51.4354
2020-04-22,54.54545
2020-04-23,50.39872
2020-04-24,48.32535
2020-04-25,40.11164
2020-04-26,46.01275
2020-04-27,41.4673
2020-04-28,41.78628
2020-04-29,47.60765
2020-04-30,36.76236
2020-05-01,38.99521
2020-05-02,41.06858
2020-05-03,42.02551
2020-05-04,39.71291
2020-05-05,49.76076
2020-05-06,37.71929
2020-05-07,34.84848
2020-05-08,28.70813
2020-05-09,35.2472
2020-05-10,35.08771
2020-05-11,36.76236
2020-05-12,36.36363
2020-05-13,37.08133
2020-05-14,44.17862
2020-05-15,43.85964
2020-05-16,43.70015
2020-05-17,47.04944
2020-05-18,46.88995
2020-05-19,50.87719
2020-05-20,40.35087
2020-05-21,37.08133
2020-05-22,35.80542
2020-05-23,37.24082
2020-05-24,35.08771
2020-05-25,39.31419
2020-05-26,43.7799
2020-05-27,39.39393
2020-05-28,32.2169
2020-05-29,31.57894
2020-05-30,31.18022
2020-05-31,30.46251
2020-06-01,29.82456
2020-06-02,28.94736
2020-06-03,31.4992
2020-06-04,34.21052
2020-06-05,30.46251
2020-06-06,31.25996
2020-06-07,35.08771
2020-06-08,29.98405
2020-06-09,26.79425
2020-06-10,31.81818
2020-06-11,29.82456
2020-06-12,31.73843
2020-06-13,34.37001
2020-06-14,33.97129
2020-06-15,35.16746
2020-06-16,32.61562
2020-06-17,30.46251
2020-06-18,35.2472
2020-06-19,25.75757
2020-06-20,27.51196
2020-06-21,28.70813
2020-06-22,28.54864
2020-06-23,32.61562
2020-06-24,32.05741
