date,미국선물
2020-03-20,38.84455
2020-03-21,9.70315
2020-03-22,9.09671
2020-03-23,100.0
2020-03-24,42.37684
2020-03-25,53.75039
2020-03-26,31.74273
2020-03-27,23.28439
2020-03-28,4.95265
2020-03-29,4.85157
2020-03-30,22.81093
2020-03-31,12.01191
2020-04-01,19.87445
2020-04-02,19.60846
2020-04-03,9.74571
2020-04-04,1.54271
2020-04-05,2.28747
2020-04-06,16.31556
2020-04-07,14.72497
2020-04-08,10.08617
2020-04-09,8.16576
2020-04-10,6.27194
2020-04-11,0.93095
2020-04-12,1.58527
2020-04-13,9.19778
2020-04-14,4.71326
2020-04-15,4.04298
2020-04-16,5.1282
2020-04-17,6.45813
2020-04-18,1.22885
2020-04-19,1.29801
2020-04-20,7.12309
2020-04-21,6.43153
2020-04-22,6.09639
2020-04-23,4.27705
2020-04-24,2.84072
2020-04-25,0.60112
2020-04-26,0.6224
2020-04-27,3.06947
2020-04-28,2.8354
2020-04-29,1.69166
2020-04-30,1.1065
2020-05-01,2.50558
2020-05-02,0.61708
2020-05-03,0.73412
2020-05-04,3.47909
2020-05-05,1.98425
2020-05-06,2.46834
2020-05-07,1.94169
2020-05-08,1.31928
2020-05-09,0.41493
2020-05-10,0.41493
2020-05-11,2.67049
2020-05-12,1.79274
2020-05-13,2.02681
2020-05-14,2.47898
2020-05-15,1.43632
2020-05-16,0.34578
2020-05-17,0.26598
2020-05-18,2.73965
2020-05-19,2.21832
2020-05-20,2.01085
2020-05-21,1.69166
2020-05-22,1.81934
2020-05-23,0.43621
2020-05-24,0.27662
2020-05-25,1.73954
2020-05-26,2.27683
2020-05-27,1.68634
2020-05-28,1.93105
2020-05-29,1.8353
2020-05-30,0.2181
2020-05-31,0.33514
2020-06-01,2.8886
2020-06-02,1.30864
2020-06-03,1.30864
2020-06-04,1.40972
2020-06-05,1.03202
2020-06-06,0.25002
2020-06-07,0.39897
2020-06-08,1.7023
2020-06-09,2.09064
2020-06-10,1.37248
2020-06-11,4.05362
2020-06-12,9.97446
2020-06-13,0.84051
2020-06-14,0.82987
2020-06-15,16.7571
2020-06-16,7.98489
2020-06-17,4.28769
2020-06-18,3.58016
2020-06-19,2.42578
2020-06-20,0.88839
2020-06-21,0.69156
2020-06-22,2.73965
2020-06-23,3.25034
2020-06-24,3.3461
2020-06-25,6.14959
2020-06-26,2.33535
2020-06-27,0.84051
2020-06-28,0.96818
2020-06-29,7.13373
2020-06-30,2.90456
2020-07-01,2.63325
2020-07-02,1.84062
2020-07-03,1.19161
2020-07-04,0.48409
2020-07-05,0.38301
2020-07-06,2.38855
2020-07-07,2.39919
2020-07-08,1.70762
2020-07-09,1.08522
2020-07-10,1.20225
2020-07-11,0.3245
2020-07-12,0.28194
2020-07-13,1.32992
2020-07-14,2.04809
2020-07-15,1.26609
2020-07-16,2.17576
2020-07-17,0.98946
2020-07-18,0.17555
2020-07-19,0.1915
2020-07-20,1.23949
2020-07-21,0.88839
2020-07-22,1.11182
2020-07-23,0.95754
2020-07-24,1.50547
2020-07-25,0.2447
2020-07-26,0.25002
2020-07-27,1.15437
2020-07-28,1.03734
2020-07-29,0.9735
2020-07-30,2.65453
2020-07-31,1.14905
2020-08-01,0.22874
2020-08-02,0.2181
2020-08-03,0.78199
2020-08-04,0.84051
2020-08-05,0.649
2020-08-06,0.81923
2020-08-07,0.65964
2020-08-08,0.1915
2020-08-09,0.2181
2020-08-10,0.84583
2020-08-11,0.7288
2020-08-12,1.20757
2020-08-13,0.6756
2020-08-14,0.71816
2020-08-15,0.12235
2020-08-16,0.14363
2020-08-17,0.99478
2020-08-18,1.24481
2020-08-19,0.73944
2020-08-20,2.08532
2020-08-21,1.1065
2020-08-22,0.15427
2020-08-23,0.13299
2020-08-24,1.0001
2020-08-25,0.73944
2020-08-26,0.59048
2020-08-27,0.63304
2020-08-28,0.35642
2020-08-29,0.13831
2020-08-30,0.17555
2020-08-31,0.78731
2020-09-01,0.57452
2020-09-02,0.45749
2020-09-03,0.95754
2020-09-04,5.14416
2020-09-05,0.49473
2020-09-06,0.45217
2020-09-07,2.47898
2020-09-08,5.56442
2020-09-09,5.43674
2020-09-10,3.81423
2020-09-11,1.81934
2020-09-12,0.2713
2020-09-13,0.30854
2020-09-14,2.00553
2020-09-15,1.34588
2020-09-16,1.22353
2020-09-17,4.28237
2020-09-18,1.69166
2020-09-19,0.35642
2020-09-20,0.28194
2020-09-21,6.47409
2020-09-22,4.91009
2020-09-23,2.08
2020-09-24,5.48462
2020-09-25,1.97361
2020-09-26,0.29258
2020-09-27,0.37238
2020-09-28,2.20768
2020-09-29,0.96818
2020-09-30,0.70752
2020-10-01,0.51069
2020-10-02,9.5808
2020-10-03,0.98414
2020-10-04,0.86711
2020-10-05,2.36195
2020-10-06,1.69166
2020-10-07,1.46824
2020-10-08,0.72348
2020-10-09,0.41493
2020-10-10,0.1915
2020-10-11,0.20746
2020-10-12,1.01606
2020-10-13,1.13841
2020-10-14,1.09586
2020-10-15,3.51101
2020-10-16,1.63847
2020-10-17,0.28726
2020-10-18,0.33514
2020-10-19,1.54271
2020-10-20,1.42568
2020-10-21,1.22885
2020-10-22,1.36716
2020-10-23,0.69156
2020-10-24,0.19682
2020-10-25,0.17555
2020-10-26,2.11192
2020-10-27,1.59591
2020-10-28,4.67602
2020-10-29,4.29832
2020-10-30,4.80902
2020-10-31,0.67028
2020-11-01,0.65964
2020-11-02,3.5908
2020-11-03,1.76082
2020-11-04,5.05904
2020-11-05,3.644
2020-11-06,2.4843
