date,영국환율
2020-03-20,63.72121
2020-03-21,19.40261
2020-03-22,13.32918
2020-03-23,39.20348
2020-03-24,39.63907
2020-03-25,36.11698
2020-03-26,34.13814
2020-03-27,33.17983
2020-03-28,14.25015
2020-03-29,10.85252
2020-03-30,29.15992
2020-03-31,22.66334
2020-04-01,21.26944
2020-04-02,21.61169
2020-04-03,18.69943
2020-04-04,9.95644
2020-04-05,7.87803
2020-04-06,18.4443
2020-04-07,22.76291
2020-04-08,17.36776
2020-04-09,16.11076
2020-04-10,15.78095
2020-04-11,7.46733
2020-04-12,7.05662
2020-04-13,14.49284
2020-04-14,14.6733
2020-04-15,8.64965
2020-04-16,14.06347
2020-04-17,13.80211
2020-04-18,7.08774
2020-04-19,6.7766
2020-04-20,13.05538
2020-04-21,14.00746
2020-04-22,14.36216
2020-04-23,12.80647
2020-04-24,11.96639
2020-04-25,6.29744
2020-04-26,6.02364
2020-04-27,11.99128
2020-04-28,11.76104
2020-04-29,12.12818
2020-04-30,8.78655
2020-05-01,8.21406
2020-05-02,5.83074
2020-05-03,5.66894
2020-05-04,12.10952
2020-05-05,8.35718
2020-05-06,12.15308
2020-05-07,12.2962
2020-05-08,10.95208
2020-05-09,5.76228
2020-05-10,5.09023
2020-05-11,10.30491
2020-05-12,9.99377
2020-05-13,12.53889
2020-05-14,13.80833
2020-05-15,11.00186
2020-05-16,5.78095
2020-05-17,5.36403
2020-05-18,13.86434
2020-05-19,12.72557
2020-05-20,11.45612
2020-05-21,11.5308
2020-05-22,10.65961
2020-05-23,5.38892
2020-05-24,5.34536
2020-05-25,10.6036
2020-05-26,11.43123
2020-05-27,11.41879
2020-05-28,11.27566
2020-05-29,11.87927
2020-05-30,6.0672
2020-05-31,5.70006
2020-06-01,10.67205
2020-06-02,13.57809
2020-06-03,11.52457
2020-06-04,11.28189
2020-06-05,10.32358
2020-06-06,5.23335
2020-06-07,4.84754
2020-06-08,11.64281
2020-06-09,12.71313
2020-06-10,11.5868
2020-06-11,10.97075
2020-06-12,10.67828
2020-06-13,5.50093
2020-06-14,5.12134
2020-06-15,10.77162
2020-06-16,11.11387
2020-06-17,10.79651
2020-06-18,11.01431
2020-06-19,13.24206
2020-06-20,6.93839
2020-06-21,5.56938
2020-06-22,13.21717
2020-06-23,11.07654
2020-06-24,10.90852
2020-06-25,14.03858
2020-06-26,14.69197
2020-06-27,6.35345
2020-06-28,5.75606
2020-06-29,17.75357
2020-06-30,18.88612
2020-07-01,15.09645
2020-07-02,13.76477
2020-07-03,11.64281
2020-07-04,5.70628
2020-07-05,5.82451
2020-07-06,13.03671
2020-07-07,11.48102
2020-07-08,12.00373
2020-07-09,12.65712
2020-07-10,10.93963
2020-07-11,5.02177
2020-07-12,5.25202
2020-07-13,11.5868
2020-07-14,10.98319
2020-07-15,11.18232
2020-07-16,10.25513
2020-07-17,9.39639
2020-07-18,5.27069
2020-07-19,4.80398
2020-07-20,10.10578
2020-07-21,11.53702
2020-07-22,10.84007
2020-07-23,11.8046
2020-07-24,11.23833
2020-07-25,5.83074
2020-07-26,5.63161
2020-07-27,12.61978
2020-07-28,13.12383
2020-07-29,12.99937
2020-07-30,12.69446
2020-07-31,14.5924
2020-08-01,6.6957
2020-08-02,6.05476
2020-08-03,12.78158
2020-08-04,12.83758
2020-08-05,12.67579
2020-08-06,11.82327
2020-08-07,11.82327
2020-08-08,6.19166
2020-08-09,6.17299
2020-08-10,11.91039
2020-08-11,11.8606
2020-08-12,11.27566
2020-08-13,10.34225
2020-08-14,9.95021
2020-08-15,6.0672
2020-08-16,5.28935
2020-08-17,7.49222
2020-08-18,11.51213
2020-08-19,12.54511
2020-08-20,11.99751
2020-08-21,12.94959
2020-08-22,6.67703
2020-08-23,5.78718
2020-08-24,12.90603
2020-08-25,13.32918
2020-08-26,11.64281
2020-08-27,12.22775
2020-08-28,12.3522
2020-08-29,6.94461
2020-08-30,6.83883
2020-08-31,14.54262
2020-09-01,16.24766
2020-09-02,15.67517
2020-09-03,13.42874
2020-09-04,12.89981
2020-09-05,7.11263
2020-09-06,6.25388
2020-09-07,15.14623
2020-09-08,16.00497
2020-09-09,20.26757
2020-09-10,17.65401
2020-09-11,21.64903
2020-09-12,9.43372
2020-09-13,7.07529
