date,IRP세액공제
2020-03-20,2.34659
2020-03-21,1.30505
2020-03-22,1.53093
2020-03-23,2.44698
2020-03-24,2.18346
2020-03-25,2.58501
2020-03-26,2.77324
2020-03-27,1.98268
2020-03-28,1.49328
2020-03-29,1.50583
2020-03-30,2.64776
2020-03-31,2.23365
2020-04-01,2.35914
2020-04-02,2.10816
2020-04-03,2.30894
2020-04-04,1.48073
2020-04-05,1.7568
2020-04-06,2.17091
2020-04-07,2.18346
2020-04-08,1.83209
2020-04-09,2.14581
2020-04-10,1.99523
2020-04-11,1.3678
2020-04-12,1.21721
2020-04-13,2.02032
2020-04-14,2.2211
2020-04-15,1.74425
2020-04-16,2.18346
2020-04-17,2.10816
2020-04-18,1.33015
2020-04-19,1.15447
2020-04-20,1.90739
2020-04-21,2.03287
2020-04-22,1.807
2020-04-23,1.7819
2020-04-24,1.59367
2020-04-25,1.16702
2020-04-26,1.30505
2020-04-27,2.40933
2020-04-28,1.83209
2020-04-29,2.13326
2020-04-30,1.20466
2020-05-01,1.01643
2020-05-02,1.2925
2020-05-03,1.15447
2020-05-04,2.23365
2020-05-05,1.35525
2020-05-06,1.79445
2020-05-07,2.25875
2020-05-08,2.02032
2020-05-09,1.81955
2020-05-10,1.44309
2020-05-11,2.44698
2020-05-12,2.2211
2020-05-13,2.38423
2020-05-14,1.93248
2020-05-15,2.09562
2020-05-16,1.12937
2020-05-17,1.24231
2020-05-18,1.86974
2020-05-19,3.22499
2020-05-20,2.69795
2020-05-21,2.64776
2020-05-22,1.98268
2020-05-23,1.04153
2020-05-24,1.39289
2020-05-25,2.48462
2020-05-26,4.11594
2020-05-27,2.76069
2020-05-28,2.6854
2020-05-29,2.7356
2020-05-30,1.16702
2020-05-31,1.22976
2020-06-01,2.14581
2020-06-02,1.79445
2020-06-03,1.90739
2020-06-04,2.07052
2020-06-05,1.88229
2020-06-06,1.25486
2020-06-07,1.14192
2020-06-08,1.807
2020-06-09,2.49717
2020-06-10,2.53482
2020-06-11,2.10816
2020-06-12,1.73171
2020-06-13,1.07918
2020-06-14,1.00389
2020-06-15,1.76935
2020-06-16,2.2713
2020-06-17,1.81955
2020-06-18,2.47207
2020-06-19,1.98268
2020-06-20,1.3176
2020-06-21,0.97879
2020-06-22,2.64776
2020-06-23,2.07052
2020-06-24,2.28384
2020-06-25,2.29639
2020-06-26,1.807
2020-06-27,0.91604
2020-06-28,0.96624
