date,실시간미국증시
2020-03-20,88.39134
2020-03-21,40.71504
2020-03-22,9.05041
2020-03-23,39.61922
2020-03-24,84.17359
2020-03-25,100.0
2020-03-26,91.8089
2020-03-27,54.19212
2020-03-28,34.3017
2020-03-29,9.01493
2020-03-30,30.62793
2020-03-31,53.58114
2020-04-01,61.68552
2020-04-02,60.01813
2020-04-03,48.14143
2020-04-04,26.25645
2020-04-05,7.46974
2020-04-06,24.69549
2020-04-07,47.27029
2020-04-08,47.92069
2020-04-09,45.04316
2020-04-10,39.48519
2020-04-11,17.81702
2020-04-12,6.08222
2020-04-13,19.3425
2020-04-14,33.32807
2020-04-15,26.66246
2020-04-16,31.41235
2020-04-17,28.49146
2020-04-18,16.99318
2020-04-19,5.71563
2020-04-20,17.33217
2020-04-21,38.0346
2020-04-22,41.43245
2020-04-23,32.03121
2020-04-24,29.26012
2020-04-25,16.72907
2020-04-26,4.6947
2020-04-27,12.24723
2020-04-28,25.22369
2020-04-29,24.58906
2020-04-30,17.92739
2020-05-01,17.37947
2020-05-02,14.96314
2020-05-03,4.84449
2020-05-04,10.47735
2020-05-05,22.53931
2020-05-06,24.03326
2020-05-07,25.74401
2020-05-08,19.80763
2020-05-09,12.14474
2020-05-10,3.70136
2020-05-11,10.84788
2020-05-12,21.43955
2020-05-13,25.4878
2020-05-14,28.12881
2020-05-15,24.07268
2020-05-16,13.36276
2020-05-17,4.00488
2020-05-18,10.70992
2020-05-19,24.90835
2020-05-20,27.40352
2020-05-21,26.79648
2020-05-22,23.59966
2020-05-23,13.69387
2020-05-24,4.14285
2020-05-25,12.46008
2020-05-26,20.36737
2020-05-27,21.73124
2020-05-28,21.83767
2020-05-29,20.80886
2020-05-30,12.63747
2020-05-31,3.18104
2020-06-01,9.04647
2020-06-02,18.99168
2020-06-03,19.83523
2020-06-04,21.53809
2020-06-05,20.06385
2020-06-06,11.47857
2020-06-07,2.87752
2020-06-08,8.53009
2020-06-09,19.58295
2020-06-10,20.86798
2020-06-11,23.55236
2020-06-12,33.34384
2020-06-13,19.64996
2020-06-14,3.23623
2020-06-15,13.89885
2020-06-16,29.68977
2020-06-17,25.06996
2020-06-18,24.96747
2020-06-19,20.31613
2020-06-20,12.36548
2020-06-21,2.88146
2020-06-22,8.18715
2020-06-23,18.97985
2020-06-24,20.46592
2020-06-25,29.3902
2020-06-26,24.16334
2020-06-27,15.97224
2020-06-28,3.2717
2020-06-29,12.5468
2020-06-30,25.57846
2020-07-01,23.68638
2020-07-02,24.23035
2020-07-03,21.21881
2020-07-04,9.59438
2020-07-05,2.68437
2020-07-06,6.97701
2020-07-07,17.88797
2020-07-08,18.16784
2020-07-09,17.71847
2020-07-10,17.22968
2020-07-11,9.39335
2020-07-12,2.45181
2020-07-13,6.15317
2020-07-14,20.84827
2020-07-15,21.36465
2020-07-16,20.65118
2020-07-17,17.65934
2020-07-18,10.00827
2020-07-19,2.50305
2020-07-20,6.83117
2020-07-21,16.53198
2020-07-22,18.58173
2020-07-23,17.50561
2020-07-24,18.8616
2020-07-25,11.14352
2020-07-26,2.53064
2020-07-27,6.95336
2020-07-28,16.31124
2020-07-29,17.06413
2020-07-30,17.82096
2020-07-31,16.36643
2020-08-01,9.66533
2020-08-02,2.2626
2020-08-03,5.76688
2020-08-04,16.15751
2020-08-05,18.07323
2020-08-06,16.89069
2020-08-07,12.70448
2020-08-08,7.62347
2020-08-09,1.80535
2020-08-10,5.09282
2020-08-11,13.66234
2020-08-12,15.38886
2020-08-13,15.03803
2020-08-14,13.46131
2020-08-15,7.63136
2020-08-16,1.71469
2020-08-17,6.18865
2020-08-18,14.0644
2020-08-19,14.65174
2020-08-20,15.3652
2020-08-21,15.24301
2020-08-22,9.13319
2020-08-23,2.06157
2020-08-24,6.23201
2020-08-25,15.57412
2020-08-26,15.94071
2020-08-27,15.40068
2020-08-28,11.99889
2020-08-29,6.94154
2020-08-30,1.88024
2020-08-31,5.06523
2020-09-01,12.91734
2020-09-02,12.73601
2020-09-03,14.9119
2020-09-04,28.68067
2020-09-05,17.08384
2020-09-06,3.07067
2020-09-07,7.98612
2020-09-08,17.87614
2020-09-09,24.73491
2020-09-10,20.5211
2020-09-11,18.92073
2020-09-12,11.17505
2020-09-13,2.48728
2020-09-14,6.70109
2020-09-15,15.38491
2020-09-16,15.36915
2020-09-17,18.75911
2020-09-18,16.62659
2020-09-19,9.38547
2020-09-20,2.06551
2020-09-21,10.15806
2020-09-22,25.19216
2020-09-23,22.70487
2020-09-24,30.01694
2020-09-25,28.48752
2020-09-26,12.7912
2020-09-27,2.75138
2020-09-28,8.29752
2020-09-29,15.98801
2020-09-30,11.65989
2020-10-01,11.2736
2020-10-02,18.88525
2020-10-03,15.59777
2020-10-04,5.35693
2020-10-05,8.57739
2020-10-06,17.11537
2020-10-07,19.51594
2020-10-08,15.57412
2020-10-09,11.60077
2020-10-10,7.91911
2020-10-11,2.57006
2020-10-12,6.44881
2020-10-13,14.75028
2020-10-14,14.90007
2020-10-15,18.08112
2020-10-16,16.88675
2020-10-17,9.95703
2020-10-18,2.98001
2020-10-19,7.17016
2020-10-20,17.51744
2020-10-21,17.86432
2020-10-22,19.51988
2020-10-23,17.50955
2020-10-24,8.98734
2020-10-25,2.51093
2020-10-26,7.99795
2020-10-27,20.5487
2020-10-28,21.04142
2020-10-29,26.96598
2020-10-30,20.07174
2020-10-31,13.54408
2020-11-01,3.61858
2020-11-02,12.24328
2020-11-03,19.20848
2020-11-04,19.76822
2020-11-05,21.10449
2020-11-06,17.65934
2020-11-07,10.85182
2020-11-08,2.68832
2020-11-09,10.20931
2020-11-10,22.62603
2020-11-11,20.67089
2020-11-12,18.62903
2020-11-13,15.4874
2020-11-14,9.54708
2020-11-15,2.53064
2020-11-16,6.46852
2020-11-17,16.34278
2020-11-18,16.08262
2020-11-19,16.81185
2020-11-20,14.88036
2020-11-21,8.85332
2020-11-22,2.52276
2020-11-23,4.93121
2020-11-24,13.09866
2020-11-25,13.67811
2020-11-26,14.06835
2020-11-27,10.20931
