date,스케줄
2020-03-20,17.67413
2020-03-21,10.27922
2020-03-22,10.06443
2020-03-23,20.19024
2020-03-24,19.91408
2020-03-25,18.37987
2020-03-26,18.74808
2020-03-27,17.85823
2020-03-28,10.55538
2020-03-29,10.1258
2020-03-30,19.94476
2020-03-31,20.28229
2020-04-01,20.89598
2020-04-02,19.36176
2020-04-03,18.3185
2020-04-04,11.19975
2020-04-05,10.89291
2020-04-06,20.71187
2020-04-07,20.34366
2020-04-08,19.02424
2020-04-09,19.82203
2020-04-10,17.82755
2020-04-11,10.43264
2020-04-12,12.42712
2020-04-13,20.71187
2020-04-14,18.9015
2020-04-15,11.78275
2020-04-16,19.4845
2020-04-17,21.32555
2020-04-18,10.30991
2020-04-19,10.89291
2020-04-20,22.3995
2020-04-21,21.54034
2020-04-22,19.82203
2020-04-23,21.01871
2020-04-24,18.16508
2020-04-25,10.18717
2020-04-26,12.82602
2020-04-27,22.95182
2020-04-28,22.18471
2020-04-29,19.91408
2020-04-30,13.28628
2020-05-01,11.59864
2020-05-02,10.18717
2020-05-03,12.33507
2020-05-04,17.64344
2020-05-05,12.30438
2020-05-06,21.0494
2020-05-07,21.26419
2020-05-08,18.77876
2020-05-09,11.81343
2020-05-10,11.2918
2020-05-11,22.61429
2020-05-12,20.4664
2020-05-13,19.79134
2020-05-14,20.34366
2020-05-15,19.20834
2020-05-16,10.18717
2020-05-17,10.80085
2020-05-18,20.98803
2020-05-19,20.71187
2020-05-20,19.76066
2020-05-21,21.8165
2020-05-22,21.90856
2020-05-23,11.81343
2020-05-24,12.05891
2020-05-25,21.96992
2020-05-26,23.19729
2020-05-27,21.75513
2020-05-28,21.29487
2020-05-29,20.61982
2020-05-30,12.61123
2020-05-31,12.67259
2020-06-01,22.70635
2020-06-02,21.93924
2020-06-03,21.38692
2020-06-04,20.74255
2020-06-05,19.79134
2020-06-06,12.33507
2020-06-07,10.55538
2020-06-08,21.2335
2020-06-09,21.66308
2020-06-10,20.6505
2020-06-11,18.01166
2020-06-12,17.82755
2020-06-13,11.41454
2020-06-14,10.95428
2020-06-15,22.09266
2020-06-16,20.12887
2020-06-17,20.95734
2020-06-18,19.60724
2020-06-19,19.72997
2020-06-20,11.62933
2020-06-21,11.96686
2020-06-22,20.71187
2020-06-23,21.69377
2020-06-24,19.79134
2020-06-25,20.34366
2020-06-26,18.77876
2020-06-27,11.19975
2020-06-28,11.81343
2020-06-29,20.89598
2020-06-30,20.22092
2020-07-01,21.54034
2020-07-02,21.84719
2020-07-03,19.79134
2020-07-04,11.84412
2020-07-05,12.15096
2020-07-06,22.49156
2020-07-07,20.40503
2020-07-08,22.43019
2020-07-09,19.72997
2020-07-10,19.63792
2020-07-11,11.1077
2020-07-12,13.40902
2020-07-13,21.29487
2020-07-14,21.69377
2020-07-15,20.19024
2020-07-16,20.52776
2020-07-17,19.42313
2020-07-18,12.33507
2020-07-19,13.01012
2020-07-20,21.35624
2020-07-21,20.89598
2020-07-22,22.36882
2020-07-23,20.15955
2020-07-24,20.22092
2020-07-25,11.81343
2020-07-26,13.13286
