date,중소기업지원금
2020-03-20,7.84586
2020-03-21,2.18198
2020-03-22,1.99628
2020-03-23,7.19591
2020-03-24,10.02785
2020-03-25,12.67409
2020-03-26,10.72423
2020-03-27,7.24233
2020-03-28,2.73909
2020-03-29,3.01764
2020-03-30,13.27762
2020-03-31,10.02785
2020-04-01,8.91364
2020-04-02,7.47446
2020-04-03,7.10306
2020-04-04,2.41411
2020-04-05,2.27483
2020-04-06,7.47446
2020-04-07,7.47446
2020-04-08,7.66016
2020-04-09,6.82451
2020-04-10,5.24605
2020-04-11,1.85701
2020-04-12,1.99628
2020-04-13,7.84586
2020-04-14,5.66388
2020-04-15,2.41411
2020-04-16,5.3389
2020-04-17,7.05663
2020-04-18,1.81058
2020-04-19,2.04271
2020-04-20,6.54596
2020-04-21,8.72794
2020-04-22,8.35654
2020-04-23,8.03156
2020-04-24,5.38532
2020-04-25,2.59981
2020-04-26,3.38904
2020-04-27,7.05663
2020-04-28,7.33519
2020-04-29,6.0817
2020-04-30,1.99628
2020-05-01,2.04271
2020-05-02,1.2999
2020-05-03,1.1142
2020-05-04,4.92107
2020-05-05,1.53203
2020-05-06,5.38532
2020-05-07,4.82822
2020-05-08,3.76044
2020-05-09,1.39275
2020-05-10,1.2999
2020-05-11,5.57103
2020-05-12,6.49953
2020-05-13,7.14948
2020-05-14,7.89229
2020-05-15,4.92107
2020-05-16,1.16063
2020-05-17,2.04271
2020-05-18,6.40668
2020-05-19,5.94243
2020-05-20,5.47818
2020-05-21,5.896
2020-05-22,5.24605
2020-05-23,1.85701
2020-05-24,2.13556
2020-05-25,8.72794
2020-05-26,8.58867
2020-05-27,6.03528
2020-05-28,6.2674
2020-05-29,6.36025
2020-05-30,2.13556
2020-05-31,1.2999
2020-06-01,7.79944
2020-06-02,6.36025
2020-06-03,6.2674
2020-06-04,5.47818
2020-06-05,5.75673
2020-06-06,1.81058
2020-06-07,1.34633
2020-06-08,4.64252
2020-06-09,7.61374
2020-06-10,6.73166
2020-06-11,5.1532
2020-06-12,4.9675
2020-06-13,1.34633
2020-06-14,2.27483
2020-06-15,6.54596
2020-06-16,4.73537
2020-06-17,4.64252
2020-06-18,4.82822
2020-06-19,4.36397
2020-06-20,1.57845
2020-06-21,1.34633
2020-06-22,5.01392
2020-06-23,6.03528
2020-06-24,4.73537
2020-06-25,5.80315
2020-06-26,5.3389
2020-06-27,1.6713
2020-06-28,1.90343
2020-06-29,5.75673
2020-06-30,5.19962
2020-07-01,5.94243
2020-07-02,4.41039
2020-07-03,4.45682
2020-07-04,1.4856
2020-07-05,0.83565
2020-07-06,5.98885
2020-07-07,4.54967
2020-07-08,4.5961
2020-07-09,3.94614
2020-07-10,3.52831
2020-07-11,1.34633
2020-07-12,0.97493
2020-07-13,4.92107
2020-07-14,5.43175
2020-07-15,4.5961
2020-07-16,5.01392
2020-07-17,4.13184
2020-07-18,1.2999
2020-07-19,0.83565
2020-07-20,3.66759
2020-07-21,4.22469
2020-07-22,3.57474
2020-07-23,3.89972
2020-07-24,3.76044
2020-07-25,0.78922
2020-07-26,0.7428
2020-07-27,4.50324
2020-07-28,4.54967
2020-07-29,2.92479
2020-07-30,3.29619
2020-07-31,3.66759
2020-08-01,1.20705
2020-08-02,1.20705
2020-08-03,3.38904
2020-08-04,4.54967
2020-08-05,4.27112
2020-08-06,3.76044
2020-08-07,3.85329
2020-08-08,1.85701
2020-08-09,1.2999
2020-08-10,5.98885
2020-08-11,6.12813
2020-08-12,5.47818
2020-08-13,5.80315
