date,KB금융주가
2020-03-20,32.44436
2020-03-21,4.26876
2020-03-22,3.09117
2020-03-23,29.8121
2020-03-24,29.36184
2020-03-25,34.65235
2020-03-26,36.00311
2020-03-27,38.73062
2020-03-28,4.49389
2020-03-29,3.48082
2020-03-30,32.35777
2020-03-31,31.45726
2020-04-01,30.31431
2020-04-02,31.4919
2020-04-03,28.51329
2020-04-04,3.42886
2020-04-05,2.81409
2020-04-06,30.57407
2020-04-07,31.18884
2020-04-08,29.62161
2020-04-09,27.22313
2020-04-10,37.93402
2020-04-11,7.27335
2020-04-12,5.55892
2020-04-13,33.11109
2020-04-14,29.08476
2020-04-15,4.47657
2020-04-16,32.21923
2020-04-17,35.82994
2020-04-18,4.34669
2020-04-19,5.02207
2020-04-20,35.02467
2020-04-21,36.54861
2020-04-22,42.00363
2020-04-23,37.89938
2020-04-24,31.21482
2020-04-25,4.18218
2020-04-26,3.04788
2020-04-27,48.38514
2020-04-28,45.91739
2020-04-29,37.95133
2020-04-30,5.07403
2020-05-01,4.9961
2020-05-02,2.44176
2020-05-03,2.36384
2020-05-04,31.22348
2020-05-05,4.93549
2020-05-06,37.0335
2020-05-07,32.479
2020-05-08,29.82076
2020-05-09,3.91375
2020-05-10,3.76655
2020-05-11,30.89444
2020-05-12,33.8644
2020-05-13,32.27119
2020-05-14,30.45285
2020-05-15,34.8515
2020-05-16,4.47657
2020-05-17,3.88778
2020-05-18,31.71703
2020-05-19,40.46237
2020-05-20,34.07221
2020-05-21,31.68239
2020-05-22,29.42246
2020-05-23,3.99168
2020-05-24,3.78387
2020-05-25,28.91159
2020-05-26,37.49242
2020-05-27,41.83046
2020-05-28,51.03472
2020-05-29,39.89955
2020-05-30,5.04805
2020-05-31,3.69728
2020-06-01,43.95185
2020-06-02,60.3602
2020-06-03,76.31829
2020-06-04,76.76855
2020-06-05,59.34712
2020-06-06,10.33855
2020-06-07,8.51155
2020-06-08,54.39431
2020-06-09,52.51536
2020-06-10,48.43709
2020-06-11,49.9264
2020-06-12,45.62299
2020-06-13,5.77539
2020-06-14,4.37267
2020-06-15,45.40652
2020-06-16,47.49328
2020-06-17,43.84795
2020-06-18,41.233
2020-06-19,42.34132
2020-06-20,5.25586
2020-06-21,3.98302
2020-06-22,38.28902
2020-06-23,35.32773
2020-06-24,35.44029
2020-06-25,33.21499
2020-06-26,34.34063
2020-06-27,3.67131
2020-06-28,3.43752
2020-06-29,31.63044
2020-06-30,32.68681
2020-07-01,32.93791
2020-07-02,30.08052
2020-07-03,27.89851
2020-07-04,3.22971
2020-07-05,2.94397
2020-07-06,33.54402
2020-07-07,32.79937
2020-07-08,30.5048
2020-07-09,29.05013
2020-07-10,23.58645
2020-07-11,3.29032
2020-07-12,2.5803
2020-07-13,36.2369
2020-07-14,29.1194
2020-07-15,34.72162
2020-07-16,32.21923
2020-07-17,31.61312
2020-07-18,3.97437
2020-07-19,3.15178
2020-07-20,38.00329
2020-07-21,41.70058
2020-07-22,42.43657
2020-07-23,32.00277
2020-07-24,29.57831
2020-07-25,3.22105
2020-07-26,3.01324
2020-07-27,33.67391
2020-07-28,33.9683
2020-07-29,36.01177
2020-07-30,35.1026
2020-07-31,28.80768
2020-08-01,4.10425
2020-08-02,2.74482
2020-08-03,28.51329
2020-08-04,29.73417
2020-08-05,30.1065
2020-08-06,38.99904
2020-08-07,32.0374
2020-08-08,4.14754
2020-08-09,4.60645
2020-08-10,42.26339
2020-08-11,50.40263
2020-08-12,61.70231
2020-08-13,59.0787
2020-08-14,47.81366
2020-08-15,4.5978
2020-08-16,3.59338
2020-08-17,6.58065
2020-08-18,40.42774
2020-08-19,35.05931
2020-08-20,37.15473
2020-08-21,37.14607
2020-08-22,4.2601
2020-08-23,3.21239
2020-08-24,33.73452
2020-08-25,34.84284
2020-08-26,38.82587
2020-08-27,36.83435
2020-08-28,41.10312
2020-08-29,4.10425
2020-08-30,3.36825
2020-08-31,35.11126
2020-09-01,36.04641
2020-09-02,32.21923
2020-09-03,34.88613
2020-09-04,29.72551
2020-09-05,3.80119
2020-09-06,3.35093
2020-09-07,37.67425
2020-09-08,39.33673
2020-09-09,31.94215
2020-09-10,34.57442
2020-09-11,31.57849
2020-09-12,4.34669
2020-09-13,3.53277
2020-09-14,37.21534
2020-09-15,35.72603
2020-09-16,34.00294
2020-09-17,31.69105
2020-09-18,27.8379
2020-09-19,3.43752
2020-09-20,3.30764
2020-09-21,28.30548
2020-09-22,27.17118
2020-09-23,30.07186
2020-09-24,26.3053
2020-09-25,30.64334
2020-09-26,3.43752
2020-09-27,2.7275
2020-09-28,26.51311
2020-09-29,24.85063
2020-09-30,2.86604
2020-10-01,2.71885
2020-10-02,2.64092
2020-10-03,2.38115
2020-10-04,2.5803
2020-10-05,33.24963
2020-10-06,31.45726
2020-10-07,32.21058
2020-10-08,31.62178
2020-10-09,4.1562
2020-10-10,3.00458
2020-10-11,2.96129
2020-10-12,33.43146
2020-10-13,31.9335
2020-10-14,32.09801
2020-10-15,30.87713
2020-10-16,28.21023
2020-10-17,2.96129
2020-10-18,2.19066
2020-10-19,36.79106
2020-10-20,31.84691
2020-10-21,33.50073
2020-10-22,36.28885
2020-10-23,41.5274
2020-10-24,5.61953
2020-10-25,3.7146
2020-10-26,36.18495
2020-10-27,33.85574
2020-10-28,30.3576
2020-10-29,31.12823
2020-10-30,27.82924
2020-10-31,3.4635
2020-11-01,2.7275
2020-11-02,33.01584
2020-11-03,32.1846
2020-11-04,34.10684
2020-11-05,34.48783
2020-11-06,30.67798
2020-11-07,3.16044
2020-11-08,2.23395
2020-11-09,33.50073
2020-11-10,38.4622
2020-11-11,46.76595
2020-11-12,41.21568
2020-11-13,38.92111
2020-11-14,4.97012
2020-11-15,5.13464
2020-11-16,44.42808
2020-11-17,39.64845
2020-11-18,35.89921
2020-11-19,34.22807
2020-11-20,33.05048
2020-11-21,4.93549
2020-11-22,3.97437
2020-11-23,38.67001
2020-11-24,39.24149
2020-11-25,49.12979
