date,시가
2020-03-20,18.38726
2020-03-21,16.58962
2020-03-22,17.12891
2020-03-23,21.34052
2020-03-24,19.00359
2020-03-25,21.00667
2020-03-26,21.00667
2020-03-27,23.39496
2020-03-28,19.02927
2020-03-29,16.53826
2020-03-30,19.23472
2020-03-31,19.72265
2020-04-01,20.18489
2020-04-02,21.16076
2020-04-03,18.23317
2020-04-04,15.40832
2020-04-05,17.71956
2020-04-06,17.64252
2020-04-07,20.10785
2020-04-08,20.36466
2020-04-09,19.5172
2020-04-10,18.90087
2020-04-11,15.84488
2020-04-12,15.48536
2020-04-13,17.84797
2020-04-14,18.5927
2020-04-15,15.434
2020-04-16,18.36158
2020-04-17,19.00359
2020-04-18,15.45968
2020-04-19,16.6153
2020-04-20,20.10785
2020-04-21,19.18335
2020-04-22,18.64406
2020-04-23,20.21058
2020-04-24,16.53826
2020-04-25,17.43708
2020-04-26,16.7437
2020-04-27,18.36158
2020-04-28,19.3888
2020-04-29,18.13045
2020-04-30,15.17719
2020-05-01,16.51258
2020-05-02,15.10015
2020-05-03,17.82229
2020-05-04,16.71802
2020-05-05,16.25577
2020-05-06,16.07601
2020-05-07,17.12891
2020-05-08,16.51258
2020-05-09,13.86748
2020-05-10,14.61222
2020-05-11,16.30713
2020-05-12,17.15459
2020-05-13,19.44016
2020-05-14,17.64252
2020-05-15,16.38418
2020-05-16,13.91884
2020-05-17,14.07293
2020-05-18,18.18181
2020-05-19,19.00359
2020-05-20,17.25731
2020-05-21,17.36004
2020-05-22,16.07601
2020-05-23,14.58654
2020-05-24,15.38263
2020-05-25,16.94915
2020-05-26,18.36158
2020-05-27,16.87211
2020-05-28,17.02619
2020-05-29,16.02465
2020-05-30,14.6379
2020-05-31,14.8947
2020-06-01,15.94761
2020-06-02,16.7437
2020-06-03,16.64098
2020-06-04,16.07601
2020-06-05,15.10015
2020-06-06,21.28916
2020-06-07,17.92501
2020-06-08,20.03081
2020-06-09,17.82229
2020-06-10,17.46276
2020-06-11,17.92501
2020-06-12,17.5398
2020-06-13,15.33127
2020-06-14,16.92347
2020-06-15,17.38572
2020-06-16,16.84643
2020-06-17,17.15459
2020-06-18,17.33436
2020-06-19,16.15305
2020-06-20,14.71494
2020-06-21,16.94915
2020-06-22,16.40986
2020-06-23,15.66512
2020-06-24,15.58808
2020-06-25,17.61684
2020-06-26,14.74062
2020-06-27,14.02157
2020-06-28,14.38109
2020-06-29,16.3585
2020-06-30,17.71956
2020-07-01,13.97021
2020-07-02,16.17873
2020-07-03,15.07447
2020-07-04,14.7663
2020-07-05,17.61684
2020-07-06,19.08063
2020-07-07,15.99897
2020-07-08,17.74524
2020-07-09,19.5172
