date,달러환전
2020-03-20,52.47443
2020-03-21,18.9366
2020-03-22,19.5501
2020-03-23,36.35991
2020-03-24,26.83026
2020-03-25,22.69938
2020-03-26,22.49488
2020-03-27,20.73619
2020-03-28,10.67484
2020-03-29,11.08384
2020-03-30,20.20449
2020-03-31,16.68711
2020-04-01,16.44171
2020-04-02,22.24948
2020-04-03,18.3231
2020-04-04,11.24744
2020-04-05,10.26584
2020-04-06,18.364
2020-04-07,17.30061
2020-04-08,17.05521
2020-04-09,16.64621
2020-04-10,16.15541
2020-04-11,7.15746
2020-04-12,8.01635
2020-04-13,15.41922
2020-04-14,14.76482
2020-04-15,10.30674
2020-04-16,17.75051
2020-04-17,17.09611
2020-04-18,8.13905
2020-04-19,7.52556
2020-04-20,15.62372
2020-04-21,16.44171
2020-04-22,15.25562
2020-04-23,15.05112
2020-04-24,13.00613
2020-04-25,7.44376
2020-04-26,7.73006
2020-04-27,12.55623
2020-04-28,15.13292
2020-04-29,14.06952
2020-04-30,8.22085
2020-05-01,6.54396
2020-05-02,6.58486
2020-05-03,6.29856
2020-05-04,13.08793
2020-05-05,9.65235
2020-05-06,13.82413
2020-05-07,10.96114
2020-05-08,11.57464
2020-05-09,5.48057
2020-05-10,6.42126
2020-05-11,10.79754
2020-05-12,11.12474
2020-05-13,9.65235
2020-05-14,10.71574
2020-05-15,9.36605
2020-05-16,6.13496
2020-05-17,5.56237
2020-05-18,10.26584
2020-05-19,9.24335
2020-05-20,9.93865
2020-05-21,8.87525
2020-05-22,9.52965
2020-05-23,5.56237
2020-05-24,5.52147
2020-05-25,12.71983
2020-05-26,14.19222
2020-05-27,9.89775
2020-05-28,9.24335
2020-05-29,9.12065
2020-05-30,5.88957
2020-05-31,6.33946
2020-06-01,12.22903
2020-06-02,10.71574
2020-06-03,10.87934
2020-06-04,10.87934
2020-06-05,11.00204
2020-06-06,6.91206
2020-06-07,6.38036
2020-06-08,11.04294
2020-06-09,14.19222
2020-06-10,11.41104
2020-06-11,10.67484
2020-06-12,10.30674
2020-06-13,5.31697
2020-06-14,5.52147
2020-06-15,10.06134
2020-06-16,8.26175
2020-06-17,8.79345
2020-06-18,9.24335
2020-06-19,7.40286
2020-06-20,4.62167
2020-06-21,5.31697
2020-06-22,8.75255
2020-06-23,11.69734
2020-06-24,10.67484
2020-06-25,11.04294
2020-06-26,11.37014
2020-06-27,6.58486
2020-06-28,6.74846
2020-06-29,11.32924
2020-06-30,11.16564
2020-07-01,10.22494
2020-07-02,10.87934
2020-07-03,11.73824
2020-07-04,6.54396
2020-07-05,6.66666
2020-07-06,10.10224
2020-07-07,10.30674
2020-07-08,9.28425
2020-07-09,11.45194
2020-07-10,10.79754
2020-07-11,5.56237
2020-07-12,6.13496
2020-07-13,11.12474
2020-07-14,10.47034
2020-07-15,8.91615
2020-07-16,8.71165
2020-07-17,7.60736
2020-07-18,4.90797
2020-07-19,5.23517
2020-07-20,8.67075
2020-07-21,12.02453
2020-07-22,10.55214
2020-07-23,9.61145
2020-07-24,10.59304
2020-07-25,4.66257
2020-07-26,5.64417
2020-07-27,13.41513
2020-07-28,12.92433
2020-07-29,12.26993
2020-07-30,11.82004
2020-07-31,11.73824
2020-08-01,6.05316
2020-08-02,6.33946
2020-08-03,11.57464
2020-08-04,11.82004
2020-08-05,12.76073
2020-08-06,15.17382
2020-08-07,13.70143
2020-08-08,6.91206
2020-08-09,7.89366
2020-08-10,11.16564
2020-08-11,13.41513
2020-08-12,11.73824
2020-08-13,10.38854
2020-08-14,11.04294
2020-08-15,5.23517
2020-08-16,5.43967
2020-08-17,6.70756
2020-08-18,8.95705
2020-08-19,9.32515
2020-08-20,10.22494
2020-08-21,9.44785
2020-08-22,4.45807
2020-08-23,6.01226
2020-08-24,11.16564
2020-08-25,11.20654
2020-08-26,9.85685
2020-08-27,9.81595
2020-08-28,9.52965
2020-08-29,6.29856
2020-08-30,5.93047
2020-08-31,10.83844
2020-09-01,13.00613
2020-09-02,10.59304
2020-09-03,9.69325
2020-09-04,10.06134
2020-09-05,5.35787
2020-09-06,5.97137
2020-09-07,9.89775
2020-09-08,8.62985
2020-09-09,10.06134
2020-09-10,9.52965
2020-09-11,8.62985
2020-09-12,5.48057
2020-09-13,5.31697
2020-09-14,9.61145
2020-09-15,12.26993
2020-09-16,12.59713
2020-09-17,9.85685
2020-09-18,14.11042
2020-09-19,6.46216
2020-09-20,5.93047
2020-09-21,11.45194
2020-09-22,10.26584
2020-09-23,9.40695
2020-09-24,9.69325
2020-09-25,8.26175
2020-09-26,4.70347
2020-09-27,4.08997
2020-09-28,8.54805
2020-09-29,7.77096
2020-09-30,5.48057
2020-10-01,5.43967
2020-10-02,5.88957
2020-10-03,5.68507
2020-10-04,5.35787
2020-10-05,11.20654
2020-10-06,11.20654
2020-10-07,11.32924
2020-10-08,10.02044
2020-10-09,9.69325
2020-10-10,6.05316
2020-10-11,6.42126
2020-10-12,13.74233
2020-10-13,12.80163
2020-10-14,12.35173
2020-10-15,10.22494
2020-10-16,9.32515
2020-10-17,5.11247
2020-10-18,6.58486
2020-10-19,9.44785
2020-10-20,12.43353
2020-10-21,14.23312
2020-10-22,13.82413
