date,VOO
2020-03-20,16.58476
2020-03-21,16.46191
2020-03-22,12.53071
2020-03-23,15.23341
2020-03-24,16.70761
2020-03-25,26.65847
2020-03-26,18.91891
2020-03-27,25.55282
2020-03-28,16.21621
2020-03-29,13.88206
2020-03-30,16.09336
2020-03-31,22.72727
2020-04-01,16.58476
2020-04-02,14.61916
2020-04-03,14.49631
2020-04-04,16.33906
2020-04-05,19.04176
2020-04-06,16.46191
2020-04-07,21.13022
2020-04-08,20.14742
2020-04-09,20.76167
2020-04-10,21.99017
2020-04-11,13.26781
2020-04-12,13.02211
2020-04-13,12.28501
2020-04-14,14.12776
2020-04-15,14.25061
2020-04-16,19.41031
2020-04-17,15.35626
2020-04-18,11.54791
2020-04-19,12.03931
2020-04-20,18.67321
2020-04-21,12.65356
2020-04-22,14.74201
2020-04-23,16.95331
2020-04-24,13.26781
2020-04-25,11.79361
2020-04-26,12.65356
2020-04-27,14.86486
2020-04-28,15.35626
2020-04-29,17.44471
2020-04-30,10.68796
2020-05-01,15.23341
2020-05-02,12.40786
2020-05-03,10.68796
2020-05-04,12.40786
2020-05-05,15.72481
2020-05-06,14.25061
2020-05-07,15.60196
2020-05-08,13.75921
2020-05-09,13.14496
2020-05-10,14.74201
2020-05-11,13.63636
2020-05-12,16.46191
2020-05-13,8.5995
2020-05-14,11.79361
2020-05-15,9.95085
2020-05-16,6.3882
2020-05-17,8.96805
2020-05-18,8.1081
2020-05-19,12.40786
2020-05-20,13.26781
2020-05-21,13.51351
2020-05-22,8.23095
2020-05-23,8.72235
2020-05-24,12.53071
2020-05-25,12.28501
2020-05-26,14.00491
2020-05-27,15.72481
2020-05-28,13.63636
2020-05-29,12.53071
2020-05-30,9.0909
2020-05-31,9.0909
2020-06-01,10.19656
2020-06-02,16.83046
2020-06-03,20.63882
2020-06-04,17.44471
2020-06-05,15.60196
2020-06-06,12.28501
2020-06-07,15.35626
2020-06-08,20.88452
2020-06-09,22.97297
2020-06-10,25.06142
2020-06-11,23.46437
2020-06-12,17.44471
2020-06-13,13.75921
2020-06-14,12.16216
2020-06-15,18.18181
2020-06-16,15.47911
2020-06-17,16.95331
2020-06-18,13.88206
2020-06-19,13.51351
2020-06-20,11.79361
2020-06-21,7.24815
2020-06-22,9.95085
2020-06-23,11.54791
2020-06-24,14.49631
2020-06-25,14.86486
2020-06-26,12.53071
2020-06-27,7.73955
2020-06-28,10.44226
2020-06-29,10.93366
2020-06-30,11.42506
2020-07-01,11.05651
2020-07-02,9.21375
2020-07-03,10.44226
2020-07-04,5.8968
2020-07-05,10.31941
2020-07-06,13.39066
2020-07-07,14.74201
2020-07-08,11.42506
2020-07-09,11.79361
2020-07-10,12.89926
2020-07-11,10.93366
2020-07-12,10.19656
2020-07-13,14.74201
2020-07-14,11.30221
2020-07-15,11.05651
2020-07-16,9.45945
2020-07-17,7.8624
2020-07-18,6.01965
2020-07-19,5.77395
2020-07-20,9.828
2020-07-21,9.95085
2020-07-22,12.28501
2020-07-23,13.88206
2020-07-24,10.31941
2020-07-25,6.6339
2020-07-26,8.47665
2020-07-27,11.91646
2020-07-28,11.42506
2020-07-29,16.33906
2020-07-30,10.31941
2020-07-31,9.828
2020-08-01,7.6167
2020-08-02,8.47665
2020-08-03,10.93366
2020-08-04,10.19656
2020-08-05,11.67076
2020-08-06,11.91646
2020-08-07,12.03931
2020-08-08,9.828
2020-08-09,10.31941
2020-08-10,14.00491
2020-08-11,15.60196
2020-08-12,14.00491
2020-08-13,15.23341
2020-08-14,15.97051
2020-08-15,11.67076
2020-08-16,9.0909
2020-08-17,13.26781
2020-08-18,10.68796
