date,TQQQETF
2020-03-20,2.30642
2020-03-22,1.4827
2020-03-26,2.14168
2020-03-27,1.97693
2020-03-29,0.98846
2020-03-30,0.82372
2020-03-31,1.81219
2020-04-01,0.82372
2020-04-03,1.31795
2020-04-04,0.82372
2020-04-06,1.97693
2020-04-07,1.4827
2020-04-08,0.98846
2020-04-09,0.98846
2020-04-10,0.82372
2020-04-13,0.82372
2020-04-14,0.82372
2020-04-17,1.97693
2020-04-18,1.15321
2020-04-19,1.15321
2020-04-20,0.98846
2020-04-21,0.98846
2020-04-23,1.64744
2020-04-26,2.14168
2020-04-29,0.82372
2020-04-30,0.82372
2020-05-16,0.82372
2020-05-26,0.82372
2020-06-10,0.82372
2020-07-13,0.98846
2020-08-01,0.82372
2020-08-27,2.30642
2020-09-02,0.98846
2020-09-05,0.98846
2020-09-15,0.98846
2020-09-16,0.82372
2020-11-06,0.82372
2020-12-10,0.82372
2020-12-15,0.98846
2020-12-17,1.64744
2020-12-27,0.98846
2020-12-29,0.98846
2021-01-01,0.82372
2021-01-05,1.81219
2021-01-06,0.82372
2021-01-07,1.4827
2021-01-08,0.98846
2021-01-09,0.82372
2021-01-11,0.98846
2021-01-13,1.81219
2021-01-15,0.82372
2021-01-21,2.14168
2021-01-22,2.14168
2021-01-23,0.98846
2021-01-24,1.81219
2021-01-25,0.98846
2021-01-26,2.30642
2021-01-27,1.81219
2021-01-28,2.30642
2021-01-29,1.15321
2021-01-30,1.31795
2021-01-31,1.4827
2021-02-02,0.82372
2021-02-04,1.31795
2021-02-05,0.98846
2021-02-06,0.82372
2021-02-07,0.98846
2021-02-08,1.97693
2021-02-09,2.14168
2021-02-10,2.14168
2021-02-11,0.82372
2021-02-12,0.82372
2021-02-13,0.98846
2021-02-14,1.31795
2021-02-15,0.98846
2021-02-16,3.13014
2021-02-17,1.97693
2021-02-18,2.47116
2021-02-19,1.97693
2021-02-20,2.14168
2021-02-22,1.15321
2021-02-23,2.14168
2021-02-24,2.30642
2021-02-25,2.14168
2021-02-26,2.80065
2021-02-27,1.4827
2021-02-28,1.4827
2021-03-01,0.98846
2021-03-02,2.9654
2021-03-03,2.30642
2021-03-04,1.15321
2021-03-05,1.4827
2021-03-06,1.15321
2021-03-07,2.47116
2021-03-08,2.63591
2021-03-09,7.08401
2021-03-10,5.76606
2021-03-11,4.11861
2021-03-12,3.13014
2021-03-13,4.28336
2021-03-14,3.45963
2021-03-15,3.78912
2021-03-16,7.57825
2021-03-17,4.94233
2021-03-18,4.28336
2021-03-19,3.62438
2021-03-20,2.9654
2021-03-21,1.4827
2021-03-22,3.29489
2021-03-23,5.60131
2021-03-24,7.24876
2021-03-25,3.78912
2021-03-26,3.13014
2021-03-27,5.27182
2021-03-28,3.45963
2021-03-29,3.45963
2021-03-30,4.28336
2021-03-31,4.11861
2021-04-01,5.10708
2021-04-02,4.4481
2021-04-03,4.28336
2021-04-04,2.47116
2021-04-05,4.4481
2021-04-06,7.57825
2021-04-07,5.76606
2021-04-08,7.08401
2021-04-09,7.57825
2021-04-10,5.43657
2021-04-11,4.4481
2021-04-12,6.26029
2021-04-13,8.40197
2021-04-14,6.75453
2021-04-15,5.60131
2021-04-16,8.07248
2021-04-17,7.4135
2021-04-18,2.80065
2021-04-19,5.43657
2021-04-20,5.9308
2021-04-21,6.75453
2021-04-22,6.75453
2021-04-23,7.4135
2021-04-24,5.76606
2021-04-25,3.62438
2021-04-26,4.94233
2021-04-27,8.40197
2021-04-28,6.09555
2021-04-29,4.11861
2021-04-30,4.61285
2021-05-01,4.61285
2021-05-02,1.97693
2021-05-03,4.11861
2021-05-04,6.26029
2021-05-05,13.01482
2021-05-06,5.60131
2021-05-07,7.4135
2021-05-08,4.4481
2021-05-09,2.63591
2021-05-10,4.77759
2021-05-11,10.7084
2021-05-12,6.42504
2021-05-13,5.60131
2021-05-14,5.9308
2021-05-15,2.63591
2021-05-16,1.81219
2021-05-17,3.78912
2021-05-18,3.62438
2021-05-19,1.31795
2021-05-20,1.31795
2021-05-21,4.4481
2021-05-22,1.81219
2021-05-23,1.97693
2021-05-24,3.78912
2021-05-25,7.4135
2021-05-26,2.47116
2021-05-27,3.95387
2021-05-28,3.13014
2021-05-29,2.30642
2021-05-30,2.14168
2021-05-31,1.31795
2021-06-01,1.81219
2021-06-02,0.98846
2021-06-06,0.98846
2021-06-12,0.98846
2021-06-13,0.82372
2021-06-15,0.82372
2021-06-19,1.31795
2021-06-22,0.82372
2021-06-23,0.98846
2021-06-24,1.64744
2021-06-27,0.82372
2021-06-28,1.97693
2021-06-29,1.15321
2021-06-30,1.81219
2021-07-02,0.82372
2021-07-03,1.64744
2021-07-05,1.31795
2021-07-06,1.81219
2021-07-09,0.98846
2021-07-15,2.30642
2021-07-16,1.4827
2021-07-17,0.98846
2021-07-21,0.82372
2021-07-23,0.98846
2021-07-24,1.97693
2021-07-25,1.15321
2021-07-26,0.98846
2021-07-27,1.64744
2021-07-28,1.97693
2021-07-29,1.15321
2021-08-05,0.82372
2021-08-06,0.98846
2021-08-07,0.82372
2021-08-08,1.31795
2021-08-10,2.14168
2021-08-11,0.82372
2021-08-12,0.82372
2021-08-17,1.31795
2021-08-18,0.98846
2021-08-21,0.82372
2021-08-22,0.82372
2021-08-24,3.95387
2021-08-25,1.81219
2021-08-26,2.80065
2021-08-27,3.29489
2021-08-28,3.62438
2021-08-29,2.30642
2021-08-30,2.63591
2021-08-31,2.80065
2021-09-01,2.30642
2021-09-02,1.97693
2021-09-03,1.15321
