date,신성이엔지주가
2020-03-20,0.56274
2020-03-21,0.07503
2020-03-22,0.03751
2020-03-23,0.56274
2020-03-24,0.61902
2020-03-25,0.98167
2020-03-26,0.89414
2020-03-27,1.73826
2020-03-28,0.09379
2020-03-29,0.06252
2020-03-30,1.26305
2020-03-31,1.21928
2020-04-01,0.93791
2020-04-02,0.96292
2020-04-03,0.86913
2020-04-04,0.03751
2020-04-05,0.06252
2020-04-06,0.88163
2020-04-07,0.95041
2020-04-08,0.95666
2020-04-09,1.19427
2020-04-10,0.8191
2020-04-11,0.09379
2020-04-12,0.06252
2020-04-13,0.74407
2020-04-14,0.91915
2020-04-15,0.06878
2020-04-16,0.90664
2020-04-17,0.78159
2020-04-18,0.14381
2020-04-19,0.04376
2020-04-20,0.9254
2020-04-21,0.70655
2020-04-22,0.65028
2020-04-23,0.60651
2020-04-24,0.41268
2020-04-26,0.03751
2020-04-27,0.48146
2020-04-28,0.42518
2020-04-29,0.56899
2020-04-30,0.03751
2020-05-01,0.03126
2020-05-04,0.37516
2020-05-05,0.03751
2020-05-06,0.67529
2020-05-07,0.55649
2020-05-08,0.594
2020-05-09,0.05002
2020-05-10,0.08128
2020-05-11,0.52522
2020-05-12,0.52522
2020-05-13,0.62527
2020-05-14,0.51897
2020-05-15,0.41893
2020-05-16,0.05627
2020-05-17,0.03751
2020-05-18,0.50647
2020-05-19,0.57525
2020-05-20,0.61276
2020-05-21,0.83786
2020-05-22,0.79409
2020-05-23,0.08753
2020-05-24,0.17507
2020-05-25,1.41937
2020-05-26,0.83786
2020-05-27,2.92628
2020-05-28,2.86375
2020-05-29,2.21346
2020-05-30,0.3564
2020-05-31,0.25636
2020-06-01,4.40817
2020-06-02,4.64578
2020-06-03,4.25811
2020-06-04,4.62702
2020-06-05,3.8892
2020-06-06,0.52522
2020-06-07,0.41268
2020-06-08,6.30275
2020-06-09,4.13931
2020-06-10,4.28312
2020-06-11,3.3202
2020-06-12,3.18264
2020-06-13,0.45019
2020-06-14,0.26886
2020-06-15,3.25767
2020-06-16,3.0951
2020-06-17,3.02007
2020-06-18,2.71368
2020-06-19,2.87625
2020-06-20,0.24385
2020-06-21,0.22509
2020-06-22,5.01469
2020-06-23,8.7038
2020-06-24,5.89007
2020-06-25,4.29562
2020-06-26,5.05221
2020-06-27,0.45644
2020-06-28,0.31263
2020-06-29,3.97673
2020-06-30,3.6641
2020-07-01,3.50778
2020-07-02,3.38272
2020-07-03,3.51403
2020-07-04,0.30013
2020-07-05,0.27512
2020-07-06,3.89545
2020-07-07,2.27599
2020-07-08,2.38854
2020-07-09,3.61408
2020-07-10,2.7512
2020-07-11,0.37516
2020-07-12,0.25636
2020-07-13,3.77665
2020-07-14,4.73957
2020-07-15,3.55155
2020-07-16,3.17638
2020-07-17,2.80747
2020-07-18,0.38141
2020-07-19,0.36891
2020-07-20,3.40148
2020-07-21,4.42693
2020-07-22,9.47289
2020-07-23,6.42155
2020-07-24,4.44569
2020-07-25,0.52522
2020-07-26,0.35015
2020-07-27,4.2331
2020-07-28,3.60782
2020-07-29,4.25811
2020-07-30,2.85124
2020-07-31,2.51985
2020-08-01,0.35015
2020-08-02,0.33139
2020-08-03,2.96379
2020-08-04,3.50778
2020-08-05,3.22015
2020-08-06,3.05758
2020-08-07,2.45107
2020-08-08,0.41893
2020-08-09,0.28762
2020-08-10,2.74495
2020-08-11,2.74495
2020-08-12,2.56987
2020-08-13,2.40105
2020-08-14,2.26349
2020-08-15,0.2376
2020-08-16,0.13756
2020-08-17,0.43769
2020-08-18,1.90708
2020-08-19,2.18845
2020-08-20,2.51359
2020-08-21,7.93472
2020-08-22,1.5069
2020-08-23,1.1505
2020-08-24,7.52829
2020-08-25,7.34696
2020-08-26,13.86856
2020-08-27,12.79934
2020-08-28,8.2411
2020-08-29,1.10673
2020-08-30,0.84411
2020-08-31,7.61583
2020-09-01,6.93428
2020-09-02,6.64665
2020-09-03,7.68461
2020-09-04,18.99581
2020-09-05,5.53367
2020-09-06,5.0397
2020-09-07,52.86687
2020-09-08,47.16438
2020-09-09,41.43062
2020-09-10,45.3761
2020-09-11,29.92559
2020-09-12,4.8146
2020-09-13,4.82711
2020-09-14,27.1056
2020-09-15,25.13599
2020-09-16,28.08103
2020-09-17,21.87206
2020-09-18,22.15969
2020-09-19,3.72037
2020-09-20,3.10135
2020-09-21,23.56656
2020-09-22,18.76445
2020-09-23,25.161
2020-09-24,19.58982
2020-09-25,18.7582
2020-09-26,3.2014
2020-09-27,2.61364
2020-09-28,18.4143
2020-09-29,14.50634
2020-09-30,1.90708
2020-10-01,1.42562
2020-10-02,1.46314
2020-10-03,1.46939
