date,펀드매니저
2020-03-20,31.59636
2020-03-21,25.35153
2020-03-22,21.13316
2020-03-23,31.14143
2020-03-24,27.99834
2020-03-25,30.19023
2020-03-26,28.94954
2020-03-27,24.73118
2020-03-28,20.55417
2020-03-29,21.13316
2020-03-30,23.53184
2020-03-31,22.91149
2020-04-01,20.51282
2020-04-02,19.56162
2020-04-03,18.19685
2020-04-04,18.32092
2020-04-05,15.13647
2020-04-06,21.09181
2020-04-07,20.7196
2020-04-08,20.4301
2020-04-09,17.45244
2020-04-10,15.79818
2020-04-11,13.73035
2020-04-12,15.75682
2020-04-13,17.74193
2020-04-14,16.70802
2020-04-15,13.68899
2020-04-16,17.36972
2020-04-17,18.40363
2020-04-18,13.64764
2020-04-19,20.4301
2020-04-20,20.47146
2020-04-21,20.63688
2020-04-22,22.99421
2020-04-23,21.46401
2020-04-24,18.44499
2020-04-25,12.90322
2020-04-26,12.69644
2020-04-27,16.95616
2020-04-28,16.41852
2020-04-29,20.22332
2020-04-30,14.0612
2020-05-01,13.56492
2020-05-02,9.26385
2020-05-03,12.24152
2020-05-04,13.73035
2020-05-05,16.37717
2020-05-06,17.45244
2020-05-07,15.59139
2020-05-08,12.73779
2020-05-09,9.71877
2020-05-10,10.58726
2020-05-11,13.23407
2020-05-12,12.90322
2020-05-13,15.42597
2020-05-14,16.62531
2020-05-15,14.59884
2020-05-16,10.25641
2020-05-17,12.1588
2020-05-18,14.92969
2020-05-19,16.62531
2020-05-20,18.73449
2020-05-21,13.93713
2020-05-22,15.0124
2020-05-23,10.17369
2020-05-24,12.1588
2020-05-25,16.2531
2020-05-26,15.21918
2020-05-27,15.17783
2020-05-28,14.76426
2020-05-29,11.95202
2020-05-30,10.50454
2020-05-31,11.04218
2020-06-01,15.71546
2020-06-02,17.03887
2020-06-03,15.13647
2020-06-04,17.94871
2020-06-05,14.97105
2020-06-06,10.5459
2020-06-07,13.44086
2020-06-08,15.38461
2020-06-09,16.33581
2020-06-10,16.41852
2020-06-11,15.34325
2020-06-12,13.02729
2020-06-13,9.34656
2020-06-14,10.8354
2020-06-15,15.0124
2020-06-16,12.69644
2020-06-17,13.89578
2020-06-18,13.93713
2020-06-19,12.53101
2020-06-20,9.05707
2020-06-21,10.29776
