date,남해화학주가
2020-03-20,18.29495
2020-03-21,2.07741
2020-03-22,1.40127
2020-03-23,16.33512
2020-03-24,16.27633
2020-03-25,19.72562
2020-03-26,19.68642
2020-03-27,18.61832
2020-03-28,1.67564
2020-03-29,1.0387
2020-03-30,16.37432
2020-03-31,30.89661
2020-04-01,25.57569
2020-04-02,23.00832
2020-04-03,22.45957
2020-04-04,2.73395
2020-04-05,1.62665
2020-04-06,22.45957
2020-04-07,27.7413
2020-04-08,24.3704
2020-04-09,20.87212
2020-04-10,20.42136
2020-04-11,2.43998
2020-04-12,2.146
2020-04-13,19.16707
2020-04-14,21.31308
2020-04-15,2.85154
2020-04-16,26.96717
2020-04-17,26.78098
2020-04-18,2.44977
2020-04-19,2.1166
2020-04-20,31.79813
2020-04-21,29.87751
2020-04-22,24.22341
2020-04-23,24.50759
2020-04-24,18.8045
2020-04-25,1.91082
2020-04-26,1.31308
2020-04-27,21.30328
2020-04-28,18.35374
2020-04-29,16.19794
2020-04-30,1.78343
2020-05-01,2.24399
2020-05-02,1.46986
2020-05-03,1.60705
2020-05-04,17.42283
2020-05-05,2.32239
2020-05-06,17.53062
2020-05-07,15.60019
2020-05-08,14.74767
2020-05-09,1.43067
2020-05-10,1.0485
2020-05-11,14.01273
2020-05-12,13.08182
2020-05-13,13.85595
2020-05-14,12.04311
2020-05-15,12.96423
2020-05-16,0.85252
2020-05-17,0.87212
2020-05-18,12.22929
2020-05-19,15.60019
2020-05-20,14.82606
2020-05-21,13.76776
2020-05-22,11.77853
2020-05-23,0.85252
2020-05-24,0.84272
2020-05-25,12.09211
2020-05-26,14.90445
2020-05-27,15.37481
2020-05-28,18.31455
2020-05-29,12.97403
2020-05-30,0.97011
2020-05-31,0.79372
2020-06-01,14.53209
2020-06-02,15.02204
2020-06-03,17.41303
2020-06-04,19.34345
2020-06-05,16.08035
2020-06-06,1.59725
2020-06-07,1.0779
2020-06-08,15.42381
2020-06-09,15.09064
2020-06-10,13.87555
2020-06-11,13.97354
2020-06-12,14.06173
2020-06-13,1.0975
2020-06-14,1.21509
2020-06-15,14.59088
2020-06-16,17.62861
2020-06-17,15.59039
2020-06-18,14.19892
2020-06-19,14.27731
2020-06-20,1.24448
2020-06-21,0.82312
2020-06-22,12.94463
2020-06-23,11.99412
2020-06-24,17.59921
2020-06-25,13.09162
2020-06-26,11.80793
2020-06-27,1.0093
2020-06-28,0.89171
2020-06-29,13.85595
2020-06-30,12.1509
2020-07-01,15.93336
2020-07-02,13.69916
2020-07-03,14.83586
2020-07-04,1.93042
2020-07-05,1.78343
2020-07-06,22.43018
2020-07-07,14.52229
2020-07-08,15.80597
2020-07-09,13.84615
2020-07-10,12.02351
2020-07-11,0.90151
2020-07-12,0.58794
2020-07-13,12.88584
2020-07-14,11.073
2020-07-15,12.85644
2020-07-16,11.31798
2020-07-17,11.76874
2020-07-18,0.98971
2020-07-19,0.84272
2020-07-20,11.87653
2020-07-21,13.89514
2020-07-22,14.03233
2020-07-23,13.42479
2020-07-24,14.71827
2020-07-25,1.18569
2020-07-26,0.82312
2020-07-27,15.18863
2020-07-28,14.83586
2020-07-29,11.87653
2020-07-30,12.1803
2020-07-31,10.45565
2020-08-01,1.0681
2020-08-02,0.81332
2020-08-03,14.4341
2020-08-04,14.96325
2020-08-05,14.05193
2020-08-06,31.81773
2020-08-07,30.48505
2020-08-08,4.52719
2020-08-09,4.31161
2020-08-10,44.54679
2020-08-11,31.56295
2020-08-12,25.34051
2020-08-13,25.09554
2020-08-14,21.91082
2020-08-15,2.04801
2020-08-16,1.33268
2020-08-17,3.3023
2020-08-18,17.45222
2020-08-19,16.15874
2020-08-20,16.20774
2020-08-21,16.53111
2020-08-22,1.49926
2020-08-23,1.27388
2020-08-24,18.96129
2020-08-25,18.14796
2020-08-26,21.70504
2020-08-27,16.50171
2020-08-28,16.93287
2020-08-29,1.37187
2020-08-30,1.25428
2020-08-31,16.54091
2020-09-01,15.77658
2020-09-02,15.87457
2020-09-03,14.86526
2020-09-04,12.54287
2020-09-05,1.26408
2020-09-06,0.99951
2020-09-07,15.16903
2020-09-08,13.06222
2020-09-09,11.63155
2020-09-10,12.08231
2020-09-11,13.37579
2020-09-12,1.14649
2020-09-13,0.70553
2020-09-14,13.3268
2020-09-15,13.02302
2020-09-16,17.84419
2020-09-17,13.65017
2020-09-18,12.51347
2020-09-19,1.1073
2020-09-20,0.92111
2020-09-21,13.79715
2020-09-22,12.01371
2020-09-23,11.37677
