date,삼성증권ISA
2020-03-21,0.61162
2020-03-27,0.50968
2020-03-31,0.81549
2020-04-04,0.91743
2020-04-09,0.50968
2020-05-04,0.61162
2020-05-11,0.61162
2020-05-23,0.50968
2020-07-08,0.61162
2020-07-09,1.22324
2020-07-10,0.71355
2020-07-13,1.1213
2020-07-19,0.71355
2020-07-24,0.61162
2020-08-03,0.71355
2020-08-05,0.50968
2020-08-06,0.50968
2020-08-11,0.81549
2020-08-22,0.81549
2020-08-25,0.50968
2020-08-28,0.91743
2020-08-31,0.50968
2020-09-04,0.61162
2020-09-18,0.50968
2020-09-20,0.50968
2020-09-23,0.50968
2020-09-28,0.61162
2020-10-05,0.50968
2020-10-06,1.01936
2020-10-11,0.50968
2020-10-15,0.71355
2020-10-16,0.61162
2020-10-21,0.50968
2020-10-22,1.01936
2020-10-23,1.73292
2020-10-26,0.61162
2020-10-27,0.61162
2020-10-28,0.81549
2020-10-29,0.61162
2020-10-31,0.50968
2020-11-01,0.61162
2020-11-02,1.52905
2020-11-03,0.71355
2020-11-04,0.91743
2020-11-05,1.42711
2020-11-09,0.71355
2020-11-10,1.52905
2020-11-11,1.1213
2020-11-13,1.42711
2020-11-14,0.61162
2020-11-15,0.71355
2020-11-16,1.63098
2020-11-17,1.73292
2020-11-18,2.03873
2020-11-19,2.54841
2020-11-20,1.83486
2020-11-21,0.61162
2020-11-22,0.91743
2020-11-23,2.95616
2020-11-24,1.42711
2020-11-25,1.93679
2020-11-26,1.73292
2020-11-27,1.93679
2020-11-29,1.22324
2020-11-30,2.03873
2020-12-01,1.83486
2020-12-02,1.73292
2020-12-03,0.91743
2020-12-04,1.73292
2020-12-05,1.22324
2020-12-06,2.03873
2020-12-07,3.56778
2020-12-08,1.52905
2020-12-09,0.81549
2020-12-10,1.93679
2020-12-11,2.95616
2020-12-13,1.63098
2020-12-14,2.65035
2020-12-15,3.97553
2020-12-16,4.38328
2020-12-17,5.19877
2020-12-18,3.16004
2020-12-19,1.73292
2020-12-20,2.54841
2020-12-21,6.1162
2020-12-22,4.07747
