date,KODEX자동차
2020-03-20,1.01905
2020-03-22,0.26583
2020-03-23,0.35445
2020-03-24,0.88613
2020-03-25,1.19627
2020-03-26,1.59503
2020-03-27,1.15197
2020-03-28,0.22153
2020-03-30,0.88613
2020-03-31,1.50642
2020-04-01,1.55073
2020-04-02,1.06335
2020-04-03,0.79751
2020-04-06,0.93043
2020-04-07,0.84182
2020-04-08,1.86087
2020-04-09,1.19627
2020-04-10,1.3735
2020-04-12,0.26583
2020-04-13,0.79751
2020-04-14,1.24058
2020-04-15,0.26583
2020-04-16,0.66459
2020-04-17,0.57598
2020-04-20,0.57598
2020-04-21,0.88613
2020-04-22,0.66459
2020-04-23,0.48737
2020-04-24,0.39875
2020-04-27,0.66459
2020-04-28,0.66459
2020-04-29,1.01905
2020-04-30,0.22153
2020-05-01,0.22153
2020-05-03,0.39875
2020-05-04,0.48737
2020-05-06,0.44306
2020-05-07,0.48737
2020-05-08,0.57598
2020-05-09,0.57598
2020-05-10,0.53167
2020-05-11,1.15197
2020-05-12,0.7089
2020-05-13,0.75321
2020-05-14,0.88613
2020-05-18,0.35445
2020-05-19,1.68365
2020-05-20,1.41781
2020-05-21,1.41781
2020-05-22,0.66459
2020-05-24,0.26583
2020-05-25,0.35445
2020-05-26,1.10766
2020-05-27,0.88613
2020-05-28,1.32919
2020-05-29,0.39875
2020-06-01,1.59503
2020-06-02,1.15197
2020-06-03,1.55073
2020-06-04,0.97474
2020-06-05,0.66459
2020-06-08,0.93043
2020-06-09,0.88613
2020-06-10,0.79751
2020-06-11,0.88613
2020-06-12,0.35445
2020-06-15,0.75321
2020-06-16,0.31014
2020-06-18,0.22153
2020-06-22,0.31014
2020-06-23,0.84182
2020-06-24,0.84182
2020-06-25,0.44306
2020-06-26,0.22153
2020-06-29,0.22153
2020-06-30,0.31014
2020-07-01,0.75321
2020-07-02,0.62029
2020-07-03,0.35445
2020-07-06,1.10766
2020-07-07,1.59503
2020-07-08,0.97474
2020-07-09,0.66459
2020-07-10,0.75321
2020-07-12,0.26583
2020-07-13,0.44306
2020-07-14,0.97474
2020-07-15,1.77226
2020-07-16,1.72795
2020-07-17,2.83562
2020-07-18,0.75321
2020-07-19,1.01905
2020-07-20,2.83562
2020-07-21,2.48116
2020-07-22,2.34824
2020-07-23,2.52547
2020-07-24,2.17102
2020-07-25,0.44306
2020-07-26,0.26583
2020-07-27,1.28489
2020-07-28,1.19627
2020-07-29,1.24058
2020-07-30,1.72795
2020-07-31,1.24058
2020-08-01,0.75321
2020-08-02,0.31014
2020-08-03,1.3735
2020-08-04,2.56978
2020-08-05,2.56978
2020-08-06,3.94328
2020-08-07,3.50022
2020-08-08,0.88613
2020-08-09,1.3735
2020-08-10,10.63358
2020-08-11,7.35489
2020-08-12,6.07
2020-08-13,3.27868
2020-08-14,2.25963
2020-08-15,0.48737
2020-08-16,0.48737
2020-08-17,0.31014
2020-08-18,2.747
2020-08-19,2.79131
2020-08-20,2.7027
2020-08-21,2.0381
2020-08-22,0.75321
2020-08-23,0.7089
2020-08-24,2.30394
2020-08-25,4.0762
2020-08-26,3.45591
2020-08-27,3.01284
2020-08-28,3.45591
2020-08-29,1.41781
2020-08-30,0.75321
2020-08-31,3.85467
2020-09-01,4.38635
2020-09-02,3.76606
2020-09-03,3.19007
2020-09-04,3.01284
2020-09-05,0.53167
2020-09-06,0.53167
2020-09-07,3.19007
2020-09-08,2.87992
2020-09-09,3.27868
2020-09-10,1.86087
2020-09-11,2.12671
2020-09-12,0.48737
2020-09-13,0.31014
2020-09-14,5.18387
2020-09-15,3.85467
2020-09-16,6.42445
2020-09-17,5.67124
2020-09-18,3.98759
2020-09-19,1.15197
2020-09-20,1.59503
2020-09-21,5.36109
2020-09-22,4.78511
2020-09-23,5.89277
2020-09-24,5.84847
2020-09-25,5.09525
2020-09-26,0.75321
2020-09-27,0.79751
2020-09-28,3.32299
2020-09-29,3.63314
2020-09-30,0.75321
2020-10-01,0.48737
2020-10-02,0.62029
2020-10-03,1.01905
2020-10-04,1.15197
2020-10-05,8.28533
2020-10-06,5.71555
2020-10-07,4.56357
2020-10-08,3.81036
2020-10-09,0.53167
2020-10-10,1.15197
2020-10-11,1.06335
2020-10-12,4.29774
2020-10-13,3.76606
2020-10-14,3.89898
2020-10-15,4.34204
2020-10-16,5.80416
2020-10-17,0.57598
2020-10-18,0.57598
2020-10-19,3.19007
2020-10-20,4.60788
2020-10-21,2.92423
2020-10-22,2.30394
2020-10-23,3.14576
2020-10-24,0.48737
2020-10-25,0.53167
2020-10-26,2.79131
2020-10-27,6.42445
2020-10-28,3.50022
2020-10-29,3.63314
2020-10-30,3.63314
2020-10-31,0.26583
2020-11-01,0.66459
2020-11-02,3.58883
2020-11-03,3.23438
2020-11-04,3.76606
2020-11-05,4.82941
2020-11-06,3.50022
2020-11-07,0.48737
2020-11-08,0.44306
2020-11-09,4.65219
2020-11-10,4.87372
2020-11-11,4.56357
2020-11-12,5.31679
2020-11-13,5.36109
2020-11-14,1.06335
2020-11-15,0.88613
2020-11-16,6.24723
2020-11-17,4.69649
2020-11-18,4.69649
2020-11-19,5.71555
2020-11-20,4.7408
2020-11-21,1.28489
2020-11-22,0.93043
2020-11-23,4.78511
2020-11-24,6.24723
2020-11-25,7.00044
2020-11-26,7.08905
2020-11-27,6.60168
2020-11-28,0.7089
2020-11-29,0.84182
2020-11-30,6.29153
2020-12-01,9.39299
2020-12-02,9.74745
2020-12-03,13.07044
2020-12-04,12.7603
2020-12-05,2.34824
2020-12-06,1.59503
2020-12-07,10.45635
2020-12-08,10.27913
2020-12-09,12.27292
2020-12-10,13.15906
2020-12-11,10.1019
2020-12-12,1.3735
2020-12-13,2.0381
2020-12-14,9.74745
2020-12-15,8.81701
2020-12-16,10.23482
2020-12-17,9.92467
2020-12-18,8.28533
2020-12-19,1.24058
2020-12-20,1.81657
2020-12-21,10.58927
2020-12-22,8.81701
2020-12-23,10.23482
2020-12-24,10.67789
2020-12-25,3.3673
2020-12-26,1.50642
2020-12-27,1.41781
2020-12-28,10.89942
2020-12-29,11.12095
2020-12-30,12.84891
2020-12-31,4.34204
2021-01-01,2.39255
2021-01-02,2.747
2021-01-03,1.81657
2021-01-04,24.67877
2021-01-05,20.64687
2021-01-06,23.43819
2021-01-07,24.45724
2021-01-08,80.41648
2021-01-09,29.15374
2021-01-10,29.37527
2021-01-11,70.18165
2021-01-12,40.18608
2021-01-13,46.07886
2021-01-14,34.9136
2021-01-15,26.45104
2021-01-16,6.11431
2021-01-17,5.89277
2021-01-18,29.81834
2021-01-19,64.02303
2021-01-20,74.61231
