date,국가지원금
2020-03-20,1.93166
2020-03-21,0.99004
2020-03-22,1.02771
2020-03-23,1.98547
2020-03-24,2.73338
2020-03-25,2.15227
2020-03-26,1.79176
2020-03-27,1.66263
2020-03-28,2.01775
2020-03-29,2.09846
2020-03-30,13.46246
2020-03-31,11.10034
2020-04-01,10.04035
2020-04-02,6.85499
2020-04-03,13.34409
2020-04-04,5.18159
2020-04-05,3.38444
2020-04-06,5.94565
2020-04-07,4.49825
2020-04-08,3.85794
2020-04-09,4.56281
2020-04-10,4.02475
2020-04-11,2.07694
2020-04-12,1.98009
2020-04-13,4.28302
2020-04-14,3.78262
2020-04-15,2.25988
2020-04-16,5.13317
2020-04-17,4.67581
2020-04-18,2.22222
2020-04-19,2.23298
2020-04-20,4.735
2020-04-21,3.54048
2020-04-22,4.22383
2020-04-23,4.72423
2020-04-24,4.622
2020-04-25,2.96475
2020-04-26,2.44821
2020-04-27,5.73042
2020-04-28,6.70971
2020-04-29,6.73661
2020-04-30,6.34382
2020-05-01,5.71966
2020-05-02,3.75033
2020-05-03,4.37449
2020-05-04,11.81598
2020-05-05,6.83884
2020-05-06,10.28786
2020-05-07,8.3562
2020-05-08,6.43529
2020-05-09,4.18617
2020-05-10,3.97632
2020-05-11,9.21711
2020-05-12,6.55367
2020-05-13,5.95641
2020-05-14,4.81033
2020-05-15,3.63734
2020-05-16,2.59887
2020-05-17,1.87247
2020-05-18,3.66962
2020-05-19,2.92709
2020-05-20,2.57196
2020-05-21,1.87247
2020-05-22,1.70029
2020-05-23,1.1676
2020-05-24,1.15146
2020-05-25,2.06618
2020-05-26,1.94242
2020-05-27,1.49044
2020-05-28,1.37207
2020-05-29,1.25907
2020-05-30,0.95238
2020-05-31,0.90395
2020-06-01,2.52354
2020-06-02,1.95318
2020-06-03,1.78638
2020-06-04,1.98547
2020-06-05,1.65725
2020-06-06,0.99004
2020-06-07,0.90395
2020-06-08,1.55501
2020-06-09,1.53887
2020-06-10,1.91014
2020-06-11,1.5873
2020-06-12,1.35055
2020-06-13,0.88781
2020-06-14,1.17836
2020-06-15,1.69491
2020-06-16,1.53887
2020-06-17,1.56039
2020-06-18,1.35055
2020-06-19,1.22141
2020-06-20,0.6941
2020-06-21,0.72639
2020-06-22,1.59268
2020-06-23,1.35593
2020-06-24,1.09765
2020-06-25,1.08151
2020-06-26,1.04385
2020-06-27,0.76943
2020-06-28,0.63492
2020-06-29,1.06537
2020-06-30,1.22679
2020-07-01,1.39359
2020-07-02,1.1407
2020-07-03,1.1676
2020-07-04,0.8071
2020-07-05,0.79096
2020-07-06,1.31826
2020-07-07,1.36131
2020-07-08,1.33979
2020-07-09,1.19451
2020-07-10,1.08151
2020-07-11,0.79096
2020-07-12,0.58649
2020-07-13,1.31826
2020-07-14,1.39897
2020-07-15,1.31288
2020-07-16,1.29674
2020-07-17,1.17298
2020-07-18,0.73177
2020-07-19,0.6941
2020-07-20,1.39897
2020-07-21,1.20527
2020-07-22,1.11918
2020-07-23,1.1138
2020-07-24,0.99542
2020-07-25,0.66182
2020-07-26,0.85552
2020-07-27,1.07613
2020-07-28,1.26446
2020-07-29,1.18375
2020-07-30,1.10842
2020-07-31,1.19989
2020-08-01,0.76943
2020-08-02,0.61339
2020-08-03,1.03309
2020-08-04,1.05461
2020-08-05,1.09765
2020-08-06,1.0008
2020-08-07,0.86629
2020-08-08,0.60263
2020-08-09,0.72101
2020-08-10,1.15146
2020-08-11,0.98466
2020-08-12,1.28598
2020-08-13,1.62496
2020-08-14,1.96394
2020-08-15,1.15684
2020-08-16,0.90933
2020-08-17,0.91471
2020-08-18,1.31288
2020-08-19,3.5082
2020-08-20,2.31907
2020-08-21,1.90476
2020-08-22,1.39359
2020-08-23,1.29136
2020-08-24,2.5612
2020-08-25,1.99085
2020-08-26,1.68953
2020-08-27,1.51735
2020-08-28,1.54963
2020-08-29,0.95776
2020-08-30,1.04923
2020-08-31,2.0608
2020-09-01,2.1146
2020-09-02,2.35673
2020-09-03,2.01775
2020-09-04,1.94242
2020-09-05,1.23755
2020-09-06,1.88323
2020-09-07,2.85176
2020-09-08,3.52434
2020-09-09,3.34678
2020-09-10,4.27226
2020-09-11,2.91633
2020-09-12,1.39359
2020-09-13,1.4743
2020-09-14,2.18993
2020-09-15,1.82943
2020-09-16,1.96394
2020-09-17,1.82405
2020-09-18,1.51735
2020-09-19,0.834
2020-09-20,1.19989
2020-09-21,1.92628
2020-09-22,2.31369
2020-09-23,3.4813
2020-09-24,3.16384
2020-09-25,2.5612
2020-09-26,1.05999
2020-09-27,0.81786
2020-09-28,1.77562
2020-09-29,1.2806
2020-09-30,0.68334
2020-10-01,0.46811
2020-10-02,0.44659
2020-10-03,0.38202
2020-10-04,0.64568
2020-10-05,1.28598
2020-10-06,1.33979
2020-10-07,1.22141
2020-10-08,0.97928
2020-10-09,0.68872
2020-10-10,0.78019
2020-10-11,0.84476
2020-10-12,2.7549
2020-10-13,1.74872
2020-10-14,1.70029
2020-10-15,1.4743
2020-10-16,1.40435
2020-10-17,0.78019
2020-10-18,0.80172
2020-10-19,1.33979
2020-10-20,1.56039
2020-10-21,1.53349
2020-10-22,1.3075
2020-10-23,1.12994
2020-10-24,0.72101
2020-10-25,0.59725
2020-10-26,1.12456
2020-10-27,1.26446
2020-10-28,1.58192
2020-10-29,1.23755
2020-10-30,1.07075
2020-10-31,0.63492
2020-11-01,0.67258
2020-11-02,1.63572
2020-11-03,1.36131
2020-11-04,1.18375
2020-11-05,1.29674
2020-11-06,1.05461
2020-11-07,0.61877
2020-11-08,0.50578
2020-11-09,0.96314
2020-11-10,1.03847
2020-11-11,0.87167
2020-11-12,0.91471
2020-11-13,0.76943
2020-11-14,0.54344
2020-11-15,0.42507
2020-11-16,1.13532
2020-11-17,1.15146
2020-11-18,0.8071
2020-11-19,0.99542
2020-11-20,0.81786
2020-11-21,0.57035
2020-11-22,0.58649
2020-11-23,1.39897
2020-11-24,1.57115
2020-11-25,1.34517
2020-11-26,1.41511
2020-11-27,1.30212
2020-11-28,0.73177
2020-11-29,0.81248
2020-11-30,1.31826
2020-12-01,1.27522
2020-12-02,1.07075
2020-12-03,1.28598
2020-12-04,1.09765
2020-12-05,0.87705
2020-12-06,0.9739
2020-12-07,1.27522
2020-12-08,1.22679
2020-12-09,1.07613
2020-12-10,1.68953
2020-12-11,1.12456
2020-12-12,0.81786
2020-12-13,0.92547
2020-12-14,1.38283
2020-12-15,1.72181
