date,라이선스
2020-03-20,52.74542
2020-03-21,46.08985
2020-03-22,27.45424
2020-03-23,59.90016
2020-03-24,63.22795
2020-03-25,58.06988
2020-03-26,58.90183
2020-03-27,59.40099
2020-03-28,36.60565
2020-03-29,35.77371
2020-03-30,53.91014
2020-03-31,51.24792
2020-04-01,62.396
2020-04-02,56.73876
2020-04-03,49.41763
2020-04-04,31.61397
2020-04-05,32.94509
2020-04-06,46.92179
2020-04-07,65.05823
2020-04-08,57.90349
2020-04-09,61.56405
2020-04-10,53.0782
2020-04-11,37.4376
2020-04-12,32.61231
2020-04-13,55.57404
2020-04-14,49.25124
2020-04-15,34.77537
2020-04-16,56.90515
2020-04-17,55.90682
2020-04-18,33.77703
2020-04-19,39.43427
2020-04-20,72.21297
2020-04-21,55.90682
2020-04-22,60.39933
2020-04-23,60.06655
2020-04-24,68.7188
2020-04-25,34.2762
2020-04-26,35.10815
2020-04-27,74.37603
2020-04-28,54.24292
2020-04-29,61.06489
2020-04-30,27.95341
2020-05-01,44.92512
2020-05-02,41.76372
2020-05-03,37.27121
2020-05-04,47.92013
2020-05-05,34.10981
2020-05-06,61.06489
2020-05-07,57.90349
2020-05-08,53.57737
2020-05-09,35.10815
2020-05-10,31.28119
2020-05-11,59.40099
2020-05-12,76.20632
2020-05-13,100.0
2020-05-14,78.70216
2020-05-15,68.7188
2020-05-16,43.594
2020-05-17,40.43261
2020-05-18,75.37437
2020-05-19,65.22462
2020-05-20,63.89351
2020-05-21,64.55906
2020-05-22,61.06489
2020-05-23,38.10316
2020-05-24,37.60399
2020-05-25,58.40266
2020-05-26,59.90016
2020-05-27,66.05657
2020-05-28,63.56073
2020-05-29,54.07653
2020-05-30,39.76705
2020-05-31,47.58735
2020-06-01,60.73211
2020-06-02,65.39101
2020-06-03,56.90515
2020-06-04,60.06655
2020-06-05,56.40599
2020-06-06,36.60565
2020-06-07,35.27454
2020-06-08,54.07653
2020-06-09,51.74708
2020-06-10,56.40599
2020-06-11,60.8985
2020-06-12,58.90183
2020-06-13,43.09484
2020-06-14,38.43594
2020-06-15,49.9168
2020-06-16,64.89184
2020-06-17,57.90349
2020-06-18,52.91181
2020-06-19,51.74708
2020-06-20,27.95341
2020-06-21,29.95008
2020-06-22,52.41264
2020-06-23,56.40599
2020-06-24,67.38768
2020-06-25,55.90682
2020-06-26,46.42262
2020-06-27,35.60732
2020-06-28,35.60732
2020-06-29,60.8985
2020-06-30,57.90349
2020-07-01,48.91846
2020-07-02,68.21963
2020-07-03,47.08818
2020-07-04,27.95341
2020-07-05,28.28618
2020-07-06,48.58569
2020-07-07,48.91846
2020-07-08,49.58402
2020-07-09,49.08485
2020-07-10,39.26788
2020-07-11,30.61564
2020-07-12,28.78535
2020-07-13,49.58402
2020-07-14,52.24625
2020-07-15,54.07653
2020-07-16,50.41597
2020-07-17,42.92845
2020-07-18,31.44758
2020-07-19,25.62396
2020-07-20,49.41763
2020-07-21,49.75041
2020-07-22,50.41597
2020-07-23,61.23128
2020-07-24,55.07487
2020-07-25,26.12312
2020-07-26,29.28452
2020-07-27,59.40099
2020-07-28,53.0782
2020-07-29,55.90682
2020-07-30,60.8985
2020-07-31,43.09484
2020-08-01,25.29118
2020-08-02,27.45424
2020-08-03,44.92512
2020-08-04,56.07321
2020-08-05,44.59234
2020-08-06,41.43094
2020-08-07,40.26622
2020-08-08,33.94342
2020-08-09,29.6173
2020-08-10,51.74708
2020-08-11,48.75207
2020-08-12,45.42429
2020-08-13,43.76039
2020-08-14,38.43594
2020-08-15,29.11813
2020-08-16,19.63394
2020-08-17,26.4559
2020-08-18,42.0965
2020-08-19,43.42762
2020-08-20,45.42429
2020-08-21,47.42096
2020-08-22,32.7787
2020-08-23,20.46589
2020-08-24,47.42096
2020-08-25,44.09317
2020-08-26,47.25457
2020-08-27,51.08153
2020-08-28,55.07487
2020-08-29,27.28785
