date,2월신용카드캐시백
2022-02-02,2.89855
2022-02-04,2.41545
2022-02-07,3.86473
2023-01-31,6.76328
2023-02-01,41.54589
2023-02-02,27.53623
2023-02-03,50.72463
2023-02-04,30.91787
2023-02-05,33.33333
2023-02-06,48.79227
2023-02-07,37.68115
2023-02-08,37.68115
2023-02-09,47.82608
2023-02-10,28.50241
2023-02-11,14.97584
2023-02-12,14.49275
2023-02-13,34.29951
2023-02-14,19.32367
2023-02-15,31.40096
2023-02-16,16.90821
2023-02-17,18.35748
2023-02-18,15.94202
2023-02-19,15.94202
2023-02-20,30.43478
2023-02-21,17.3913
2023-02-22,21.73913
2023-02-23,17.3913
2023-02-24,13.04347
2023-02-25,14.00966
2023-02-26,7.72946
2023-02-27,12.56038
2023-02-28,12.07729
2023-03-01,9.17874
2023-03-02,2.41545
2023-03-05,2.41545
2024-01-29,3.38164
2024-01-31,13.04347
2024-02-01,96.61835
2024-02-02,100.0
2024-02-03,47.34299
2024-02-04,51.20772
2024-02-05,74.39613
2024-02-06,48.79227
2024-02-07,39.61352
2024-02-08,41.0628
2024-02-09,20.28985
2024-02-10,26.08695
2024-02-11,25.12077
2024-02-12,25.12077
2024-02-13,38.64734
2024-02-14,32.85024
2024-02-15,27.53623
2024-02-16,33.81642
2024-02-17,26.08695
2024-02-18,26.08695
2024-02-19,36.23188
2024-02-20,36.23188
2024-02-21,50.72463
2024-02-22,31.40096
2024-02-23,23.1884
2024-02-24,17.87439
2024-02-25,18.84057
2024-02-26,23.1884
2024-02-27,24.15458
2024-02-28,23.1884
2024-02-29,16.42512
2024-03-01,8.21256
2024-03-02,2.89855
