date,안랩주가
2020-03-20,3.44677
2020-03-21,0.3848
2020-03-22,0.27213
2020-03-23,3.32092
2020-03-24,3.09557
2020-03-25,2.95983
2020-03-26,3.32685
2020-03-27,3.05538
2020-03-28,0.36042
2020-03-29,0.26949
2020-03-30,4.63809
2020-03-31,3.97061
2020-04-01,3.29983
2020-04-02,3.21681
2020-04-03,3.01123
2020-04-04,0.35251
2020-04-05,0.32286
2020-04-06,2.80367
2020-04-07,2.64619
2020-04-08,2.51046
2020-04-09,2.22185
2020-04-10,2.18166
2020-04-11,0.28333
2020-04-12,0.2293
2020-04-13,2.22844
2020-04-14,2.44852
2020-04-15,0.39864
2020-04-16,2.80433
2020-04-17,2.70483
2020-04-18,0.31232
2020-04-19,0.21217
2020-04-20,2.05449
2020-04-21,1.96356
2020-04-22,1.85681
2020-04-23,2.16189
2020-04-24,1.92007
2020-04-25,0.21414
2020-04-26,0.1522
2020-04-27,1.88581
2020-04-28,2.00507
2020-04-29,2.01693
2020-04-30,0.26356
2020-05-01,0.27937
2020-05-02,0.1443
2020-05-03,0.1298
2020-05-04,1.73557
2020-05-05,0.22403
2020-05-06,1.7817
2020-05-07,1.68418
2020-05-08,1.63278
2020-05-09,0.16934
2020-05-10,0.1331
2020-05-11,1.61697
2020-05-12,1.42522
2020-05-13,1.43445
2020-05-14,1.36526
2020-05-15,1.32309
2020-05-16,0.12387
2020-05-17,0.10213
2020-05-18,1.2796
2020-05-19,1.46147
2020-05-20,1.44302
2020-05-21,1.41139
2020-05-22,1.1755
2020-05-23,0.14232
2020-05-24,0.10147
2020-05-25,1.26511
2020-05-26,1.3791
2020-05-27,1.22096
2020-05-28,1.20778
2020-05-29,1.04108
2020-05-30,0.10476
2020-05-31,0.08565
2020-06-01,1.15639
2020-06-02,1.08654
2020-06-03,1.25523
2020-06-04,1.14585
2020-06-05,1.1017
2020-06-06,0.11662
2020-06-07,0.10476
2020-06-08,1.09972
2020-06-09,1.18406
2020-06-10,1.18406
2020-06-11,1.1386
2020-06-12,1.04569
2020-06-13,0.09751
2020-06-14,0.09356
2020-06-15,1.30991
2020-06-16,1.28158
2020-06-17,1.22953
2020-06-18,1.12476
2020-06-19,1.37383
2020-06-20,0.15155
2020-06-21,0.10872
2020-06-22,1.21635
2020-06-23,1.16627
2020-06-24,1.11949
2020-06-25,1.09511
2020-06-26,1.0134
2020-06-27,0.09949
2020-06-28,0.07511
2020-06-29,1.10829
2020-06-30,1.04042
2020-07-01,0.97585
2020-07-02,1.13596
2020-07-03,1.02263
2020-07-04,0.09356
2020-07-05,0.07643
2020-07-06,1.13333
2020-07-07,1.11026
2020-07-08,1.17616
2020-07-09,1.14782
2020-07-10,3.85398
2020-07-11,0.44213
2020-07-12,0.34395
2020-07-13,2.77468
2020-07-14,2.65937
2020-07-15,2.90053
2020-07-16,3.57394
2020-07-17,3.18255
2020-07-18,0.311
2020-07-19,0.23852
2020-07-20,2.89921
2020-07-21,2.62577
2020-07-22,2.38724
2020-07-23,2.17705
2020-07-24,2.0222
2020-07-25,0.20623
2020-07-26,0.1779
2020-07-27,1.91677
2020-07-28,2.04131
2020-07-29,1.85945
2020-07-30,1.70395
2020-07-31,1.50495
2020-08-01,0.15352
2020-08-02,0.12782
2020-08-03,1.50232
2020-08-04,1.59588
2020-08-05,1.57612
2020-08-06,1.55898
2020-08-07,1.48321
2020-08-08,0.17461
2020-08-09,0.18779
2020-08-10,1.62158
2020-08-11,1.67034
2020-08-12,1.43445
2020-08-13,1.90425
2020-08-14,2.07953
2020-08-15,0.1891
2020-08-16,0.14627
2020-08-17,0.38282
2020-08-18,1.77577
2020-08-19,1.59786
2020-08-20,1.61829
2020-08-21,1.71515
2020-08-22,0.16406
2020-08-23,0.13244
2020-08-24,1.71317
2020-08-25,1.61565
2020-08-26,1.53263
2020-08-27,2.60336
2020-08-28,2.37801
2020-08-29,0.26158
2020-08-30,0.32879
2020-08-31,3.14038
2020-09-01,2.87681
2020-09-02,2.41821
2020-09-03,2.26007
2020-09-04,2.79445
2020-09-05,0.43422
2020-09-06,0.2998
2020-09-07,3.04549
2020-09-08,2.51111
2020-09-09,2.19484
2020-09-10,2.04131
2020-09-11,2.2515
2020-09-12,0.30178
2020-09-13,0.26158
2020-09-14,2.16189
2020-09-15,1.98267
2020-09-16,1.86406
2020-09-17,1.75205
2020-09-18,1.64464
2020-09-19,0.13968
2020-09-20,0.29782
2020-09-21,2.2996
2020-09-22,2.01034
2020-09-23,1.98728
2020-09-24,1.83902
2020-09-25,1.89635
2020-09-26,0.19306
2020-09-27,0.19437
2020-09-28,1.88119
2020-09-29,1.87658
2020-09-30,0.22732
2020-10-01,0.17197
2020-10-02,0.19635
2020-10-03,0.226
2020-10-04,0.19701
2020-10-05,2.16914
2020-10-06,2.0591
2020-10-07,2.35232
2020-10-08,2.14344
2020-10-09,0.26883
2020-10-10,0.19503
2020-10-11,0.18581
2020-10-12,1.87263
2020-10-13,1.73689
2020-10-14,1.70263
2020-10-15,1.61433
2020-10-16,1.69736
2020-10-17,0.16802
2020-10-18,0.23061
2020-10-19,2.03999
2020-10-20,1.78236
2020-10-21,1.77115
2020-10-22,1.72371
2020-10-23,1.51813
2020-10-24,0.16143
2020-10-25,0.11267
2020-10-26,1.49441
2020-10-27,1.58995
2020-10-28,1.44499
2020-10-29,1.46937
2020-10-30,1.74677
2020-10-31,0.17856
2020-11-01,0.15813
2020-11-02,1.59918
2020-11-03,1.69274
2020-11-04,1.84298
2020-11-05,1.98464
2020-11-06,1.82321
2020-11-07,0.25104
2020-11-08,0.16341
