date,국민카드이벤트
2020-03-20,4.6875
2020-03-21,1.38888
2020-03-22,5.03472
2020-03-23,2.25694
2020-03-24,3.125
2020-03-25,4.34027
2020-03-26,2.95138
2020-03-27,4.86111
2020-03-28,2.08333
2020-03-29,2.77777
2020-03-30,3.99305
2020-03-31,6.94444
2020-04-01,5.03472
2020-04-02,6.59722
2020-04-03,5.90277
2020-04-04,2.43055
2020-04-05,2.95138
2020-04-06,3.81944
2020-04-07,5.03472
2020-04-08,3.125
2020-04-09,3.47222
2020-04-10,5.55555
2020-04-11,2.77777
2020-04-12,3.29861
2020-04-13,4.16666
2020-04-14,5.72916
2020-04-15,1.04166
2020-04-16,6.42361
2020-04-17,4.6875
2020-04-18,5.03472
2020-04-19,1.90972
2020-04-20,5.38194
2020-04-21,3.81944
2020-04-22,5.38194
2020-04-23,3.99305
2020-04-24,5.38194
2020-04-25,4.6875
2020-04-26,3.125
2020-04-27,3.99305
2020-04-28,3.99305
2020-04-29,9.54861
2020-04-30,5.03472
2020-05-01,4.34027
2020-05-02,5.38194
2020-05-03,3.125
2020-05-04,6.42361
2020-05-05,2.60416
2020-05-06,6.42361
2020-05-07,5.03472
2020-05-08,6.59722
2020-05-09,3.29861
2020-05-10,5.55555
2020-05-11,7.46527
2020-05-12,5.72916
2020-05-13,6.42361
2020-05-14,5.72916
2020-05-15,6.07638
2020-05-16,2.08333
2020-05-17,2.77777
2020-05-18,5.90277
2020-05-19,5.03472
2020-05-20,6.59722
2020-05-21,7.29166
2020-05-22,6.25
2020-05-23,3.81944
2020-05-24,4.86111
2020-05-25,7.11805
2020-05-26,5.90277
2020-05-27,6.42361
2020-05-28,5.90277
2020-05-29,5.90277
2020-05-30,5.03472
2020-05-31,3.64583
2020-06-01,6.59722
2020-06-02,6.25
2020-06-03,4.51388
2020-06-04,4.86111
2020-06-05,3.29861
2020-06-06,3.29861
2020-06-07,3.29861
2020-06-08,3.64583
2020-06-09,4.16666
2020-06-10,3.29861
2020-06-11,4.6875
2020-06-12,4.34027
2020-06-13,2.25694
2020-06-14,1.90972
2020-06-15,6.07638
2020-06-16,6.77083
2020-06-17,7.11805
2020-06-18,3.47222
2020-06-19,3.99305
2020-06-20,2.08333
2020-06-21,2.43055
2020-06-22,3.81944
2020-06-23,8.33333
2020-06-24,7.98611
2020-06-25,5.03472
2020-06-26,3.47222
2020-06-27,3.47222
2020-06-28,1.5625
2020-06-29,5.90277
2020-06-30,9.54861
2020-07-01,7.11805
2020-07-02,7.63888
2020-07-03,3.99305
2020-07-04,3.125
2020-07-05,3.81944
2020-07-06,5.20833
2020-07-07,6.77083
2020-07-08,3.125
2020-07-09,6.07638
2020-07-10,6.77083
2020-07-11,3.29861
2020-07-12,5.55555
2020-07-13,6.07638
2020-07-14,6.94444
2020-07-15,6.94444
2020-07-16,7.8125
2020-07-17,5.90277
2020-07-18,3.64583
2020-07-19,4.16666
2020-07-20,9.02777
2020-07-21,6.59722
2020-07-22,7.46527
2020-07-23,4.34027
2020-07-24,8.15972
2020-07-25,3.64583
2020-07-26,4.6875
2020-07-27,7.8125
2020-07-28,9.20138
2020-07-29,5.90277
2020-07-30,8.15972
2020-07-31,8.50694
2020-08-01,6.59722
2020-08-02,4.6875
2020-08-03,6.77083
2020-08-04,8.68055
2020-08-05,5.55555
2020-08-06,4.6875
2020-08-07,4.51388
2020-08-08,3.29861
2020-08-09,5.90277
2020-08-10,6.94444
2020-08-11,4.86111
2020-08-12,6.07638
2020-08-13,10.59027
2020-08-14,12.67361
2020-08-15,7.11805
2020-08-16,2.08333
2020-08-17,3.47222
2020-08-18,5.90277
2020-08-19,4.51388
2020-08-20,10.59027
2020-08-21,4.6875
2020-08-22,2.25694
2020-08-23,3.64583
2020-08-24,14.0625
2020-08-25,4.34027
2020-08-26,5.20833
2020-08-27,2.95138
2020-08-28,6.07638
2020-08-29,3.29861
2020-08-30,2.08333
2020-08-31,7.46527
2020-09-01,7.46527
2020-09-02,5.72916
2020-09-03,5.90277
2020-09-04,3.81944
2020-09-05,2.25694
2020-09-06,2.95138
2020-09-07,3.47222
2020-09-08,5.20833
2020-09-09,6.59722
2020-09-10,5.20833
2020-09-11,4.6875
2020-09-12,4.86111
2020-09-13,2.95138
2020-09-14,7.11805
2020-09-15,7.63888
2020-09-16,7.29166
2020-09-17,5.20833
2020-09-18,6.25
2020-09-19,2.60416
2020-09-20,2.77777
2020-09-21,5.03472
2020-09-22,5.38194
2020-09-23,7.29166
2020-09-24,9.20138
2020-09-25,7.8125
2020-09-26,2.60416
2020-09-27,2.77777
2020-09-28,5.20833
2020-09-29,5.90277
2020-09-30,3.81944
2020-10-01,4.86111
2020-10-02,3.47222
2020-10-03,3.29861
2020-10-04,4.51388
2020-10-05,6.94444
2020-10-06,6.25
2020-10-07,7.46527
2020-10-08,5.20833
2020-10-09,2.25694
2020-10-10,1.38888
2020-10-11,3.64583
2020-10-12,5.03472
2020-10-13,4.34027
2020-10-14,5.90277
2020-10-15,5.72916
2020-10-16,7.11805
2020-10-17,3.29861
2020-10-18,2.25694
2020-10-19,4.6875
2020-10-20,6.77083
2020-10-21,6.94444
2020-10-22,8.15972
2020-10-23,8.85416
2020-10-24,3.99305
2020-10-25,4.6875
2020-10-26,9.54861
2020-10-27,10.9375
2020-10-28,6.25
2020-10-29,6.94444
2020-10-30,9.89583
2020-10-31,7.11805
2020-11-01,7.46527
2020-11-02,14.23611
2020-11-03,11.80555
2020-11-04,11.80555
2020-11-05,10.59027
2020-11-06,8.85416
2020-11-07,5.20833
2020-11-08,4.16666
2020-11-09,9.375
2020-11-10,5.72916
2020-11-11,7.29166
2020-11-12,7.29166
2020-11-13,8.68055
2020-11-14,3.47222
2020-11-15,2.43055
2020-11-16,6.77083
2020-11-17,8.68055
2020-11-18,6.42361
2020-11-19,9.89583
2020-11-20,7.29166
2020-11-21,2.95138
2020-11-22,5.20833
2020-11-23,7.63888
2020-11-24,7.29166
2020-11-25,5.55555
2020-11-26,6.77083
2020-11-27,5.90277
2020-11-28,4.16666
2020-11-29,4.51388
2020-11-30,6.07638
2020-12-01,12.84722
2020-12-02,6.25
2020-12-03,6.77083
2020-12-04,5.03472
2020-12-05,3.29861
2020-12-06,4.16666
2020-12-07,5.20833
2020-12-08,5.38194
2020-12-09,4.34027
2020-12-10,3.64583
2020-12-11,4.86111
2020-12-12,2.77777
2020-12-13,2.25694
2020-12-14,4.86111
2020-12-15,5.20833
2020-12-16,7.11805
2020-12-17,5.38194
2020-12-18,6.25
2020-12-19,3.81944
2020-12-20,6.07638
2020-12-21,4.86111
2020-12-22,4.16666
2020-12-23,5.38194
2020-12-24,3.47222
2020-12-25,3.29861
2020-12-26,3.125
