date,통신판매업신고
2020-03-20,32.55152
2020-03-21,12.08244
2020-03-22,9.59488
2020-03-23,47.22814
2020-03-24,43.63894
2020-03-25,44.10092
2020-03-26,42.07533
2020-03-27,33.68869
2020-03-28,10.05685
2020-03-29,9.91471
2020-03-30,46.87277
2020-03-31,44.84719
2020-04-01,41.82658
2020-04-02,43.8877
2020-04-03,36.24733
2020-04-04,10.30561
2020-04-05,10.02132
2020-04-06,50.49751
2020-04-07,50.49751
2020-04-08,50.81734
2020-04-09,48.36531
2020-04-10,34.68372
2020-04-11,10.48329
2020-04-12,12.15351
2020-04-13,57.96019
2020-04-14,48.47192
2020-04-15,17.73276
2020-04-16,52.06112
2020-04-17,40.86709
2020-04-18,10.34115
2020-04-19,14.71215
2020-04-20,56.46766
2020-04-21,56.78749
2020-04-22,50.0
2020-04-23,49.11158
2020-04-24,43.67448
2020-04-25,9.98578
2020-04-26,9.55934
2020-04-27,51.20824
2020-04-28,47.29921
2020-04-29,38.52167
2020-04-30,12.40227
2020-05-01,21.32196
2020-05-02,7.78251
2020-05-03,11.51385
2020-05-04,42.25302
2020-05-05,14.81876
2020-05-06,47.33475
2020-05-07,29.10447
2020-05-08,24.30703
2020-05-09,7.00071
2020-05-10,8.03127
2020-05-11,29.88628
2020-05-12,29.17555
2020-05-13,28.32267
2020-05-14,24.23596
2020-05-15,21.4641
2020-05-16,7.81805
2020-05-17,8.20895
2020-05-18,26.29708
2020-05-19,28.10945
2020-05-20,24.6624
2020-05-21,23.2054
2020-05-22,19.79388
2020-05-23,6.53873
2020-05-24,9.06183
2020-05-25,29.24662
2020-05-26,28.14498
2020-05-27,22.60127
2020-05-28,19.79388
2020-05-29,19.2253
2020-05-30,7.03624
2020-05-31,6.6098
2020-06-01,27.68301
2020-06-02,23.27647
2020-06-03,24.41364
2020-06-04,22.99218
2020-06-05,17.51954
2020-06-06,6.68088
2020-06-07,6.85856
2020-06-08,26.54584
2020-06-09,25.01776
2020-06-10,24.16488
2020-06-11,22.70788
2020-06-12,22.10376
2020-06-13,6.50319
2020-06-14,7.39161
2020-06-15,29.70859
2020-06-16,26.83013
2020-06-17,22.95664
2020-06-18,21.03766
2020-06-19,20.04264
2020-06-20,5.65031
2020-06-21,7.24946
2020-06-22,23.95167
2020-06-23,26.40369
2020-06-24,23.84506
2020-06-25,22.95664
2020-06-26,19.11869
2020-06-27,5.29495
2020-06-28,6.92963
2020-06-29,20.36247
2020-06-30,20.04264
2020-07-01,20.85998
2020-07-02,19.65174
2020-07-03,15.88486
2020-07-04,5.79246
2020-07-05,7.32054
2020-07-06,23.73845
2020-07-07,23.34754
2020-07-08,21.49964
2020-07-09,19.72281
2020-07-10,15.49395
2020-07-11,5.89907
2020-07-12,6.96517
2020-07-13,23.48969
2020-07-14,24.41364
2020-07-15,19.50959
2020-07-16,19.2253
2020-07-17,15.49395
2020-07-18,5.18834
2020-07-19,6.68088
2020-07-20,24.34257
2020-07-21,20.25586
2020-07-22,19.26083
2020-07-23,17.27078
2020-07-24,15.88486
2020-07-25,6.32551
2020-07-26,5.1528
2020-07-27,22.77896
2020-07-28,19.65174
2020-07-29,20.0071
2020-07-30,16.63113
2020-07-31,15.10305
2020-08-01,6.04122
2020-08-02,5.29495
2020-08-03,18.941
2020-08-04,19.65174
2020-08-05,16.13361
2020-08-06,17.98152
2020-08-07,16.027
2020-08-08,5.36602
2020-08-09,5.75692
2020-08-10,18.12366
2020-08-11,17.41293
2020-08-12,16.52452
2020-08-13,15.99147
2020-08-14,12.75764
2020-08-15,4.83297
2020-08-16,4.15778
2020-08-17,6.71641
2020-08-18,18.08813
2020-08-19,19.72281
2020-08-20,17.55508
2020-08-21,16.52452
2020-08-22,6.46766
2020-08-23,6.46766
2020-08-24,22.85003
2020-08-25,19.97157
2020-08-26,18.40796
2020-08-27,21.99715
2020-08-28,17.87491
2020-08-29,6.39658
2020-08-30,6.39658
2020-08-31,19.90049
2020-09-01,21.39303
2020-09-02,24.23596
2020-09-03,24.44918
2020-09-04,23.52523
2020-09-05,7.24946
2020-09-06,8.17341
2020-09-07,29.06894
2020-09-08,24.44918
2020-09-09,22.28144
2020-09-10,21.96162
2020-09-11,20.14925
2020-09-12,6.18336
2020-09-13,6.64534
2020-09-14,25.65742
2020-09-15,20.78891
2020-09-16,20.89552
2020-09-17,20.18479
2020-09-18,16.34683
2020-09-19,6.00568
2020-09-20,5.65031
2020-09-21,19.93603
2020-09-22,19.33191
2020-09-23,16.80881
2020-09-24,16.3113
2020-09-25,15.70717
2020-09-26,6.04122
2020-09-27,4.72636
2020-09-28,18.19474
2020-09-29,13.5039
2020-09-30,4.54868
2020-10-01,3.12722
2020-10-02,3.58919
2020-10-03,4.93958
2020-10-04,5.4371
2020-10-05,25.01776
2020-10-06,25.37313
2020-10-07,23.52523
2020-10-08,22.5302
2020-10-09,6.8941
2020-10-10,5.79246
2020-10-11,5.828
2020-10-12,24.16488
2020-10-13,20.14925
2020-10-14,21.64179
2020-10-15,21.60625
2020-10-16,16.59559
2020-10-17,5.22388
2020-10-18,4.97512
2020-10-19,21.78393
2020-10-20,20.93105
2020-10-21,20.50461
2020-10-22,21.32196
2020-10-23,16.87988
2020-10-24,5.828
2020-10-25,6.28997
2020-10-26,21.60625
2020-10-27,22.67235
2020-10-28,21.89054
2020-10-29,20.64676
2020-10-30,18.19474
2020-10-31,6.14783
2020-11-01,5.75692
2020-11-02,30.41933
2020-11-03,25.79957
2020-11-04,26.08386
2020-11-05,21.89054
2020-11-06,18.65671
2020-11-07,6.68088
2020-11-08,7.39161
2020-11-09,28.3582
2020-11-10,22.99218
2020-11-11,22.95664
2020-11-12,22.35252
2020-11-13,18.08813
2020-11-14,5.57924
2020-11-15,6.71641
2020-11-16,29.53091
2020-11-17,24.6624
2020-11-18,26.04832
2020-11-19,25.47974
2020-11-20,20.32693
2020-11-21,6.50319
2020-11-22,7.99573
2020-11-23,28.25159
2020-11-24,28.42928
2020-11-25,25.30206
2020-11-26,24.91115
2020-11-27,24.73347
2020-11-28,7.32054
