date,메지온주가
2020-11-07,0.90454
2020-11-08,0.75672
2020-11-09,10.60467
2020-11-10,8.87301
2020-11-11,9.04547
2020-11-12,9.48894
2020-11-13,8.61607
2020-11-14,1.01717
2020-11-15,0.68281
2020-11-16,8.33098
2020-11-17,8.22539
2020-11-18,8.02125
2020-11-19,8.55624
2020-11-20,10.93903
2020-11-21,1.33746
2020-11-22,1.11924
2020-11-23,10.16119
2020-11-24,9.73884
2020-11-25,9.41151
2020-11-26,8.91876
2020-11-27,7.77136
2020-11-28,0.88694
2020-11-29,0.92214
2020-11-30,8.1902
2020-12-01,8.67591
2020-12-02,8.11628
2020-12-03,7.95086
2020-12-04,8.30282
2020-12-05,0.98197
2020-12-06,0.7356
2020-12-07,11.39307
2020-12-08,14.38476
2020-12-09,11.02351
2020-12-10,10.00985
2020-12-11,9.51358
2020-12-12,1.56271
2020-12-13,1.01013
2020-12-14,8.47881
2020-12-15,7.9579
2020-12-16,7.70449
2020-12-17,7.11319
2020-12-18,7.01112
2020-12-19,0.74968
2020-12-20,0.61945
2020-12-21,7.09559
2020-12-22,6.97592
2020-12-23,8.27819
2020-12-24,7.97902
2020-12-25,1.17907
2020-12-26,1.18963
2020-12-27,1.25651
2020-12-28,12.12163
2020-12-29,11.21709
2020-12-30,9.13698
2020-12-31,2.15049
2021-01-01,0.79895
2021-01-02,1.10868
2021-01-03,2.73475
2021-01-04,10.55891
2021-01-05,9.15458
2021-01-06,8.82725
2021-01-07,8.80261
2021-01-08,9.29888
2021-01-09,1.15444
2021-01-10,1.02773
2021-01-11,12.60734
2021-01-12,10.22455
2021-01-13,9.66141
2021-01-14,9.679
2021-01-15,7.82063
2021-01-16,0.85879
2021-01-17,0.72856
2021-01-18,8.28171
2021-01-19,9.47135
2021-01-20,9.31296
2021-01-21,8.26059
2021-01-22,7.97198
2021-01-23,1.20723
2021-01-24,1.25299
2021-01-25,8.62663
2021-01-26,7.78192
2021-01-27,8.46121
2021-01-28,8.00718
2021-01-29,8.19372
2021-01-30,0.86583
2021-01-31,0.66521
2021-02-01,9.37983
2021-02-02,9.61917
2021-02-03,8.7287
2021-02-04,7.35956
2021-02-05,7.58482
2021-02-06,0.77432
2021-02-07,0.73208
2021-02-08,7.17654
2021-02-09,13.15641
2021-02-10,9.47135
2021-02-11,1.03829
2021-02-12,0.65817
2021-02-13,0.78839
2021-02-14,0.8799
2021-02-15,8.9786
2021-02-16,7.7784
2021-02-17,6.99704
2021-02-18,6.543
2021-02-19,6.59228
2021-02-20,0.8975
2021-02-21,0.66169
2021-02-22,5.91651
2021-02-23,5.65958
2021-02-24,6.70843
2021-02-25,7.07447
2021-02-26,5.86723
2021-02-27,0.7532
2021-02-28,0.5561
2021-03-01,0.74968
2021-03-02,6.631
2021-03-03,6.53949
2021-03-04,5.6455
2021-03-05,5.32521
2021-03-06,0.90454
2021-03-07,0.66521
2021-03-08,5.99042
2021-03-09,5.68069
2021-03-10,6.50077
2021-03-11,6.56412
2021-03-12,6.90905
2021-03-13,0.69688
2021-03-14,0.5561
2021-03-15,5.78276
2021-03-16,7.09911
2021-03-17,9.09474
2021-03-18,8.44009
2021-03-19,6.70843
2021-03-20,0.72152
2021-03-21,0.7532
2021-03-22,7.80304
2021-03-23,8.11628
2021-03-24,9.78811
2021-03-25,9.30592
2021-03-26,10.18231
2021-03-27,1.7211
2021-03-28,1.38673
2021-03-29,11.72039
2021-03-30,8.73574
2021-03-31,8.29227
2021-04-01,7.04631
2021-04-02,6.58524
2021-04-03,0.76376
2021-04-04,0.60185
2021-04-05,6.26847
2021-04-06,6.52541
2021-04-07,6.21216
2021-04-08,5.48359
2021-04-09,6.05729
2021-04-10,0.60185
2021-04-11,0.47163
2021-04-12,5.55751
2021-04-13,5.59974
2021-04-14,6.70491
2021-04-15,5.66661
2021-04-16,5.2161
2021-04-17,0.78135
2021-04-18,0.66169
2021-04-19,5.74405
2021-04-20,5.40264
2021-04-21,4.94157
2021-04-22,5.0014
2021-04-23,4.8219
2021-04-24,0.60537
2021-04-25,0.31676
2021-04-26,4.68464
2021-04-27,4.52625
2021-04-28,4.44178
2021-04-29,4.90285
2021-04-30,4.26228
2021-05-01,0.47867
2021-05-02,0.41531
2021-05-03,5.41672
2021-05-04,4.8747
2021-05-05,0.65465
2021-05-06,4.4453
2021-05-07,6.31775
2021-05-08,0.72152
2021-05-09,0.63705
2021-05-10,9.99225
2021-05-11,7.6165
2021-05-12,6.55356
2021-05-13,5.87779
2021-05-14,5.63494
2021-05-15,0.61241
2021-05-16,0.45051
