date,종합소득세
2020-03-20,3.82887
2020-03-21,1.59586
2020-03-22,1.64845
2020-03-23,2.85662
2020-03-24,2.9528
2020-03-25,2.99637
2020-03-26,2.54707
2020-03-27,2.70936
2020-03-28,1.60938
2020-03-29,1.57783
2020-03-30,7.39026
2020-03-31,4.52462
2020-04-01,3.87395
2020-04-02,4.14443
2020-04-03,5.59754
2020-04-04,2.61319
2020-04-05,2.00159
2020-04-06,4.42694
2020-04-07,4.13241
2020-04-08,6.95899
2020-04-09,6.2422
2020-04-10,4.50508
2020-04-11,2.19694
2020-04-12,2.19544
2020-04-13,4.86573
2020-04-14,4.2391
2020-04-15,2.26306
2020-04-16,4.66737
2020-04-17,4.15646
2020-04-18,2.13383
2020-04-19,2.11429
2020-04-20,4.8507
2020-04-21,4.7936
2020-04-22,5.14223
2020-04-23,4.86423
2020-04-24,4.63431
2020-04-25,2.49598
2020-04-26,2.96031
2020-04-27,9.79307
2020-04-28,100.0
2020-04-29,22.66368
2020-04-30,11.39345
2020-05-01,25.31293
2020-05-02,12.38523
2020-05-03,18.93849
2020-05-04,40.0033
2020-05-05,16.06383
2020-05-06,25.9065
2020-05-07,21.64785
2020-05-08,18.55981
2020-05-09,8.79077
2020-05-10,7.89517
2020-05-11,25.47222
2020-05-12,24.21596
2020-05-13,23.25574
2020-05-14,23.27678
2020-05-15,19.24805
2020-05-16,9.08681
2020-05-17,8.03642
2020-05-18,21.14595
2020-05-19,19.92726
2020-05-20,19.90172
2020-05-21,17.93469
2020-05-22,16.67843
2020-05-23,7.86812
2020-05-24,8.11005
2020-05-25,22.15276
2020-05-26,23.93195
2020-05-27,22.13923
2020-05-28,18.8333
2020-05-29,18.03988
2020-05-30,8.40759
2020-05-31,9.14691
2020-06-01,18.11952
2020-06-02,8.03341
2020-06-03,6.05436
2020-06-04,5.2369
2020-06-05,4.43295
2020-06-06,2.51401
2020-06-07,2.35622
2020-06-08,5.13471
2020-06-09,4.47803
2020-06-10,5.25042
2020-06-11,4.24361
2020-06-12,4.17599
2020-06-13,2.0632
2020-06-14,2.16989
2020-06-15,5.33307
2020-06-16,5.50287
2020-06-17,5.4638
2020-06-18,6.2963
2020-06-19,6.45408
2020-06-20,2.77397
2020-06-21,2.56059
2020-06-22,6.92142
2020-06-23,6.43304
2020-06-24,5.48033
2020-06-25,5.53443
2020-06-26,4.44648
2020-06-27,1.98656
2020-06-28,1.97003
2020-06-29,5.47282
2020-06-30,5.81844
2020-07-01,4.62981
2020-07-02,4.23159
2020-07-03,3.83788
2020-07-04,1.97905
2020-07-05,1.9535
2020-07-06,4.30973
2020-07-07,4.22859
2020-07-08,4.04976
2020-07-09,4.27968
2020-07-10,4.56519
2020-07-11,2.16688
2020-07-12,2.1218
2020-07-13,4.35181
2020-07-14,4.58773
2020-07-15,4.28569
2020-07-16,4.19853
2020-07-17,3.88146
2020-07-18,1.88287
2020-07-19,2.02413
2020-07-20,4.21957
2020-07-21,3.99567
2020-07-22,5.016
2020-07-23,4.30222
2020-07-24,3.75223
2020-07-25,1.80473
2020-07-26,1.80473
2020-07-27,3.77627
2020-07-28,3.4021
2020-07-29,3.32396
2020-07-30,3.44869
2020-07-31,3.2879
2020-08-01,1.47114
2020-08-02,1.38698
2020-08-03,2.50499
2020-08-04,2.83558
2020-08-05,3.20224
2020-08-06,3.51931
2020-08-07,2.95129
2020-08-08,1.38248
2020-08-09,1.25926
2020-08-10,3.58092
2020-08-11,3.43216
2020-08-12,3.16468
2020-08-13,3.14063
2020-08-14,2.81755
2020-08-15,1.32688
2020-08-16,1.37346
2020-08-17,1.94148
2020-08-18,3.26836
2020-08-19,4.58322
2020-08-20,5.9627
2020-08-21,3.9025
2020-08-22,1.59886
2020-08-23,1.68001
2020-08-24,4.4029
2020-08-25,3.98515
2020-08-26,3.48475
2020-08-27,3.64103
2020-08-28,4.0122
2020-08-29,2.01211
2020-08-30,2.08574
2020-08-31,7.81703
2020-09-01,3.30893
2020-09-02,2.25104
2020-09-03,2.10828
2020-09-04,2.14885
2020-09-05,0.98126
2020-09-06,1.02634
2020-09-07,2.13232
2020-09-08,2.24803
2020-09-09,2.04517
2020-09-10,2.19844
2020-09-11,1.99257
2020-09-12,1.0053
2020-09-13,0.92566
2020-09-14,2.0647
2020-09-15,2.05719
2020-09-16,1.72659
2020-09-17,1.90692
2020-09-18,1.73261
2020-09-19,0.92716
2020-09-20,0.91063
2020-09-21,1.7867
2020-09-22,1.59586
2020-09-23,1.78971
2020-09-24,1.90542
2020-09-25,1.60037
2020-09-26,0.90762
2020-09-27,0.84
2020-09-28,1.64395
2020-09-29,1.4486
2020-09-30,0.75285
2020-10-01,0.62211
2020-10-02,0.71077
2020-10-03,0.73932
2020-10-04,1.02784
2020-10-05,1.94749
2020-10-06,1.89339
2020-10-07,2.01812
2020-10-08,2.00159
2020-10-09,1.118
2020-10-10,1.11049
2020-10-11,1.04136
2020-10-12,3.33749
2020-10-13,2.93176
2020-10-14,2.98435
2020-10-15,3.38858
2020-10-16,3.07602
2020-10-17,1.32537
2020-10-18,1.20666
2020-10-19,2.8972
2020-10-20,2.71236
2020-10-21,2.71837
2020-10-22,2.68682
2020-10-23,2.25705
2020-10-24,1.16308
2020-10-25,1.0594
2020-10-26,2.31114
2020-10-27,2.31415
2020-10-28,2.25705
2020-10-29,2.26907
2020-10-30,2.23451
2020-10-31,1.14655
2020-11-01,1.23371
2020-11-02,4.03173
2020-11-03,3.2909
2020-11-04,3.13913
2020-11-05,6.85831
2020-11-06,6.1851
2020-11-07,2.61469
2020-11-08,2.04216
2020-11-09,5.09714
2020-11-10,4.44798
2020-11-11,3.71466
2020-11-12,3.7913
2020-11-13,3.36003
2020-11-14,1.71006
2020-11-15,1.57332
2020-11-16,4.13392
2020-11-17,3.55087
2020-11-18,3.36153
2020-11-19,3.31044
2020-11-20,2.68982
2020-11-21,1.49368
2020-11-22,1.57482
2020-11-23,4.31574
2020-11-24,4.85671
2020-11-25,4.46
2020-11-26,4.51861
2020-11-27,4.08733
2020-11-28,2.12481
2020-11-29,2.04066
2020-11-30,5.70574
2020-12-01,3.99717
2020-12-02,3.30593
2020-12-03,2.86113
2020-12-04,2.63122
2020-12-05,1.4516
2020-12-06,1.82577
2020-12-07,3.02643
2020-12-08,2.93777
2020-12-09,3.03845
2020-12-10,3.16618
2020-12-11,2.38478
2020-12-12,1.39149
2020-12-13,1.39901
2020-12-14,2.9573
2020-12-15,3.14664
2020-12-16,2.87315
2020-12-17,2.786
2020-12-18,2.47644
2020-12-19,1.36745
2020-12-20,1.31185
2020-12-21,3.05047
2020-12-22,3.09705
2020-12-23,2.99788
2020-12-24,2.52753
2020-12-25,1.38548
