date,돈버는어플
2020-03-20,16.96793
2020-03-21,20.34985
2020-03-22,18.65889
2020-03-23,18.25072
2020-03-24,20.93294
2020-03-25,17.90087
2020-03-26,20.93294
2020-03-27,18.48396
2020-03-28,15.80174
2020-03-29,14.57725
2020-03-30,17.14285
2020-03-31,17.72594
2020-04-01,18.0758
2020-04-02,18.36734
2020-04-03,17.20116
2020-04-04,17.66763
2020-04-05,17.49271
2020-04-06,18.13411
2020-04-07,21.39941
2020-04-08,25.53935
2020-04-09,22.68221
2020-04-10,17.78425
2020-04-11,20.52478
2020-04-12,21.3411
2020-04-13,23.2653
2020-04-14,22.09912
2020-04-15,21.45772
2020-04-16,24.89795
2020-04-17,22.21574
2020-04-18,20.6997
2020-04-19,25.13119
2020-04-20,26.12244
2020-04-21,22.39067
2020-04-22,23.79008
2020-04-23,20.17492
2020-04-24,22.39067
2020-04-25,17.60932
2020-04-26,22.74052
2020-04-27,28.97959
2020-04-28,24.89795
2020-04-29,21.45772
2020-04-30,18.60058
2020-05-01,17.55102
2020-05-02,19.88338
2020-05-03,22.27405
2020-05-04,21.45772
2020-05-05,21.63265
2020-05-06,21.74927
2020-05-07,17.84256
2020-05-08,19.53352
2020-05-09,18.01749
2020-05-10,20.40816
2020-05-11,22.6239
2020-05-12,18.30903
2020-05-13,16.85131
2020-05-14,18.01749
2020-05-15,16.50145
2020-05-16,12.71137
2020-05-17,14.8688
2020-05-18,18.54227
2020-05-19,17.84256
2020-05-20,14.98542
2020-05-21,15.91836
2020-05-22,14.75218
2020-05-23,14.2274
2020-05-24,14.34402
2020-05-25,19.12536
2020-05-26,17.20116
2020-05-27,14.92711
2020-05-28,13.35276
2020-05-29,11.89504
2020-05-30,14.69387
2020-05-31,13.87755
2020-06-01,16.44314
2020-06-02,15.62682
2020-06-03,13.87755
2020-06-04,13.81924
2020-06-05,13.46938
2020-06-06,15.16034
2020-06-07,13.76093
2020-06-08,15.91836
2020-06-09,13.81924
2020-06-10,14.28571
2020-06-11,14.05247
2020-06-12,12.41982
2020-06-13,12.3032
2020-06-14,13.64431
2020-06-15,15.91836
2020-06-16,15.39358
2020-06-17,15.04373
2020-06-18,14.28571
2020-06-19,11.77842
2020-06-20,11.89504
2020-06-21,13.586
2020-06-22,14.75218
2020-06-23,13.11953
2020-06-24,13.81924
2020-06-25,12.3032
2020-06-26,13.23615
2020-06-27,11.19533
2020-06-28,15.45189
2020-06-29,16.26822
2020-06-30,15.45189
2020-07-01,14.98542
2020-07-02,16.26822
2020-07-03,13.06122
2020-07-04,10.14577
2020-07-05,13.586
2020-07-06,15.10204
2020-07-07,15.21865
2020-07-08,13.87755
2020-07-09,11.77842
2020-07-10,24.31486
2020-07-11,13.29446
2020-07-12,18.0758
2020-07-13,18.30903
2020-07-14,15.56851
2020-07-15,17.72594
2020-07-16,17.90087
2020-07-17,14.34402
2020-07-18,12.82798
2020-07-19,13.11953
2020-07-20,16.09329
2020-07-21,15.56851
2020-07-22,18.42565
2020-07-23,17.60932
2020-07-24,14.81049
2020-07-25,14.40233
2020-07-26,14.98542
2020-07-27,15.27696
2020-07-28,18.83381
2020-07-29,18.48396
2020-07-30,16.03498
2020-07-31,11.95335
2020-08-01,14.05247
2020-08-02,14.98542
2020-08-03,14.57725
2020-08-04,15.10204
2020-08-05,14.2274
2020-08-06,14.40233
2020-08-07,14.51895
2020-08-08,15.5102
2020-08-09,17.02623
2020-08-10,17.20116
2020-08-11,17.08454
2020-08-12,14.75218
2020-08-13,15.74344
2020-08-14,15.10204
2020-08-15,15.39358
2020-08-16,14.63556
2020-08-17,16.38483
2020-08-18,17.08454
2020-08-19,16.09329
2020-08-20,15.80174
2020-08-21,14.63556
2020-08-22,13.99416
2020-08-23,19.88338
2020-08-24,20.11661
2020-08-25,19.70845
2020-08-26,18.89212
2020-08-27,22.50728
2020-08-28,14.16909
2020-08-29,16.73469
2020-08-30,18.65889
2020-08-31,21.74927
2020-09-01,19.53352
2020-09-02,22.44897
2020-09-03,19.59183
2020-09-04,33.64431
2020-09-05,19.76676
2020-09-06,20.23323
2020-09-07,24.02332
2020-09-08,22.39067
2020-09-09,20.46647
2020-09-10,18.48396
2020-09-11,16.50145
2020-09-12,16.90962
2020-09-13,15.91836
2020-09-14,17.49271
2020-09-15,17.66763
2020-09-16,16.03498
2020-09-17,17.25947
2020-09-18,16.1516
2020-09-19,12.01166
2020-09-20,16.09329
2020-09-21,17.02623
2020-09-22,18.83381
2020-09-23,14.98542
2020-09-24,14.69387
2020-09-25,13.41107
2020-09-26,15.68513
2020-09-27,17.95918
2020-09-28,17.02623
2020-09-29,15.04373
2020-09-30,15.62682
2020-10-01,14.2274
2020-10-02,17.08454
2020-10-03,18.77551
2020-10-04,21.10787
2020-10-05,18.13411
2020-10-06,19.30029
2020-10-07,15.56851
2020-10-08,18.89212
2020-10-09,16.03498
2020-10-10,13.93586
2020-10-11,14.98542
2020-10-12,14.81049
2020-10-13,15.39358
2020-10-14,13.87755
2020-10-15,15.68513
2020-10-16,14.11078
2020-10-17,14.05247
2020-10-18,16.20991
2020-10-19,17.78425
2020-10-20,17.55102
2020-10-21,14.92711
2020-10-22,14.75218
2020-10-23,14.98542
2020-10-24,14.46064
2020-10-25,16.20991
2020-10-26,21.39941
2020-10-27,21.10787
2020-10-28,17.25947
2020-10-29,15.45189
2020-10-30,12.3032
2020-10-31,12.24489
2020-11-01,15.33527
2020-11-02,18.95043
2020-11-03,13.29446
2020-11-04,14.34402
2020-11-05,14.46064
2020-11-06,14.16909
2020-11-07,12.36151
2020-11-08,16.26822
2020-11-09,17.84256
2020-11-10,16.09329
2020-11-11,17.37609
2020-11-12,15.27696
2020-11-13,16.03498
2020-11-14,17.20116
2020-11-15,18.65889
2020-11-16,24.66472
2020-11-17,20.29154
2020-11-18,21.80758
2020-11-19,21.39941
2020-11-20,16.38483
2020-11-21,17.14285
2020-11-22,21.86588
2020-11-23,23.84839
2020-11-24,22.39067
2020-11-25,21.3411
2020-11-26,19.47521
2020-11-27,18.7172
2020-11-28,18.7172
2020-11-29,20.64139
2020-11-30,21.69096
2020-12-01,20.6997
2020-12-02,18.60058
2020-12-03,15.80174
2020-12-04,15.5102
2020-12-05,17.60932
2020-12-06,19.4169
2020-12-07,20.0583
2020-12-08,20.0
2020-12-09,18.65889
2020-12-10,20.34985
2020-12-11,18.7172
2020-12-12,15.86005
2020-12-13,20.93294
2020-12-14,22.56559
2020-12-15,21.9825
2020-12-16,21.63265
2020-12-17,16.32653
2020-12-18,18.36734
2020-12-19,15.04373
2020-12-20,20.6997
2020-12-21,21.74927
2020-12-22,19.65014
2020-12-23,19.94169
2020-12-24,17.95918
2020-12-25,17.78425
2020-12-26,24.89795
2020-12-27,26.82215
2020-12-28,29.62099
2020-12-29,26.00583
2020-12-30,24.89795
2020-12-31,19.70845
2021-01-01,18.83381
2021-01-02,28.3965
2021-01-03,32.3032
2021-01-04,29.0962
2021-01-05,23.79008
2021-01-06,25.48104
2021-01-07,24.48979
2021-01-08,21.63265
2021-01-09,22.85714
2021-01-10,26.4723
2021-01-11,26.58892
2021-01-12,24.5481
2021-01-13,24.48979
2021-01-14,25.36443
2021-01-15,24.19825
2021-01-16,29.27113
2021-01-17,32.36151
2021-01-18,34.46064
2021-01-19,28.68804
2021-01-20,25.07288
2021-01-21,27.46355
2021-01-22,25.07288
2021-01-23,25.65597
2021-01-24,27.28862
2021-01-25,27.34693
2021-01-26,28.10495
2021-01-27,26.06413
2021-01-28,25.53935
2021-01-29,21.57434
2021-01-30,23.09037
2021-01-31,25.53935
2021-02-01,30.02915
2021-02-02,27.98833
2021-02-03,24.43148
