date,근저당설정비용
2020-11-07,32.70676
2020-11-08,31.203
2020-11-09,69.92481
2020-11-10,62.40601
2020-11-11,48.49624
2020-11-12,55.63909
2020-11-13,62.40601
2020-11-14,42.10526
2020-11-15,36.46616
2020-11-16,59.77443
2020-11-17,63.15789
2020-11-18,54.88721
2020-11-19,67.66917
2020-11-20,49.62406
2020-11-21,33.45864
2020-11-22,34.9624
2020-11-23,68.04511
2020-11-24,68.42105
2020-11-25,64.66165
2020-11-26,67.29323
2020-11-27,62.40601
2020-11-28,33.83458
2020-11-29,27.81954
2020-11-30,73.68421
2020-12-01,73.68421
2020-12-02,82.33082
2020-12-03,60.52631
2020-12-04,53.38345
2020-12-05,37.59398
2020-12-06,34.21052
2020-12-07,77.81954
2020-12-08,60.15037
2020-12-09,78.57142
2020-12-10,76.31578
2020-12-11,70.67669
2020-12-12,42.85714
2020-12-13,40.6015
2020-12-14,73.30827
2020-12-15,83.45864
2020-12-16,69.54887
2020-12-17,76.31578
2020-12-18,61.27819
2020-12-19,43.60902
2020-12-20,36.09022
2020-12-21,69.54887
2020-12-22,83.83458
2020-12-23,82.70676
2020-12-24,64.28571
2020-12-25,45.11278
2020-12-26,35.71428
2020-12-27,46.2406
2020-12-28,100.0
2020-12-29,68.79699
2020-12-30,73.30827
2020-12-31,48.1203
2021-01-01,28.94736
2021-01-02,31.203
2021-01-03,34.9624
2021-01-04,65.41353
2021-01-05,64.66165
2021-01-06,71.80451
2021-01-07,60.15037
2021-01-08,61.65413
2021-01-09,32.70676
2021-01-10,35.33834
2021-01-11,81.57894
2021-01-12,69.92481
2021-01-13,72.55639
2021-01-14,78.57142
2021-01-15,69.54887
2021-01-16,36.46616
2021-01-17,43.98496
2021-01-18,72.55639
2021-01-19,88.7218
2021-01-20,66.54135
2021-01-21,62.03007
2021-01-22,67.66917
2021-01-23,45.86466
2021-01-24,37.21804
2021-01-25,71.42857
2021-01-26,83.45864
2021-01-27,74.43609
2021-01-28,70.67669
2021-01-29,70.67669
2021-01-30,37.21804
2021-01-31,43.23308
2021-02-01,61.65413
2021-02-02,67.66917
2021-02-03,58.64661
2021-02-04,72.55639
2021-02-05,58.27067
2021-02-06,43.98496
2021-02-07,41.35338
2021-02-08,61.65413
2021-02-09,59.39849
2021-02-10,52.25563
2021-02-11,31.203
2021-02-12,19.92481
2021-02-13,23.30827
2021-02-14,32.70676
2021-02-15,96.61654
2021-02-16,93.98496
2021-02-17,78.57142
2021-02-18,79.69924
2021-02-19,60.90225
2021-02-20,39.09774
2021-02-21,32.33082
2021-02-22,84.58646
2021-02-23,78.57142
2021-02-24,76.69172
2021-02-25,75.18796
2021-02-26,52.25563
2021-02-27,27.4436
2021-02-28,25.5639
2021-03-01,37.21804
2021-03-02,63.53383
2021-03-03,69.92481
2021-03-04,73.30827
2021-03-05,51.50375
2021-03-06,31.57894
2021-03-07,39.09774
2021-03-08,72.55639
2021-03-09,74.81203
2021-03-10,64.28571
2021-03-11,70.67669
2021-03-12,56.39097
2021-03-13,35.71428
2021-03-14,34.21052
2021-03-15,82.33082
2021-03-16,73.68421
2021-03-17,70.67669
2021-03-18,74.06015
2021-03-19,61.27819
2021-03-20,44.73684
2021-03-21,31.95488
2021-03-22,69.17293
2021-03-23,77.81954
2021-03-24,74.06015
2021-03-25,75.18796
2021-03-26,63.90977
2021-03-27,31.203
2021-03-28,34.58646
2021-03-29,68.42105
