date,슈퍼워크코인
2022-06-01,1.04821
2022-06-05,2.09643
2022-07-30,1.25786
2022-07-31,1.4675
2022-08-01,1.88679
2022-08-09,5.45073
2022-08-10,6.2893
2022-08-11,2.30607
2022-08-12,1.25786
2022-08-14,1.04821
2022-08-23,2.51572
2022-08-24,1.4675
2022-08-25,2.93501
2022-08-26,1.4675
2022-08-27,1.25786
2022-08-28,1.04821
2022-09-01,1.25786
2022-09-02,1.4675
2022-09-06,1.4675
2022-09-07,2.72536
2022-09-08,1.67714
2022-09-09,1.04821
2022-09-10,1.67714
2022-09-12,1.25786
2022-09-13,1.25786
2022-09-15,1.88679
2022-09-16,1.4675
2022-09-18,1.04821
2022-09-19,1.25786
2022-09-20,3.35429
2022-09-23,1.04821
2022-09-29,1.4675
2022-09-30,3.14465
2022-10-01,2.72536
2022-10-02,2.30607
2022-10-04,1.67714
2022-10-05,1.88679
2022-10-07,1.4675
2022-10-09,1.25786
2022-10-10,3.14465
2022-10-11,2.72536
2022-10-12,2.93501
2022-10-13,2.30607
2022-10-14,2.09643
2022-10-15,2.30607
2022-10-16,1.67714
2022-10-17,2.30607
2022-10-18,1.4675
2022-10-19,1.04821
2022-10-20,1.67714
2022-10-22,1.4675
2022-10-24,1.88679
2022-10-25,1.67714
2022-10-26,1.4675
2022-10-27,1.04821
2022-10-28,2.30607
2022-10-29,1.25786
2022-10-30,1.25786
2022-10-31,1.67714
2022-11-01,2.30607
2022-11-02,2.72536
2022-11-03,1.4675
2022-11-06,2.30607
2022-11-07,1.04821
2022-11-08,1.25786
2022-11-09,1.04821
2022-11-10,1.25786
2022-11-12,1.25786
2022-11-16,1.88679
2022-11-17,1.4675
2022-11-18,1.25786
2022-11-20,1.25786
2022-11-23,1.67714
2022-11-25,1.67714
2022-11-26,1.04821
2022-11-30,1.4675
2022-12-01,1.04821
2022-12-04,1.04821
2022-12-09,1.04821
2023-01-22,1.04821
2023-02-18,1.04821
2023-02-23,1.04821
2023-02-24,1.04821
2023-02-25,2.72536
2023-02-26,1.04821
2023-02-27,2.09643
2023-02-28,1.04821
2023-03-01,1.04821
2023-03-05,1.67714
2023-03-06,2.51572
2023-03-07,35.22012
2023-03-08,13.83647
2023-03-09,4.19287
2023-03-10,3.77358
2023-03-11,4.8218
2023-03-12,2.93501
2023-03-13,3.14465
2023-03-14,1.88679
2023-03-15,3.14465
2023-03-16,2.93501
2023-03-17,1.88679
2023-03-18,2.09643
2023-03-19,1.04821
2023-03-20,2.30607
2023-03-21,1.4675
2023-03-22,1.4675
2023-03-25,1.67714
