date,미국반도체ETF
2020-03-20,1.06716
2020-03-21,1.31826
2020-03-22,1.94601
2020-03-23,0.62774
2020-03-24,2.13433
2020-03-25,2.38543
2020-03-26,2.9504
2020-03-27,1.56936
2020-03-28,1.56936
2020-03-29,2.00878
2020-03-30,1.12994
2020-03-31,1.94601
2020-04-01,0.75329
2020-04-02,1.44381
2020-04-03,0.94161
2020-04-04,1.69491
2020-04-05,2.25988
2020-04-06,1.19271
2020-04-07,2.19711
2020-04-08,2.13433
2020-04-09,2.32266
2020-04-10,1.82046
2020-04-11,1.31826
2020-04-12,0.81607
2020-04-13,0.94161
2020-04-14,1.69491
2020-04-15,1.06716
2020-04-16,1.19271
2020-04-17,1.56936
2020-04-18,0.37664
2020-04-19,0.69052
2020-04-20,0.75329
2020-04-21,0.50219
2020-04-22,0.37664
2020-04-23,0.50219
2020-04-24,0.62774
2020-04-25,0.37664
2020-04-26,5.58694
2020-04-27,1.75768
2020-04-28,1.75768
2020-04-29,1.06716
2020-04-30,1.94601
2020-05-01,0.75329
2020-05-02,0.31387
2020-05-03,0.62774
2020-05-04,1.06716
2020-05-05,1.06716
2020-05-06,1.94601
2020-05-07,1.19271
2020-05-08,0.50219
2020-05-09,1.56936
2020-05-10,0.81607
2020-05-11,2.57376
2020-05-12,2.63653
2020-05-13,0.94161
2020-05-14,0.87884
2020-05-15,1.63214
2020-05-16,0.75329
2020-05-17,1.19271
2020-05-18,1.25549
2020-05-19,1.88323
2020-05-20,2.19711
2020-05-21,0.94161
2020-05-22,0.56497
2020-05-23,0.56497
2020-05-24,1.56936
2020-05-25,1.38104
2020-05-26,1.69491
2020-05-27,1.88323
2020-05-28,0.75329
2020-05-29,0.75329
2020-05-30,1.00439
2020-05-31,1.56936
2020-06-01,1.31826
2020-06-02,1.63214
2020-06-03,3.13873
2020-06-04,4.01757
2020-06-05,3.07595
2020-06-06,2.13433
2020-06-07,2.25988
2020-06-08,2.13433
2020-06-09,2.51098
2020-06-10,2.25988
2020-06-11,2.51098
2020-06-12,0.43942
2020-06-13,0.87884
2020-06-14,1.75768
2020-06-15,2.44821
2020-06-16,2.51098
2020-06-17,2.51098
2020-06-18,2.13433
2020-06-19,2.07156
2020-06-20,1.19271
2020-06-21,0.62774
2020-06-22,1.50659
2020-06-23,1.12994
2020-06-24,0.87884
2020-06-25,1.38104
2020-06-26,0.94161
2020-06-27,1.31826
2020-06-28,0.62774
2020-06-29,0.43942
2020-06-30,1.12994
2020-07-01,0.56497
2020-07-02,0.50219
2020-07-03,0.94161
2020-07-04,0.81607
2020-07-05,0.75329
2020-07-06,1.19271
2020-07-07,1.19271
2020-07-08,0.37664
2020-07-09,0.81607
2020-07-10,0.56497
2020-07-11,0.50219
2020-07-12,0.50219
2020-07-13,0.75329
2020-07-14,0.62774
2020-07-15,0.56497
2020-07-16,1.06716
2020-07-17,1.12994
2020-07-18,0.94161
2020-07-19,0.75329
2020-07-20,0.56497
2020-07-21,0.94161
2020-07-22,1.50659
2020-07-23,1.25549
2020-07-24,0.43942
2020-07-25,1.25549
2020-07-26,1.63214
2020-07-27,2.13433
2020-07-28,2.13433
2020-07-29,1.63214
2020-07-30,0.87884
2020-07-31,1.06716
2020-08-01,1.82046
2020-08-02,1.50659
2020-08-03,1.38104
2020-08-04,3.82925
2020-08-05,5.33584
2020-08-06,3.7037
2020-08-07,3.01318
2020-08-08,1.88323
2020-08-09,1.69491
2020-08-10,1.82046
2020-08-11,1.00439
2020-08-12,1.19271
2020-08-13,1.50659
2020-08-14,0.94161
2020-08-15,0.37664
2020-08-16,0.69052
2020-08-17,1.00439
2020-08-18,1.56936
2020-08-19,0.87884
2020-08-20,1.56936
2020-08-21,2.63653
2020-08-22,1.25549
2020-08-23,0.87884
2020-08-24,1.50659
2020-08-25,1.88323
2020-08-26,1.69491
2020-08-27,1.06716
2020-08-28,1.56936
2020-08-29,1.00439
2020-08-30,1.63214
2020-08-31,2.13433
2020-09-01,2.32266
2020-09-02,1.75768
2020-09-03,2.76208
2020-09-04,1.31826
2020-09-05,2.44821
2020-09-06,1.56936
2020-09-07,1.50659
2020-09-08,2.07156
2020-09-09,1.00439
2020-09-10,1.44381
2020-09-11,0.81607
2020-09-12,0.43942
2020-09-13,0.69052
2020-09-14,1.63214
2020-09-15,1.88323
2020-09-16,1.31826
2020-09-17,0.87884
2020-09-18,0.69052
2020-09-19,1.19271
2020-09-20,0.69052
2020-09-21,0.50219
2020-09-22,0.37664
2020-09-23,0.81607
2020-09-24,0.50219
2020-09-25,0.75329
2020-09-26,0.31387
2020-09-28,0.56497
2020-09-29,0.87884
2020-09-30,0.56497
2020-10-01,0.56497
2020-10-02,0.43942
2020-10-05,0.37664
2020-10-06,0.43942
2020-10-07,0.50219
2020-10-08,0.87884
2020-10-09,0.62774
2020-10-10,0.94161
2020-10-11,0.69052
2020-10-12,1.69491
2020-10-13,1.44381
2020-10-14,1.31826
2020-10-15,1.50659
2020-10-16,1.75768
2020-10-17,1.12994
2020-10-18,0.43942
2020-10-19,0.94161
2020-10-20,0.50219
2020-10-21,1.63214
2020-10-22,1.00439
2020-10-23,0.56497
2020-10-24,0.62774
2020-10-25,1.12994
2020-10-26,0.43942
2020-10-27,0.75329
2020-10-28,1.12994
2020-10-29,0.56497
2020-10-30,0.94161
2020-10-31,0.69052
2020-11-02,0.62774
2020-11-03,0.75329
2020-11-04,0.50219
2020-11-05,0.56497
2020-11-06,1.25549
2020-11-07,1.50659
2020-11-08,0.94161
2020-11-09,0.75329
2020-11-10,1.94601
2020-11-11,1.38104
2020-11-12,2.57376
2020-11-13,1.25549
2020-11-14,2.6993
2020-11-15,1.82046
2020-11-16,4.33145
2020-11-17,4.14312
2020-11-18,3.01318
2020-11-19,3.7037
