date,주식사이트
2020-03-20,64.67486
2020-03-21,36.37961
2020-03-22,32.33743
2020-03-23,56.5905
2020-03-24,57.46924
2020-03-25,59.75395
2020-03-26,55.36028
2020-03-27,42.7065
2020-03-28,29.17398
2020-03-29,26.71353
2020-03-30,41.82776
2020-03-31,44.63971
2020-04-01,50.9666
2020-04-02,35.85237
2020-04-03,28.82249
2020-04-04,20.03514
2020-04-05,15.46572
2020-04-06,29.87697
2020-04-07,34.62214
2020-04-08,32.16168
2020-04-09,33.39191
2020-04-10,26.18629
2020-04-11,17.57469
2020-04-12,20.56239
2020-04-13,25.13181
2020-04-14,22.67135
2020-04-15,15.46572
2020-04-16,21.96836
2020-04-17,25.13181
2020-04-18,12.47803
2020-04-19,13.00527
2020-04-20,24.42882
2020-04-21,28.1195
2020-04-22,31.81019
2020-04-23,23.72583
2020-04-24,22.67135
2020-04-25,13.53251
2020-04-26,15.28998
2020-04-27,20.03514
2020-04-28,22.4956
2020-04-29,20.91388
2020-04-30,14.58699
2020-05-01,9.49033
2020-05-02,9.49033
2020-05-03,10.72056
2020-05-04,13.18101
2020-05-05,15.46572
2020-05-06,22.67135
2020-05-07,20.38664
2020-05-08,14.76274
2020-05-09,11.77504
2020-05-10,12.47803
2020-05-11,16.8717
2020-05-12,19.33216
2020-05-13,19.68365
2020-05-14,20.38664
2020-05-15,19.15641
2020-05-16,11.2478
2020-05-17,13.70826
2020-05-18,22.8471
2020-05-19,25.30755
2020-05-20,22.31985
2020-05-21,21.61687
2020-05-22,19.15641
2020-05-23,10.54481
2020-05-24,13.53251
2020-05-25,21.08963
2020-05-26,23.72583
2020-05-27,25.13181
2020-05-28,25.13181
2020-05-29,20.56239
2020-05-30,15.11423
2020-05-31,12.82952
2020-06-01,23.72583
2020-06-02,32.86467
2020-06-03,37.60984
2020-06-04,26.88927
2020-06-05,27.76801
2020-06-06,16.69595
2020-06-07,16.16871
2020-06-08,27.24077
2020-06-09,28.1195
2020-06-10,28.99824
2020-06-11,33.21616
2020-06-12,26.36203
2020-06-13,14.2355
2020-06-14,15.99297
2020-06-15,25.83479
2020-06-16,27.41652
2020-06-17,26.36203
2020-06-18,22.67135
2020-06-19,19.8594
2020-06-20,11.59929
2020-06-21,11.07205
2020-06-22,26.88927
2020-06-23,25.13181
2020-06-24,28.99824
2020-06-25,25.13181
2020-06-26,17.57469
2020-06-27,13.35676
2020-06-28,17.75043
2020-06-29,24.07732
2020-06-30,27.59226
2020-07-01,26.01054
2020-07-02,24.25307
2020-07-03,22.14411
2020-07-04,13.18101
2020-07-05,17.75043
2020-07-06,26.36203
2020-07-07,31.63444
2020-07-08,28.64674
2020-07-09,24.42882
2020-07-10,26.71353
2020-07-11,15.64147
2020-07-12,19.33216
2020-07-13,23.37434
2020-07-14,33.04042
2020-07-15,27.94376
2020-07-16,26.18629
2020-07-17,20.38664
2020-07-18,16.69595
2020-07-19,14.05975
2020-07-20,27.94376
2020-07-21,28.64674
2020-07-22,28.99824
2020-07-23,32.86467
2020-07-24,28.82249
2020-07-25,15.64147
2020-07-26,22.14411
2020-07-27,34.27065
2020-07-28,26.88927
2020-07-29,32.33743
2020-07-30,28.1195
2020-07-31,30.93145
2020-08-01,19.15641
2020-08-02,20.03514
2020-08-03,28.471
2020-08-04,34.44639
2020-08-05,31.81019
2020-08-06,33.7434
2020-08-07,37.0826
2020-08-08,21.26537
2020-08-09,24.07732
2020-08-10,31.28295
2020-08-11,36.37961
2020-08-12,36.55536
2020-08-13,36.7311
2020-08-14,29.34973
2020-08-15,18.80492
2020-08-16,17.57469
2020-08-17,21.08963
2020-08-18,32.51318
2020-08-19,24.07732
2020-08-20,31.28295
2020-08-21,24.95606
2020-08-22,18.98066
2020-08-23,17.92618
2020-08-24,30.75571
2020-08-25,26.53778
2020-08-26,27.59226
2020-08-27,36.55536
2020-08-28,31.28295
2020-08-29,19.5079
2020-08-30,28.1195
2020-08-31,37.78558
2020-09-01,36.20386
2020-09-02,42.00351
2020-09-03,38.48857
2020-09-04,39.54305
2020-09-05,21.44112
2020-09-06,21.96836
2020-09-07,34.62214
2020-09-08,39.89455
2020-09-09,38.84007
2020-09-10,38.48857
2020-09-11,39.19156
2020-09-12,23.37434
2020-09-13,22.67135
2020-09-14,38.31282
2020-09-15,37.78558
2020-09-16,39.01581
2020-09-17,34.62214
2020-09-18,30.57996
2020-09-19,17.39894
2020-09-20,19.33216
2020-09-21,25.65905
2020-09-22,31.45869
2020-09-23,32.16168
2020-09-24,35.32513
2020-09-25,23.72583
2020-09-26,17.04745
2020-09-27,16.8717
2020-09-28,24.42882
2020-09-29,24.78031
2020-09-30,15.28998
2020-10-01,17.22319
2020-10-02,14.76274
2020-10-03,15.46572
2020-10-04,19.5079
2020-10-05,35.32513
2020-10-06,38.48857
2020-10-07,29.87697
2020-10-08,22.4956
2020-10-09,16.34446
2020-10-10,14.05975
2020-10-11,15.81722
2020-10-12,26.18629
2020-10-13,27.76801
2020-10-14,31.63444
2020-10-15,26.88927
2020-10-16,21.61687
2020-10-17,17.92618
2020-10-18,13.70826
2020-10-19,25.65905
2020-10-20,25.83479
2020-10-21,24.42882
2020-10-22,17.57469
2020-10-23,17.75043
2020-10-24,11.42355
2020-10-25,15.81722
2020-10-26,23.55008
2020-10-27,24.95606
2020-10-28,24.78031
2020-10-29,23.02284
2020-10-30,20.03514
2020-10-31,11.59929
2020-11-01,13.35676
2020-11-02,23.37434
2020-11-03,20.03514
2020-11-04,21.61687
2020-11-05,23.55008
2020-11-06,19.5079
2020-11-07,11.2478
2020-11-08,17.04745
2020-11-09,27.24077
2020-11-10,34.79789
2020-11-11,30.40421
2020-11-12,35.14938
2020-11-13,27.06502
2020-11-14,18.10193
2020-11-15,16.34446
2020-11-16,36.20386
2020-11-17,33.39191
2020-11-18,32.16168
2020-11-19,33.91915
2020-11-20,28.82249
2020-11-21,18.80492
2020-11-22,18.27768
2020-11-23,38.48857
2020-11-24,32.86467
2020-11-25,37.60984
2020-11-26,40.94903
2020-11-27,37.78558
2020-11-28,31.28295
2020-11-29,30.22847
2020-11-30,33.7434
2020-12-01,43.93673
2020-12-02,42.355
2020-12-03,44.63971
2020-12-04,46.04569
2020-12-05,31.98594
2020-12-06,31.63444
2020-12-07,52.89982
2020-12-08,44.46397
2020-12-09,43.76098
2020-12-10,44.46397
2020-12-11,41.30052
2020-12-12,32.33743
2020-12-13,27.76801
2020-12-14,39.01581
2020-12-15,37.96133
2020-12-16,39.01581
2020-12-17,37.25834
2020-12-18,33.56766
2020-12-19,33.39191
2020-12-20,27.06502
2020-12-21,40.77328
2020-12-22,38.13708
2020-12-23,38.31282
2020-12-24,37.0826
2020-12-25,26.71353
2020-12-26,25.65905
2020-12-27,34.97363
2020-12-28,45.51845
2020-12-29,48.15465
2020-12-30,49.20913
2020-12-31,37.0826
2021-01-01,32.16168
2021-01-02,34.62214
2021-01-03,41.12478
2021-01-04,74.34094
2021-01-05,72.40773
2021-01-06,78.03163
2021-01-07,66.43233
2021-01-08,89.80667
2021-01-09,64.67486
2021-01-10,56.23901
2021-01-11,100.0
2021-01-12,84.71001
2021-01-13,75.74692
2021-01-14,71.35325
