date,오늘의금값
2020-03-20,7.70239
2020-03-21,3.66113
2020-03-22,2.8955
2020-03-23,4.97868
2020-03-24,4.64466
2020-03-25,4.85417
2020-03-26,4.33577
2020-03-27,3.82455
2020-03-28,2.38608
2020-03-29,1.82996
2020-03-30,3.31034
2020-03-31,3.62042
2020-04-01,3.16787
2020-04-02,2.92124
2020-04-03,2.94399
2020-04-04,1.97782
2020-04-05,1.48277
2020-04-06,3.10202
2020-04-07,3.36362
2020-04-08,3.78804
2020-04-09,3.06192
2020-04-10,4.1484
2020-04-11,2.36812
2020-04-12,4.52014
2020-04-13,5.89696
2020-04-14,6.19268
2020-04-15,3.33069
2020-04-16,4.72786
2020-04-17,5.41508
2020-04-18,2.88892
2020-04-19,2.10772
2020-04-20,3.7156
2020-04-21,4.30764
2020-04-22,4.38785
2020-04-23,4.21904
2020-04-24,4.96192
2020-04-25,2.79134
2020-04-26,2.67641
2020-04-27,10.28422
2020-04-28,4.48722
2020-04-29,3.68448
2020-04-30,2.58482
2020-05-01,2.65186
2020-05-02,2.42379
2020-05-03,2.03649
2020-05-04,3.22713
2020-05-05,2.47348
2020-05-06,3.97361
2020-05-07,2.93681
2020-05-08,2.94758
2020-05-09,2.04487
2020-05-10,1.62823
2020-05-11,2.91825
2020-05-12,2.72789
2020-05-13,2.56267
2020-05-14,2.86018
2020-05-15,2.92304
2020-05-16,1.86588
2020-05-17,1.60848
2020-05-18,4.48602
2020-05-19,4.20827
2020-05-20,3.33488
2020-05-21,3.1128
2020-05-22,2.71951
2020-05-23,1.92933
2020-05-24,1.61327
2020-05-25,2.90029
2020-05-26,2.79733
2020-05-27,2.50999
2020-05-28,2.78835
2020-05-29,2.49084
2020-05-30,1.50911
2020-05-31,1.53664
2020-06-01,2.57943
2020-06-02,2.48605
2020-06-03,2.53394
2020-06-04,2.39206
2020-06-05,2.2035
2020-06-06,1.43368
2020-06-07,1.22416
2020-06-08,2.42738
2020-06-09,2.53573
2020-06-10,2.36752
2020-06-11,2.22924
2020-06-12,2.34298
2020-06-13,1.40375
2020-06-14,1.18944
2020-06-15,2.49982
2020-06-16,2.45252
2020-06-17,2.31005
2020-06-18,2.05385
2020-06-19,1.96106
2020-06-20,1.24751
2020-06-21,1.15173
2020-06-22,3.18882
2020-06-23,2.94279
2020-06-24,2.44594
2020-06-25,2.24241
2020-06-26,1.99518
2020-06-27,1.36125
2020-06-28,1.08828
