date,삼성전자주식가격
2020-03-20,100.0
2020-03-21,23.16143
2020-03-22,15.36771
2020-03-23,92.40661
2020-03-24,95.51505
2020-03-25,92.71035
2020-03-26,89.84748
2020-03-27,78.9324
2020-03-28,18.21765
2020-03-29,12.4596
2020-03-30,67.7782
2020-03-31,63.35789
2020-04-01,64.63099
2020-04-02,66.32415
2020-04-03,54.32984
2020-04-04,12.90551
2020-04-05,8.49166
2020-04-06,51.78363
2020-04-07,62.16233
2020-04-08,55.55124
2020-04-09,51.08569
2020-04-10,49.14695
2020-04-11,10.8763
2020-04-12,7.52229
2020-04-13,46.83986
2020-04-14,43.05932
2020-04-15,11.962
2020-04-16,40.46788
2020-04-17,53.81284
2020-04-18,11.32221
2020-04-19,7.36073
2020-04-20,46.62013
2020-04-21,50.12924
2020-04-22,49.19219
2020-04-23,43.40183
2020-04-24,37.49515
2020-04-25,8.05221
2020-04-26,5.19581
2020-04-27,35.84722
2020-04-28,35.70505
2020-04-29,35.49825
2020-04-30,8.64029
2020-05-01,10.04265
2020-05-02,5.04717
2020-05-03,4.08427
2020-05-04,32.37042
2020-05-05,8.78247
2020-05-06,34.75507
2020-05-07,31.11671
2020-05-08,27.25216
2020-05-09,6.22334
2020-05-10,4.47201
2020-05-11,27.82086
2020-05-12,29.63681
2020-05-13,30.80651
2020-05-14,29.79837
2020-05-15,28.55111
2020-05-16,5.98423
2020-05-17,4.70466
2020-05-18,28.68036
2020-05-19,35.36254
2020-05-20,31.25888
2020-05-21,32.33811
2020-05-22,29.30076
2020-05-23,5.69988
2020-05-24,4.11012
2020-05-25,27.69807
2020-05-26,29.8436
2020-05-27,29.85007
2020-05-28,32.59661
2020-05-29,28.27969
2020-05-30,5.30567
2020-05-31,3.90332
2020-06-01,31.45922
2020-06-02,32.33165
2020-06-03,47.45379
2020-06-04,49.26328
2020-06-05,42.49062
2020-06-06,7.38658
2020-06-07,5.51247
2020-06-08,40.39033
2020-06-09,39.64068
2020-06-10,36.01525
2020-06-11,34.69691
2020-06-12,35.886
2020-06-13,5.64172
2020-06-14,4.388
2020-06-15,34.4061
2020-06-16,38.71009
2020-06-17,35.23975
2020-06-18,30.86467
2020-06-19,29.66912
2020-06-20,5.02778
2020-06-21,3.50911
2020-06-22,26.23109
2020-06-23,26.66408
2020-06-24,29.86945
2020-06-25,27.65283
2020-06-26,26.8838
2020-06-27,5.1118
2020-06-28,3.58666
2020-06-29,25.42975
2020-06-30,25.30696
2020-07-01,24.72534
2020-07-02,23.73659
2020-07-03,22.76722
2020-07-04,3.86454
2020-07-05,3.61897
2020-07-06,28.33785
2020-07-07,30.28305
2020-07-08,26.79333
2020-07-09,25.12601
2020-07-10,23.44578
2020-07-11,3.55434
2020-07-12,3.36047
2020-07-13,23.83352
2020-07-14,23.0968
2020-07-15,25.02261
2020-07-16,23.10973
2020-07-17,23.1485
2020-07-18,3.84515
2020-07-19,2.74654
2020-07-20,23.96923
2020-07-21,25.64301
2020-07-22,26.30218
2020-07-23,24.41514
2020-07-24,23.34238
2020-07-25,4.00025
2020-07-26,4.73051
2020-07-27,26.48959
2020-07-28,35.78906
2020-07-29,37.55331
2020-07-30,32.73878
2020-07-31,28.34431
