date,인공지능
2020-11-08,50.29659
2020-11-09,66.00062
2020-11-10,67.53044
2020-11-11,66.90602
2020-11-12,64.50202
2020-11-13,55.97876
2020-11-14,39.80643
2020-11-15,54.9797
2020-11-16,69.02903
2020-11-17,66.8748
2020-11-18,62.56634
2020-11-19,70.02809
2020-11-20,71.90134
2020-11-21,42.1792
2020-11-22,52.79425
2020-11-23,64.59569
2020-11-24,65.78207
2020-11-25,74.46144
2020-11-26,65.43865
2020-11-27,59.1945
2020-11-28,39.463
2020-11-29,50.6088
2020-11-30,75.6166
2020-12-01,73.43115
2020-12-02,83.32812
2020-12-03,62.53512
2020-12-04,70.52763
2020-12-05,46.08179
2020-12-06,57.47736
2020-12-07,77.80206
2020-12-08,79.8314
2020-12-09,77.98938
2020-12-10,72.83796
2020-12-11,70.05931
2020-12-12,40.43084
2020-12-13,47.39306
2020-12-14,62.44146
2020-12-15,58.07055
2020-12-16,62.97221
2020-12-17,63.94005
2020-12-18,65.31376
2020-12-19,32.46955
2020-12-20,42.7724
2020-12-21,58.85107
2020-12-22,54.29285
2020-12-23,55.10458
2020-12-24,45.39494
2020-12-25,21.94817
2020-12-26,30.03434
2020-12-27,33.15641
2020-12-28,55.26069
2020-12-29,61.28629
2020-12-30,53.44989
2020-12-31,41.99188
2021-01-01,20.13737
2021-01-02,21.47986
2021-01-03,30.75241
2021-01-04,44.20855
2021-01-05,42.9285
2021-01-06,42.42897
2021-01-07,36.02872
2021-01-08,39.36934
2021-01-09,42.36653
2021-01-10,41.89822
2021-01-11,47.36184
2021-01-12,44.95785
2021-01-13,38.40149
2021-01-14,34.31158
2021-01-15,30.2841
2021-01-16,24.88292
2021-01-17,22.4477
2021-01-18,27.78645
2021-01-19,25.66344
2021-01-20,30.62753
2021-01-21,30.65875
2021-01-22,27.78645
2021-01-23,20.13737
2021-01-24,19.48173
2021-01-25,27.06837
2021-01-26,29.03527
2021-01-27,27.75522
2021-01-28,26.16297
