date,의료실비보험비교사이트
2020-03-20,41.17647
2020-03-21,27.73109
2020-03-22,15.96638
2020-03-23,52.94117
2020-03-24,38.65546
2020-03-25,43.69747
2020-03-26,62.18487
2020-03-27,36.97478
2020-03-28,15.96638
2020-03-29,13.44537
2020-03-30,49.57983
2020-03-31,43.69747
2020-04-01,23.52941
2020-04-02,29.41176
2020-04-03,15.12605
2020-04-04,17.64705
2020-04-05,15.96638
2020-04-06,36.97478
2020-04-07,37.81512
2020-04-08,26.89075
2020-04-09,24.36974
2020-04-10,35.29411
2020-04-11,15.96638
2020-04-12,26.89075
2020-04-13,31.09243
2020-04-14,28.57142
2020-04-15,13.44537
2020-04-16,35.29411
2020-04-17,29.41176
2020-04-18,14.28571
2020-04-19,16.80672
2020-04-20,43.69747
2020-04-21,49.57983
2020-04-22,26.89075
2020-04-23,36.97478
2020-04-24,33.61344
2020-04-25,27.73109
2020-04-26,10.08403
2020-04-27,41.17647
2020-04-28,41.17647
2020-04-29,49.57983
2020-04-30,18.48739
2020-05-01,25.21008
2020-05-02,15.12605
2020-05-03,15.96638
2020-05-04,39.49579
2020-05-05,21.84873
2020-05-06,31.93277
2020-05-07,35.29411
2020-05-08,32.7731
2020-05-09,21.84873
2020-05-10,14.28571
2020-05-11,38.65546
2020-05-12,42.0168
2020-05-13,38.65546
2020-05-14,33.61344
2020-05-15,31.09243
2020-05-16,19.32773
2020-05-17,23.52941
2020-05-18,42.85714
2020-05-19,46.21848
2020-05-20,39.49579
2020-05-21,26.05042
2020-05-22,32.7731
2020-05-23,25.21008
2020-05-24,14.28571
2020-05-25,43.69747
2020-05-26,52.94117
2020-05-27,42.85714
2020-05-28,46.21848
2020-05-29,33.61344
2020-05-30,19.32773
2020-05-31,25.21008
2020-06-01,40.33613
2020-06-02,39.49579
2020-06-03,26.05042
2020-06-04,21.0084
2020-06-05,31.93277
2020-06-06,16.80672
2020-06-07,18.48739
2020-06-08,37.81512
2020-06-09,43.69747
2020-06-10,40.33613
2020-06-11,28.57142
2020-06-12,29.41176
2020-06-13,15.12605
2020-06-14,20.16806
2020-06-15,38.65546
2020-06-16,44.53781
2020-06-17,30.2521
2020-06-18,34.45378
2020-06-19,29.41176
2020-06-20,15.12605
2020-06-21,22.68907
2020-06-22,38.65546
2020-06-23,34.45378
2020-06-24,35.29411
2020-06-25,38.65546
2020-06-26,31.09243
2020-06-27,15.96638
2020-06-28,10.08403
2020-06-29,31.09243
2020-06-30,31.93277
2020-07-01,40.33613
2020-07-02,24.36974
2020-07-03,42.85714
2020-07-04,17.64705
2020-07-05,21.0084
2020-07-06,29.41176
2020-07-07,39.49579
2020-07-08,38.65546
2020-07-09,35.29411
2020-07-10,33.61344
2020-07-11,14.28571
2020-07-12,20.16806
2020-07-13,40.33613
2020-07-14,32.7731
2020-07-15,35.29411
2020-07-16,32.7731
2020-07-17,20.16806
2020-07-18,22.68907
2020-07-19,22.68907
2020-07-20,36.97478
2020-07-21,34.45378
2020-07-22,37.81512
2020-07-23,32.7731
2020-07-24,23.52941
2020-07-25,8.40336
2020-07-26,15.12605
2020-07-27,29.41176
2020-07-28,32.7731
2020-07-29,36.13445
2020-07-30,36.97478
2020-07-31,26.05042
2020-08-01,5.04201
2020-08-02,15.12605
2020-08-03,36.97478
2020-08-04,25.21008
2020-08-05,36.13445
2020-08-06,29.41176
2020-08-07,26.05042
2020-08-08,13.44537
2020-08-09,12.60504
2020-08-10,19.32773
2020-08-11,21.84873
2020-08-12,29.41176
2020-08-13,28.57142
2020-08-14,28.57142
2020-08-15,10.92436
2020-08-16,11.7647
2020-08-17,12.60504
2020-08-18,34.45378
2020-08-19,35.29411
2020-08-20,18.48739
2020-08-21,36.13445
2020-08-22,25.21008
2020-08-23,19.32773
2020-08-24,47.89915
2020-08-25,42.85714
2020-08-26,45.37815
2020-08-27,56.30252
2020-08-28,36.97478
2020-08-29,15.96638
2020-08-30,15.96638
2020-08-31,29.41176
2020-09-01,36.97478
2020-09-02,26.89075
2020-09-03,29.41176
2020-09-04,43.69747
2020-09-05,13.44537
2020-09-06,17.64705
2020-09-07,31.09243
2020-09-08,39.49579
2020-09-09,34.45378
2020-09-10,30.2521
2020-09-11,34.45378
2020-09-12,14.28571
2020-09-13,26.89075
2020-09-14,48.73949
2020-09-15,34.45378
2020-09-16,36.13445
2020-09-17,35.29411
2020-09-18,26.05042
2020-09-19,10.92436
2020-09-20,17.64705
2020-09-21,21.84873
2020-09-22,36.97478
2020-09-23,30.2521
2020-09-24,22.68907
2020-09-25,27.73109
2020-09-26,20.16806
2020-09-27,13.44537
2020-09-28,29.41176
2020-09-29,30.2521
2020-09-30,9.24369
2020-10-01,14.28571
2020-10-02,13.44537
2020-10-03,4.20168
2020-10-04,17.64705
2020-10-05,29.41176
2020-10-06,36.13445
2020-10-07,26.05042
2020-10-08,26.05042
2020-10-09,4.20168
2020-10-10,10.08403
2020-10-12,18.48739
2020-10-13,22.68907
2020-10-14,28.57142
2020-10-15,24.36974
2020-10-16,16.80672
2020-10-17,10.92436
2020-10-18,26.89075
2020-10-19,16.80672
2020-10-20,31.09243
2020-10-21,36.97478
2020-10-22,37.81512
2020-10-23,29.41176
2020-10-24,23.52941
2020-10-25,14.28571
2020-10-26,38.65546
2020-10-27,28.57142
2020-10-28,30.2521
2020-10-29,39.49579
2020-10-30,27.73109
2020-10-31,13.44537
2020-11-01,23.52941
2020-11-02,24.36974
2020-11-03,26.89075
2020-11-04,33.61344
2020-11-05,31.09243
2020-11-06,26.89075
2020-11-07,10.92436
2020-11-08,4.20168
2020-11-09,31.09243
2020-11-10,42.0168
2020-11-11,38.65546
2020-11-12,34.45378
2020-11-13,27.73109
2020-11-14,12.60504
2020-11-15,10.08403
2020-11-16,23.52941
2020-11-17,48.73949
2020-11-18,43.69747
2020-11-19,48.73949
2020-11-20,21.84873
2020-11-21,4.20168
2020-11-22,10.92436
2020-11-23,45.37815
2020-11-24,35.29411
2020-11-25,25.21008
2020-11-26,32.7731
2020-11-27,38.65546
2020-11-28,14.28571
2020-11-29,7.56302
2020-11-30,39.49579
2020-12-01,44.53781
2020-12-02,35.29411
2020-12-03,37.81512
2020-12-04,28.57142
2020-12-05,15.96638
2020-12-06,21.0084
2020-12-07,47.05882
2020-12-08,51.2605
2020-12-09,37.81512
2020-12-10,37.81512
2020-12-11,32.7731
2020-12-12,12.60504
2020-12-13,7.56302
2020-12-14,39.49579
2020-12-15,47.89915
2020-12-16,28.57142
2020-12-17,31.93277
2020-12-18,39.49579
2020-12-19,9.24369
2020-12-20,8.40336
2020-12-21,42.0168
2020-12-22,28.57142
2020-12-23,38.65546
2020-12-24,27.73109
2020-12-25,11.7647
2020-12-26,17.64705
2020-12-27,22.68907
2020-12-28,48.73949
2020-12-29,44.53781
2020-12-30,22.68907
2020-12-31,24.36974
2021-01-01,10.08403
2021-01-02,11.7647
2021-01-03,6.72268
2021-01-04,27.73109
2021-01-05,45.37815
2021-01-06,32.7731
2021-01-07,21.0084
2021-01-08,24.36974
2021-01-09,5.88235
2021-01-10,5.88235
2021-01-11,42.0168
2021-01-12,54.62184
2021-01-13,32.7731
2021-01-14,37.81512
2021-01-15,45.37815
2021-01-16,15.12605
2021-01-17,8.40336
2021-01-18,44.53781
2021-01-19,42.0168
2021-01-20,54.62184
2021-01-21,24.36974
2021-01-22,31.93277
2021-01-23,20.16806
2021-01-24,18.48739
2021-01-25,31.93277
2021-01-26,51.2605
2021-01-27,26.05042
2021-01-28,26.89075
2021-01-29,31.93277
2021-01-30,15.96638
2021-01-31,12.60504
2021-02-01,24.36974
2021-02-02,31.93277
2021-02-03,44.53781
2021-02-04,36.13445
2021-02-05,33.61344
2021-02-06,18.48739
2021-02-07,16.80672
2021-02-08,36.97478
2021-02-09,35.29411
2021-02-10,33.61344
2021-02-11,8.40336
2021-02-12,7.56302
2021-02-13,7.56302
2021-02-14,10.92436
2021-02-15,33.61344
2021-02-16,36.13445
2021-02-17,41.17647
2021-02-18,33.61344
2021-02-19,27.73109
2021-02-20,15.96638
2021-02-22,47.05882
2021-02-23,31.93277
2021-02-24,42.0168
2021-02-25,26.89075
2021-02-26,30.2521
2021-02-27,15.96638
2021-02-28,14.28571
2021-03-01,18.48739
2021-03-02,35.29411
2021-03-03,30.2521
2021-03-04,25.21008
2021-03-05,23.52941
2021-03-06,19.32773
2021-03-07,11.7647
2021-03-08,30.2521
2021-03-09,40.33613
2021-03-10,35.29411
2021-03-11,34.45378
2021-03-12,32.7731
2021-03-13,16.80672
2021-03-14,15.96638
2021-03-15,39.49579
2021-03-16,30.2521
2021-03-17,41.17647
2021-03-18,42.0168
2021-03-19,25.21008
2021-03-20,7.56302
2021-03-21,9.24369
2021-03-22,36.13445
2021-03-23,44.53781
2021-03-24,28.57142
2021-03-25,29.41176
2021-03-26,31.93277
2021-03-27,10.92436
2021-03-28,5.04201
2021-03-29,29.41176
2021-03-30,27.73109
2021-03-31,28.57142
2021-04-01,20.16806
2021-04-02,19.32773
2021-04-03,7.56302
2021-04-04,8.40336
2021-04-05,25.21008
2021-04-06,27.73109
2021-04-07,25.21008
2021-04-08,26.89075
2021-04-09,23.52941
2021-04-10,6.72268
2021-04-11,8.40336
2021-04-12,30.2521
2021-04-13,39.49579
2021-04-14,26.89075
2021-04-15,37.81512
2021-04-16,21.84873
2021-04-18,16.80672
2021-04-19,25.21008
2021-04-20,26.89075
2021-04-21,28.57142
2021-04-22,25.21008
2021-04-23,28.57142
2021-04-24,10.08403
2021-04-25,7.56302
2021-04-26,28.57142
2021-04-27,24.36974
2021-04-28,21.84873
2021-04-29,29.41176
2021-04-30,26.89075
2021-05-01,10.08403
2021-05-02,10.92436
2021-05-03,21.84873
2021-05-04,21.0084
2021-05-05,5.04201
2021-05-06,32.7731
2021-05-07,36.13445
2021-05-08,6.72268
2021-05-09,15.12605
2021-05-10,37.81512
2021-05-11,39.49579
2021-05-12,25.21008
2021-05-13,26.89075
2021-05-14,36.97478
2021-05-15,10.08403
2021-05-16,5.88235
2021-05-17,23.52941
2021-05-18,26.05042
2021-05-19,5.88235
2021-05-20,34.45378
2021-05-21,24.36974
2021-05-22,13.44537
2021-05-23,4.20168
2021-05-24,27.73109
2021-05-25,39.49579
2021-05-26,21.84873
2021-05-27,24.36974
2021-05-28,32.7731
2021-05-29,5.88235
2021-05-30,9.24369
2021-05-31,24.36974
2021-06-01,32.7731
2021-06-02,38.65546
2021-06-03,29.41176
2021-06-04,29.41176
2021-06-05,6.72268
2021-06-06,8.40336
2021-06-07,29.41176
2021-06-08,23.52941
2021-06-09,38.65546
2021-06-10,36.97478
2021-06-11,33.61344
2021-06-12,17.64705
2021-06-13,7.56302
2021-06-14,30.2521
2021-06-15,34.45378
2021-06-16,35.29411
2021-06-17,28.57142
2021-06-18,34.45378
2021-06-19,7.56302
2021-06-20,15.12605
2021-06-21,26.89075
2021-06-22,43.69747
2021-06-23,49.57983
2021-06-24,64.70588
2021-06-25,52.10084
2021-06-26,10.92436
2021-06-27,13.44537
2021-06-28,47.89915
2021-06-29,64.70588
2021-06-30,100.0
2021-07-01,21.0084
2021-07-02,15.96638
2021-07-03,7.56302
2021-07-04,5.04201
2021-07-05,23.52941
2021-07-06,21.84873
2021-07-07,40.33613
2021-07-08,29.41176
2021-07-09,27.73109
2021-07-11,5.04201
2021-07-12,21.0084
2021-07-13,26.89075
2021-07-14,25.21008
2021-07-15,34.45378
2021-07-16,33.61344
2021-07-17,5.88235
2021-07-18,5.88235
2021-07-19,32.7731
2021-07-20,28.57142
2021-07-21,38.65546
2021-07-22,31.93277
2021-07-23,19.32773
2021-07-24,5.88235
2021-07-25,4.20168
2021-07-26,20.16806
2021-07-27,19.32773
2021-07-28,11.7647
2021-07-29,28.57142
2021-07-30,17.64705
2021-07-31,4.20168
2021-08-01,5.04201
2021-08-02,21.84873
2021-08-03,26.05042
2021-08-04,36.97478
2021-08-05,21.0084
2021-08-06,17.64705
2021-08-07,10.08403
2021-08-08,7.56302
2021-08-09,15.96638
2021-08-10,34.45378
2021-08-11,24.36974
2021-08-12,39.49579
2021-08-13,20.16806
2021-08-14,10.92436
2021-08-16,7.56302
2021-08-17,19.32773
2021-08-18,14.28571
2021-08-19,17.64705
2021-08-20,23.52941
2021-08-21,14.28571
2021-08-22,8.40336
2021-08-23,12.60504
2021-08-24,31.93277
2021-08-25,24.36974
2021-08-26,21.0084
2021-08-27,21.0084
2021-08-28,5.88235
2021-08-29,8.40336
2021-08-30,15.96638
2021-08-31,45.37815
2021-09-01,26.89075
2021-09-02,26.05042
2021-09-03,12.60504
2021-09-04,8.40336
2021-09-05,5.88235
2021-09-06,26.89075
2021-09-07,21.84873
2021-09-08,21.84873
2021-09-09,19.32773
2021-09-10,23.52941
