date,은행이율
2020-03-20,25.20729
2020-03-21,11.11111
2020-03-22,10.11608
2020-03-23,28.19237
2020-03-24,24.3781
2020-03-25,26.86567
2020-03-26,26.03648
2020-03-27,21.39303
2020-03-28,12.60364
2020-03-29,12.27197
2020-03-30,27.69485
2020-03-31,25.53897
2020-04-01,24.21227
2020-04-02,22.71973
2020-04-03,17.41293
2020-04-04,12.10613
2020-04-05,10.77943
2020-04-06,24.70978
2020-04-07,25.04145
2020-04-08,22.88557
2020-04-09,23.54892
2020-04-10,19.23714
2020-04-11,12.60364
2020-04-12,10.94527
2020-04-13,20.89552
2020-04-14,20.23217
2020-04-15,10.77943
2020-04-16,22.05638
2020-04-17,21.89054
2020-04-18,11.60862
2020-04-19,9.28689
2020-04-20,22.22222
2020-04-21,24.70978
2020-04-22,18.24212
2020-04-23,23.21724
2020-04-24,19.40298
2020-04-25,9.78441
2020-04-26,8.29187
2020-04-27,24.04643
2020-04-28,21.55887
2020-04-29,20.398
2020-04-30,10.61359
2020-05-01,7.13101
2020-05-02,5.97014
2020-05-03,9.78441
2020-05-04,23.71475
2020-05-05,10.61359
2020-05-06,21.55887
2020-05-07,19.90049
2020-05-08,18.57379
2020-05-09,10.94527
2020-05-10,10.11608
2020-05-11,20.23217
2020-05-12,19.73466
2020-05-13,17.24709
2020-05-14,18.24212
2020-05-15,19.56882
2020-05-16,10.77943
2020-05-17,10.94527
2020-05-18,19.56882
2020-05-19,17.74461
2020-05-20,23.71475
2020-05-21,24.54394
2020-05-22,19.07131
2020-05-23,12.10613
2020-05-24,11.11111
2020-05-25,23.21724
2020-05-26,20.56384
2020-05-27,14.75953
2020-05-28,21.22719
2020-05-29,20.06633
2020-05-30,10.61359
2020-05-31,14.26202
2020-06-01,27.0315
2020-06-02,25.53897
2020-06-03,17.74461
2020-06-04,22.55389
2020-06-05,20.398
2020-06-06,11.27694
2020-06-07,11.77446
2020-06-08,21.22719
2020-06-09,18.73963
2020-06-10,19.90049
2020-06-11,19.56882
2020-06-12,19.73466
2020-06-13,10.11608
2020-06-14,9.28689
2020-06-15,23.0514
2020-06-16,24.21227
2020-06-17,19.23714
2020-06-18,17.24709
2020-06-19,17.91044
2020-06-20,7.79436
2020-06-21,12.60364
2020-06-22,19.23714
2020-06-23,21.06135
2020-06-24,19.23714
2020-06-25,16.91542
2020-06-26,20.06633
2020-06-27,7.79436
2020-06-28,11.27694
2020-06-29,21.06135
2020-06-30,23.0514
2020-07-01,19.56882
2020-07-02,23.0514
2020-07-03,19.40298
2020-07-04,11.27694
2020-07-05,11.94029
2020-07-06,17.41293
2020-07-07,17.08126
2020-07-08,17.74461
2020-07-09,21.22719
2020-07-10,16.91542
2020-07-11,10.94527
2020-07-12,10.77943
2020-07-13,17.57877
2020-07-14,21.06135
2020-07-15,20.56384
2020-07-16,23.38308
2020-07-17,15.75456
2020-07-18,9.78441
2020-07-19,8.29187
2020-07-20,18.40796
2020-07-21,20.06633
2020-07-22,22.55389
2020-07-23,20.398
2020-07-24,16.74958
2020-07-25,10.94527
2020-07-26,9.95024
2020-07-27,21.39303
2020-07-28,21.55887
2020-07-29,21.55887
2020-07-30,19.56882
2020-07-31,25.04145
2020-08-01,10.77943
2020-08-02,12.10613
2020-08-03,21.55887
2020-08-04,27.19734
2020-08-05,22.55389
2020-08-06,15.42288
2020-08-07,17.08126
2020-08-08,10.28192
2020-08-09,10.77943
2020-08-10,20.23217
2020-08-11,18.24212
2020-08-12,25.7048
2020-08-13,20.06633
2020-08-14,18.40796
2020-08-15,7.46268
2020-08-16,10.11608
2020-08-17,12.76948
2020-08-18,22.55389
2020-08-19,22.05638
2020-08-20,23.38308
2020-08-21,18.07628
2020-08-22,8.45771
2020-08-23,7.96019
2020-08-24,20.398
2020-08-25,15.92039
2020-08-26,19.73466
2020-08-27,22.22222
2020-08-28,17.41293
2020-08-29,12.10613
2020-08-30,14.26202
2020-08-31,20.56384
2020-09-01,23.54892
2020-09-02,26.86567
2020-09-03,23.88059
2020-09-04,18.73963
2020-09-05,13.59867
2020-09-06,9.95024
2020-09-07,20.398
2020-09-08,19.23714
2020-09-09,21.7247
2020-09-10,22.38805
2020-09-11,19.23714
