date,환율엔화
2020-03-20,2.03507
2020-03-21,0.43299
2020-03-22,0.36804
2020-03-23,1.68867
2020-03-24,1.32063
2020-03-25,1.45053
2020-03-26,1.62372
2020-03-27,0.93093
2020-03-28,0.64949
2020-03-29,0.56289
2020-03-30,1.32063
2020-03-31,0.95258
2020-04-01,0.90928
2020-04-02,1.08248
2020-04-03,0.90928
2020-04-04,0.54124
2020-04-05,0.34639
2020-04-06,0.58454
2020-04-07,0.54124
2020-04-08,0.49794
2020-04-09,0.90928
2020-04-10,0.47629
2020-04-11,0.47629
2020-04-12,0.19484
2020-04-13,0.58454
2020-04-14,0.45464
2020-04-15,0.45464
2020-04-16,0.43299
2020-04-17,0.60619
2020-04-18,0.43299
2020-04-19,0.34639
2020-04-20,0.62784
2020-04-21,1.08248
2020-04-22,0.51959
2020-04-23,0.60619
2020-04-24,0.58454
2020-04-25,0.38969
2020-04-26,0.25979
2020-04-27,0.51959
2020-04-28,0.58454
2020-04-29,0.54124
2020-04-30,0.25979
2020-05-01,0.49794
2020-05-02,0.41134
2020-05-03,0.34639
2020-05-04,0.67114
2020-05-05,0.41134
2020-05-06,0.80103
2020-05-07,0.84433
2020-05-08,0.62784
2020-05-09,0.34639
2020-05-10,0.34639
2020-05-11,0.77938
2020-05-12,0.34639
2020-05-13,0.75773
2020-05-14,0.73609
2020-05-15,0.54124
2020-05-16,0.36804
2020-05-17,0.38969
2020-05-18,0.75773
2020-05-19,0.43299
2020-05-20,0.51959
2020-05-21,0.67114
2020-05-22,0.45464
2020-05-23,0.30309
2020-05-24,0.32474
2020-05-25,0.90928
2020-05-26,1.06083
2020-05-27,0.64949
2020-05-28,0.62784
2020-05-29,0.64949
2020-05-30,0.47629
2020-05-31,0.47629
2020-06-01,0.51959
2020-06-02,0.77938
2020-06-03,0.80103
2020-06-04,0.77938
2020-06-05,0.69279
2020-06-06,0.47629
2020-06-07,0.23814
2020-06-08,0.75773
2020-06-09,0.97423
2020-06-10,0.82268
2020-06-11,1.19073
2020-06-12,1.45053
2020-06-13,0.32474
2020-06-14,0.21649
2020-06-15,0.86598
2020-06-16,0.95258
2020-06-17,0.88763
2020-06-18,0.75773
2020-06-19,0.49794
2020-06-20,0.30309
2020-06-21,0.19484
2020-06-22,0.58454
2020-06-23,0.34639
2020-06-24,0.67114
2020-06-25,0.51959
2020-06-26,0.47629
2020-06-27,0.25979
2020-06-28,0.17319
2020-06-29,0.64949
2020-06-30,0.80103
2020-07-01,0.54124
2020-07-02,0.49794
2020-07-03,0.38969
2020-07-04,0.19484
2020-07-05,0.15154
2020-07-06,0.54124
2020-07-07,0.54124
2020-07-08,0.56289
2020-07-09,0.69279
2020-07-10,0.64949
2020-07-11,0.19484
2020-07-12,0.38969
2020-07-13,0.32474
2020-07-14,0.56289
2020-07-15,0.64949
2020-07-16,0.38969
2020-07-17,0.49794
2020-07-18,0.21649
2020-07-19,0.21649
2020-07-20,0.41134
2020-07-21,0.56289
2020-07-22,0.47629
2020-07-23,0.36804
2020-07-24,0.80103
2020-07-25,0.25979
2020-07-26,0.28144
2020-07-27,0.71444
2020-07-28,0.86598
2020-07-29,0.60619
2020-07-30,0.49794
2020-07-31,0.71444
