date,CREDIT
2020-03-20,12.59996
2020-03-21,8.31447
2020-03-22,8.57099
2020-03-23,13.06775
2020-03-24,13.03757
2020-03-25,13.56571
2020-03-26,13.80715
2020-03-27,12.41889
2020-03-28,8.02776
2020-03-29,8.61626
2020-03-30,13.47517
2020-03-31,13.79206
2020-04-01,13.27901
2020-04-02,13.20356
2020-04-03,11.45314
2020-04-04,7.06201
2020-04-05,8.23902
2020-04-06,13.56571
2020-04-07,12.56979
2020-04-08,13.24883
2020-04-09,13.49026
2020-04-10,11.96619
2020-04-11,7.40908
2020-04-12,8.01267
2020-04-13,13.47517
2020-04-14,12.88667
2020-04-15,9.2953
2020-04-16,12.66032
2020-04-17,12.32835
2020-04-18,7.49962
2020-04-19,8.73698
2020-04-20,13.52044
2020-04-21,12.9923
2020-04-22,13.26392
2020-04-23,11.89074
2020-04-24,12.26799
2020-04-25,7.5298
2020-04-26,7.62034
2020-04-27,12.5547
2020-04-28,12.75086
2020-04-29,11.86057
2020-04-30,8.10321
2020-05-01,8.42009
2020-05-02,7.36381
2020-05-03,6.80549
2020-05-04,9.56692
2020-05-05,8.67662
2020-05-06,11.5135
2020-05-07,11.49841
2020-05-08,10.36668
2020-05-09,7.04692
2020-05-10,6.98657
2020-05-11,11.63422
2020-05-12,12.22272
2020-05-13,12.11709
2020-05-14,11.3626
2020-05-15,10.65338
2020-05-16,6.4886
2020-05-17,6.65459
2020-05-18,11.39278
2020-05-19,11.87566
2020-05-20,11.43805
2020-05-21,11.89074
2020-05-22,10.30632
2020-05-23,6.27735
2020-05-24,6.9413
2020-05-25,10.94009
2020-05-26,11.03063
2020-05-27,10.41195
2020-05-28,10.29123
2020-05-29,9.37075
2020-05-30,6.86585
2020-05-31,6.98657
2020-06-01,9.94416
2020-06-02,10.44213
2020-06-03,9.97434
2020-06-04,10.17051
2020-06-05,9.70273
2020-06-06,7.18273
2020-06-07,7.62034
2020-06-08,9.61219
2020-06-09,10.54775
2020-06-10,10.15542
2020-06-11,9.85362
2020-06-12,8.60117
2020-06-13,6.50369
2020-06-14,7.06201
2020-06-15,10.01961
2020-06-16,9.86871
2020-06-17,9.80835
2020-06-18,9.31039
2020-06-19,8.49554
2020-06-20,5.7492
2020-06-21,6.50369
2020-06-22,9.64237
2020-06-23,10.38177
2020-06-24,9.64237
2020-06-25,9.23494
2020-06-26,9.03878
2020-06-27,6.12645
2020-06-28,5.61339
2020-06-29,9.68764
2020-06-30,8.16357
2020-07-01,8.88788
2020-07-02,8.81243
2020-07-03,8.52572
2020-07-04,5.65866
2020-07-05,6.12645
2020-07-06,8.97842
2020-07-07,10.09506
2020-07-08,9.70273
2020-07-09,9.98943
2020-07-10,9.82344
2020-07-11,6.97148
2020-07-12,7.33363
2020-07-13,9.50656
2020-07-14,10.00452
2020-07-15,11.16644
2020-07-16,10.71374
2020-07-17,8.37483
2020-07-18,6.9413
2020-07-19,7.16764
2020-07-20,9.20476
2020-07-21,10.89482
2020-07-22,10.69865
2020-07-23,9.65746
2020-07-24,9.21985
2020-07-25,6.85076
2020-07-26,6.80549
2020-07-27,9.08405
2020-07-28,9.46129
2020-07-29,9.34057
2020-07-30,9.65746
2020-07-31,8.05794
2020-08-01,5.4625
2020-08-02,6.08118
2020-08-03,8.79734
2020-08-04,10.15542
2020-08-05,9.83853
2020-08-06,9.43111
2020-08-07,8.07303
2020-08-08,5.34178
2020-08-09,5.5983
2020-08-10,10.14033
2020-08-11,9.95925
2020-08-12,10.24596
2020-08-13,10.0347
2020-08-14,8.97842
2020-08-15,5.96046
2020-08-16,5.65866
2020-08-17,7.33363
2020-08-18,10.42704
2020-08-19,9.41602
2020-08-20,9.748
2020-08-21,8.54081
2020-08-22,5.38705
2020-08-23,5.65866
2020-08-24,10.84955
