date,자동차부품주
2020-03-20,1.28998
2020-03-21,0.82559
2020-03-22,0.56759
2020-03-23,1.59958
2020-03-24,1.85758
2020-03-25,3.45717
2020-03-26,3.97316
2020-03-27,2.37358
2020-03-28,1.59958
2020-03-29,1.28998
2020-03-30,2.78637
2020-03-31,3.19917
2020-04-01,2.11558
2020-04-02,1.49638
2020-04-03,0.98039
2020-04-04,1.23839
2020-04-05,0.72239
2020-04-06,7.73993
2020-04-07,8.51393
2020-04-08,8.10113
2020-04-09,10.57791
2020-04-10,6.34674
2020-04-11,5.10835
2020-04-12,3.97316
2020-04-13,3.14757
2020-04-14,4.33436
2020-04-15,2.37358
2020-04-16,2.94117
2020-04-17,3.66357
2020-04-18,2.32198
2020-04-19,2.37358
2020-04-20,2.01238
2020-04-21,3.56037
2020-04-22,6.91434
2020-04-23,5.77915
2020-04-24,3.71517
2020-04-25,1.54798
2020-04-26,1.23839
2020-04-27,1.18679
2020-04-28,1.65118
2020-04-29,1.75438
2020-04-30,2.06398
2020-05-01,0.67079
2020-05-02,0.98039
2020-05-03,1.44478
2020-05-04,1.65118
2020-05-05,1.59958
2020-05-06,2.06398
2020-05-07,2.83797
2020-05-08,3.86996
2020-05-09,2.27038
2020-05-10,1.90918
2020-05-11,3.30237
2020-05-12,0.98039
2020-05-13,1.03199
2020-05-14,0.56759
2020-05-15,1.28998
2020-05-16,1.39318
2020-05-17,0.72239
2020-05-18,1.23839
2020-05-19,5.41795
2020-05-20,4.28276
2020-05-21,4.64396
2020-05-22,1.59958
2020-05-23,1.18679
2020-05-24,0.98039
2020-05-25,1.59958
2020-05-26,2.73477
2020-05-27,3.50877
2020-05-28,29.51496
2020-05-29,2.42518
2020-05-30,1.39318
2020-05-31,1.59958
2020-06-01,2.52837
2020-06-02,5.41795
2020-06-03,6.14035
2020-06-04,7.17234
2020-06-05,2.88957
2020-06-06,1.59958
2020-06-07,0.87719
2020-06-08,1.70278
2020-06-09,1.85758
2020-06-10,14.39628
2020-06-11,6.03715
2020-06-12,1.65118
2020-06-13,1.49638
2020-06-14,1.96078
2020-06-15,1.49638
2020-06-16,1.90918
2020-06-17,1.44478
2020-06-18,1.39318
2020-06-19,10.21671
2020-06-20,2.01238
2020-06-21,1.49638
2020-06-22,1.18679
2020-06-23,1.44478
2020-06-24,1.39318
2020-06-25,1.90918
2020-06-26,1.75438
2020-06-27,0.46439
2020-06-28,0.51599
2020-06-29,1.75438
2020-06-30,0.30959
2020-07-01,1.65118
2020-07-02,1.28998
2020-07-03,1.18679
2020-07-04,0.92879
2020-07-05,0.98039
2020-07-06,2.32198
2020-07-07,1.39318
2020-07-08,0.82559
2020-07-09,1.13519
2020-07-10,0.98039
2020-07-11,1.03199
2020-07-12,1.23839
2020-07-13,2.47678
2020-07-14,1.96078
2020-07-15,4.02476
2020-07-16,3.50877
2020-07-17,7.01754
2020-07-18,3.04437
2020-07-19,2.37358
2020-07-20,5.05675
2020-07-21,3.35397
2020-07-22,2.78637
2020-07-23,2.47678
2020-07-24,1.80598
2020-07-25,0.61919
2020-07-26,0.98039
2020-07-27,2.73477
2020-07-28,1.75438
2020-07-29,1.54798
2020-07-30,4.28276
2020-07-31,2.68317
2020-08-01,2.47678
2020-08-02,2.52837
2020-08-03,4.12796
2020-08-04,4.74716
2020-08-05,6.14035
2020-08-06,5.72755
2020-08-07,7.32714
2020-08-08,5.88235
2020-08-09,5.98555
2020-08-10,14.03508
2020-08-11,23.16821
2020-08-12,11.14551
2020-08-13,10.68111
2020-08-14,5.83075
2020-08-15,3.97316
2020-08-16,1.80598
2020-08-17,2.11558
2020-08-18,2.27038
2020-08-19,1.49638
2020-08-20,1.08359
2020-08-21,1.59958
2020-08-22,0.25799
2020-08-23,0.87719
2020-08-24,1.13519
2020-08-25,2.68317
2020-08-26,2.01238
2020-08-27,1.65118
2020-08-28,2.11558
2020-08-29,0.98039
2020-08-30,2.16718
2020-08-31,3.09597
2020-09-01,2.99277
2020-09-02,2.21878
2020-09-03,2.01238
2020-09-04,1.70278
2020-09-05,1.44478
2020-09-06,1.49638
2020-09-07,2.73477
2020-09-08,1.96078
2020-09-09,1.44478
2020-09-10,3.97316
2020-09-11,2.01238
2020-09-12,1.13519
2020-09-13,0.98039
2020-09-14,11.5067
2020-09-15,14.34468
2020-09-16,21.72342
2020-09-17,26.57378
2020-09-18,10.78431
2020-09-19,5.15995
2020-09-20,5.93395
2020-09-21,7.73993
2020-09-22,3.81836
2020-09-23,4.90196
2020-09-24,2.94117
2020-09-25,1.08359
2020-09-26,1.23839
2020-09-27,0.67079
2020-09-28,0.72239
2020-09-29,2.83797
2020-09-30,1.39318
2020-10-01,0.98039
2020-10-02,2.01238
2020-10-03,1.08359
2020-10-04,2.99277
2020-10-05,10.73271
2020-10-06,15.84107
2020-10-07,15.27347
2020-10-08,11.04231
2020-10-09,3.71517
2020-10-10,2.68317
2020-10-11,2.47678
