date,보험설계사
2020-03-20,37.85147
2020-03-21,27.32516
2020-03-22,28.91131
2020-03-23,42.46575
2020-03-24,50.68493
2020-03-25,49.67555
2020-03-26,62.43691
2020-03-27,41.88896
2020-03-28,24.87382
2020-03-29,22.92718
2020-03-30,53.35255
2020-03-31,45.85436
2020-04-01,42.24945
2020-04-02,39.00504
2020-04-03,37.34679
2020-04-04,27.54145
2020-04-05,24.15284
2020-04-06,40.15861
2020-04-07,46.71953
2020-04-08,38.35616
2020-04-09,35.68853
2020-04-10,31.79524
2020-04-11,20.62004
2020-04-12,22.56669
2020-04-13,43.83561
2020-04-14,37.27469
2020-04-15,22.2062
2020-04-16,37.13049
2020-04-17,35.40014
2020-04-18,21.26892
2020-04-19,28.26243
2020-04-20,46.93583
2020-04-21,46.86373
2020-04-22,49.74765
2020-04-23,54.65032
2020-04-24,39.94232
2020-04-25,93.51117
2020-04-26,61.71593
2020-04-27,65.82552
2020-04-28,43.76351
2020-04-29,37.05839
2020-04-30,21.26892
2020-05-01,21.9899
2020-05-02,14.41961
2020-05-03,19.61067
2020-05-04,31.21845
2020-05-05,20.04325
2020-05-06,38.06777
2020-05-07,38.50036
2020-05-08,31.86733
2020-05-09,18.2408
2020-05-10,19.75486
2020-05-11,40.5191
2020-05-12,34.82335
2020-05-13,49.24297
2020-05-14,44.84498
2020-05-15,35.40014
2020-05-16,19.32227
2020-05-17,19.03388
2020-05-18,39.22134
2020-05-19,37.77937
2020-05-20,34.39077
2020-05-21,34.46286
2020-05-22,33.1651
2020-05-23,19.46647
2020-05-24,17.73612
2020-05-25,41.38428
2020-05-26,39.14924
2020-05-27,40.23071
2020-05-28,38.64455
2020-05-29,29.63229
2020-05-30,16.79884
2020-05-31,18.67339
2020-06-01,38.78875
2020-06-02,32.58832
2020-06-03,36.9863
2020-06-04,45.34967
2020-06-05,35.68853
2020-06-06,22.49459
2020-06-07,20.40374
2020-06-08,38.86085
2020-06-09,40.08651
2020-06-10,32.58832
2020-06-11,34.89545
2020-06-12,30.49747
2020-06-13,17.80821
2020-06-14,17.44772
2020-06-15,34.96755
2020-06-16,32.80461
2020-06-17,35.97692
2020-06-18,31.29055
2020-06-19,29.3439
