date,쿠팡주가
2020-03-20,1.52443
2020-03-21,0.94625
2020-03-22,1.8467
2020-03-23,1.99045
2020-03-24,1.77561
2020-03-25,1.67925
2020-03-26,1.3949
2020-03-27,1.2701
2020-03-28,0.96995
2020-03-29,1.00944
2020-03-30,1.39332
2020-03-31,2.86246
2020-04-01,2.37749
2020-04-02,1.73138
2020-04-03,2.20372
2020-04-04,1.30959
2020-04-05,1.25904
2020-04-06,1.66661
2020-04-07,1.33329
2020-04-08,1.10738
2020-04-09,0.79618
2020-04-10,0.74405
2020-04-11,0.61293
2020-04-12,1.61448
2020-04-13,1.54813
2020-04-14,6.90025
2020-04-15,3.53859
2020-04-16,1.61448
2020-04-17,1.35856
2020-04-18,0.9194
2020-04-19,1.05209
2020-04-20,1.20217
2020-04-21,1.04262
2020-04-22,4.68863
2020-04-23,2.69659
2020-04-24,1.1137
2020-04-25,0.74879
2020-04-26,0.93519
2020-04-27,1.39806
2020-04-28,1.15162
2020-04-29,1.0442
2020-04-30,0.67296
2020-05-01,0.51025
2020-05-02,0.44232
2020-05-03,0.62241
2020-05-04,0.66506
2020-05-05,0.81356
2020-05-06,0.8957
2020-05-07,0.92888
2020-05-08,0.70455
2020-05-09,0.62873
2020-05-10,0.82145
2020-05-11,0.86727
2020-05-12,1.73454
2020-05-13,1.00944
2020-05-14,1.03788
2020-05-15,0.93046
2020-05-16,0.61135
2020-05-17,0.75195
2020-05-18,1.04104
2020-05-19,1.13266
2020-05-20,1.40911
2020-05-21,1.66187
2020-05-22,1.07263
2020-05-23,0.87359
2020-05-24,0.82303
2020-05-25,2.24637
2020-05-26,3.76133
2020-05-27,5.62225
2020-05-28,18.12422
2020-05-29,7.38997
2020-05-30,2.91144
2020-05-31,1.91779
2020-06-01,1.78983
2020-06-02,1.35698
2020-06-03,1.07263
2020-06-04,0.90044
2020-06-05,0.82777
2020-06-06,0.66506
2020-06-07,0.54026
2020-06-08,0.66348
2020-06-09,1.01102
2020-06-10,0.84199
2020-06-11,0.79144
2020-06-12,0.72351
2020-06-13,0.41704
2020-06-14,0.45022
2020-06-15,0.54816
2020-06-16,0.44706
2020-06-17,0.59555
2020-06-18,0.58923
2020-06-19,0.42968
2020-06-20,0.34596
2020-06-21,0.27961
2020-06-22,0.44706
2020-06-23,0.50709
2020-06-24,0.84041
2020-06-25,0.56238
2020-06-26,0.35701
2020-06-27,0.32542
2020-06-28,0.32858
2020-06-29,0.30804
2020-06-30,0.62241
2020-07-01,0.49603
2020-07-02,0.38545
2020-07-03,0.3191
2020-07-04,0.26381
2020-07-05,0.36649
2020-07-06,0.46128
2020-07-07,0.47233
2020-07-08,0.57186
2020-07-09,0.65874
2020-07-10,0.93993
2020-07-11,0.65716
2020-07-12,0.51815
2020-07-13,0.53236
2020-07-14,0.5292
2020-07-15,0.58607
2020-07-16,0.40283
2020-07-17,0.36175
2020-07-18,0.29382
2020-07-19,0.56396
2020-07-20,0.41862
2020-07-21,0.46917
2020-07-22,0.40914
2020-07-23,0.46917
2020-07-24,0.47865
2020-07-25,0.50867
2020-07-26,0.54974
2020-07-27,0.54658
2020-07-28,0.49603
2020-07-29,0.50709
2020-07-30,0.54974
2020-07-31,0.49445
2020-08-01,0.36965
2020-08-02,0.37439
2020-08-03,0.48971
2020-08-04,0.5292
2020-08-05,1.24324
2020-08-06,0.80724
2020-08-07,0.56238
2020-08-08,0.64768
2020-08-09,0.59397
2020-08-10,0.58923
2020-08-11,0.69981
2020-08-12,0.57818
2020-08-13,0.60819
2020-08-14,0.55606
2020-08-15,0.47075
2020-08-16,0.61925
2020-08-17,0.66032
2020-08-18,0.80566
2020-08-19,0.74563
2020-08-20,0.86095
2020-08-21,0.75669
2020-08-22,0.84041
2020-08-23,1.01892
2020-08-24,1.13424
2020-08-25,0.82303
2020-08-26,0.94941
2020-08-27,1.19427
2020-08-28,1.20217
2020-08-29,0.79302
2020-08-30,1.47072
2020-08-31,1.47388
2020-09-01,1.4644
2020-09-02,1.9636
2020-09-03,1.15004
2020-09-04,1.6287
2020-09-05,0.99364
2020-09-06,0.93361
2020-09-07,0.97153
2020-09-08,0.75669
2020-09-09,0.87832
2020-09-10,0.7867
2020-09-11,1.31591
2020-09-12,0.70613
2020-09-13,0.71561
2020-09-14,0.97943
2020-09-15,1.1216
2020-09-16,0.93519
2020-09-17,0.95257
2020-09-18,0.82935
2020-09-19,0.65242
2020-09-20,0.61767
2020-09-21,0.69824
2020-09-22,0.5529
2020-09-23,0.6935
2020-09-24,0.82935
2020-09-25,0.58765
2020-09-26,0.47865
2020-09-27,0.48023
2020-09-28,0.53236
2020-09-29,0.60029
2020-09-30,0.51499
2020-10-01,0.50867
2020-10-02,0.45022
2020-10-03,0.43916
2020-10-04,0.5766
2020-10-05,0.65242
2020-10-06,0.59239
2020-10-07,0.64768
2020-10-08,0.57186
2020-10-09,0.49129
2020-10-10,0.47865
2020-10-11,0.49761
2020-10-12,0.63979
2020-10-13,0.61451
2020-10-14,0.62715
2020-10-15,0.77248
2020-10-16,0.65242
2020-10-17,0.45654
